shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_fukuoka_subway_airport,33.5972037,130.4485461,1
shape_fukuoka_subway_airport,33.5974155,130.4477411,2
shape_fukuoka_subway_airport,33.5977689,130.4464285,3
shape_fukuoka_subway_airport,33.5982182,130.4447326,4
shape_fukuoka_subway_airport,33.5985269,130.4429949,5
shape_fukuoka_subway_airport,33.5986305,130.4416299,6
shape_fukuoka_subway_airport,33.5985685,130.4402093,7
shape_fukuoka_subway_airport,33.5984414,130.4390846,8
shape_fukuoka_subway_airport,33.5981959,130.4379962,9
shape_fukuoka_subway_airport,33.5975725,130.4366007,10
shape_fukuoka_subway_airport,33.5969474,130.4357789,11
shape_fukuoka_subway_airport,33.5957526,130.4346818,12
shape_fukuoka_subway_airport,33.5938088,130.4335164,13
shape_fukuoka_subway_airport,33.5917120,130.4323791,14
shape_fukuoka_subway_airport,33.5900039,130.4314323,15
shape_fukuoka_subway_airport,33.5889403,130.4307711,16
shape_fukuoka_subway_airport,33.5883214,130.4299879,17
shape_fukuoka_subway_airport,33.5880253,130.4291712,18
shape_fukuoka_subway_airport,33.5879449,130.4283035,19
shape_fukuoka_subway_airport,33.5880364,130.4276322,20
shape_fukuoka_subway_airport,33.5885828,130.4266499,21
shape_fukuoka_subway_airport,33.5895967,130.4253805,22
shape_fukuoka_subway_airport,33.5898844,130.4246747,23
shape_fukuoka_subway_airport,33.5899558,130.4232301,24
shape_fukuoka_subway_airport,33.5900135,130.4215059,25
shape_fukuoka_subway_airport,33.5900745,130.4201752,26
shape_fukuoka_subway_airport,33.5903880,130.4193118,27
shape_fukuoka_subway_airport,33.5911182,130.4183298,28
shape_fukuoka_subway_airport,33.5919477,130.4173936,29
shape_fukuoka_subway_airport,33.5937839,130.4150028,30
shape_fukuoka_subway_airport,33.5952857,130.4130444,31
shape_fukuoka_subway_airport,33.5962947,130.4117011,32
shape_fukuoka_subway_airport,33.5967144,130.4104529,33
shape_fukuoka_subway_airport,33.5966730,130.4095761,34
shape_fukuoka_subway_airport,33.5962816,130.4083945,35
shape_fukuoka_subway_airport,33.5953962,130.4071670,36
shape_fukuoka_subway_airport,33.5939686,130.4057287,37
shape_fukuoka_subway_airport,33.5928329,130.4044905,38
shape_fukuoka_subway_airport,33.5921537,130.4029168,39
shape_fukuoka_subway_airport,33.5915064,130.4000048,40
shape_fukuoka_subway_airport,33.5911881,130.3982896,41
shape_fukuoka_subway_airport,33.5908574,130.3965461,42
shape_fukuoka_subway_airport,33.5902072,130.3953123,43
shape_fukuoka_subway_airport,33.5898274,130.3938062,44
shape_fukuoka_subway_airport,33.5892377,130.3912453,45
shape_fukuoka_subway_airport,33.5887263,130.3886302,46
shape_fukuoka_subway_airport,33.5884673,130.3864089,47
shape_fukuoka_subway_airport,33.5887225,130.3846546,48
shape_fukuoka_subway_airport,33.5891732,130.3820108,49
shape_fukuoka_subway_airport,33.5898115,130.3798859,50
shape_fukuoka_subway_airport,33.5901774,130.3781498,51
shape_fukuoka_subway_airport,33.5903144,130.3763451,52
shape_fukuoka_subway_airport,33.5904351,130.3736266,53
shape_fukuoka_subway_airport,33.5902655,130.3709060,54
shape_fukuoka_subway_airport,33.5899296,130.3694943,55
shape_fukuoka_subway_airport,33.5887482,130.3674924,56
shape_fukuoka_subway_airport,33.5873617,130.3651951,57
shape_fukuoka_subway_airport,33.5859351,130.3631338,58
shape_fukuoka_subway_airport,33.5845028,130.3608486,59
shape_fukuoka_subway_airport,33.5835563,130.3591724,60
shape_fukuoka_subway_airport,33.5830113,130.3573684,61
shape_fukuoka_subway_airport,33.5826314,130.3551623,62
shape_fukuoka_subway_airport,33.5819890,130.3513335,63
shape_fukuoka_subway_airport,33.5814930,130.3492587,64
shape_fukuoka_subway_airport,33.5812549,130.3472082,65
shape_fukuoka_subway_airport,33.5809655,130.3447674,66
shape_fukuoka_subway_airport,33.5807659,130.3413217,67
shape_fukuoka_subway_airport,33.5809354,130.3397825,68
shape_fukuoka_subway_airport,33.5816717,130.3382403,69
shape_fukuoka_subway_airport,33.5824801,130.3364465,70
shape_fukuoka_subway_airport,33.5830392,130.3342022,71
shape_fukuoka_subway_airport,33.5832907,130.3316771,72
shape_fukuoka_subway_airport,33.5835768,130.3271162,73
shape_fukuoka_subway_airport,33.5836531,130.3242795,74
