shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jr_haruka,34.4360302,135.2434396,1
shape_jr_haruka,34.4365451,135.2441962,2
shape_jr_haruka,34.4366969,135.2444270,3
shape_jr_haruka,34.4368973,135.2446966,4
shape_jr_haruka,34.4371220,135.2449554,5
shape_jr_haruka,34.4373385,135.2451800,6
shape_jr_haruka,34.4376239,135.2454363,7
shape_jr_haruka,34.4378443,135.2456158,8
shape_jr_haruka,34.4380724,135.2458124,9
shape_jr_haruka,34.4383427,135.2459991,10
shape_jr_haruka,34.4387257,135.2462546,11
shape_jr_haruka,34.4390400,135.2464909,12
shape_jr_haruka,34.4395420,135.2468282,13
shape_jr_haruka,34.4397638,135.2469791,14
shape_jr_haruka,34.4402436,135.2473509,15
shape_jr_haruka,34.4405695,135.2476584,16
shape_jr_haruka,34.4407770,135.2478818,17
shape_jr_haruka,34.4409575,135.2480833,18
shape_jr_haruka,34.4411354,135.2482773,19
shape_jr_haruka,34.4412538,135.2484609,20
shape_jr_haruka,34.4415520,135.2488980,21
shape_jr_haruka,34.4417461,135.2492474,22
shape_jr_haruka,34.4419234,135.2496105,23
shape_jr_haruka,34.4420474,135.2499317,24
shape_jr_haruka,34.4422373,135.2504770,25
shape_jr_haruka,34.4423343,135.2508130,26
shape_jr_haruka,34.4424057,135.2511189,27
shape_jr_haruka,34.4424728,135.2514732,28
shape_jr_haruka,34.4425177,135.2518477,29
shape_jr_haruka,34.4425431,135.2521434,30
shape_jr_haruka,34.4426365,135.2534718,31
shape_jr_haruka,34.4427000,135.2545460,32
shape_jr_haruka,34.4427217,135.2551794,33
shape_jr_haruka,34.4427044,135.2557497,34
shape_jr_haruka,34.4426615,135.2562309,35
shape_jr_haruka,34.4425973,135.2567189,36
shape_jr_haruka,34.4424916,135.2572846,37
shape_jr_haruka,34.4423849,135.2577404,38
shape_jr_haruka,34.4422507,135.2581959,39
shape_jr_haruka,34.4421114,135.2586012,40
shape_jr_haruka,34.4420005,135.2588883,41
shape_jr_haruka,34.4419026,135.2591358,42
shape_jr_haruka,34.4416818,135.2596094,43
shape_jr_haruka,34.4415065,135.2599349,44
shape_jr_haruka,34.4413497,135.2602008,45
shape_jr_haruka,34.4411505,135.2605094,46
shape_jr_haruka,34.4409498,135.2608048,47
shape_jr_haruka,34.4407492,135.2610829,48
shape_jr_haruka,34.4405561,135.2613244,49
shape_jr_haruka,34.4403758,135.2615194,50
shape_jr_haruka,34.4402462,135.2616595,51
shape_jr_haruka,34.4400807,135.2618384,52
shape_jr_haruka,34.4378427,135.2640392,53
shape_jr_haruka,34.4360308,135.2658153,54
shape_jr_haruka,34.4351026,135.2668429,55
shape_jr_haruka,34.4343484,135.2677986,56
shape_jr_haruka,34.4327126,135.2699868,57
shape_jr_haruka,34.4198567,135.2870163,58
shape_jr_haruka,34.4185794,135.2887230,59
shape_jr_haruka,34.4171432,135.2906486,60
shape_jr_haruka,34.4152531,135.2932420,61
shape_jr_haruka,34.4149257,135.2937273,62
shape_jr_haruka,34.4145985,135.2942449,63
shape_jr_haruka,34.4142556,135.2947899,64
shape_jr_haruka,34.4139825,135.2952084,65
shape_jr_haruka,34.4135643,135.2958442,66
shape_jr_haruka,34.4129633,135.2966827,67
shape_jr_haruka,34.4128114,135.2968931,68
shape_jr_haruka,34.4126266,135.2971493,69
shape_jr_haruka,34.4122551,135.2976660,70
shape_jr_haruka,34.4114538,135.2987641,71
shape_jr_haruka,34.4107670,135.2996653,72
shape_jr_haruka,34.4100366,135.3006237,73
shape_jr_haruka,34.4098353,135.3008897,74
shape_jr_haruka,34.4090115,135.3020108,75
shape_jr_haruka,34.4083810,135.3028294,76
shape_jr_haruka,34.4073081,135.3043171,77
shape_jr_haruka,34.4069494,135.3048288,78
shape_jr_haruka,34.4065811,135.3053522,79
shape_jr_haruka,34.4059224,135.3062821,80
shape_jr_haruka,34.4049895,135.3075815,81
shape_jr_haruka,34.4037018,135.3092961,82
shape_jr_haruka,34.4033056,135.3097856,83
shape_jr_haruka,34.4030119,135.3101466,84
shape_jr_haruka,34.4025292,135.3106919,85
shape_jr_haruka,34.4018114,135.3114723,86
shape_jr_haruka,34.4012868,135.3120463,87
shape_jr_haruka,34.4007030,135.3126238,88
shape_jr_haruka,34.3998163,135.3134734,89
shape_jr_haruka,34.3992682,135.3139495,90
shape_jr_haruka,34.3984848,135.3146167,91
shape_jr_haruka,34.3981287,135.3149120,92
shape_jr_haruka,34.3975062,135.3153855,93
shape_jr_haruka,34.3967130,135.3159965,94
shape_jr_haruka,34.3962808,135.3163073,95
shape_jr_haruka,34.3958941,135.3165620,96
shape_jr_haruka,34.3952784,135.3169279,97
shape_jr_haruka,34.3943737,135.3174313,98
shape_jr_haruka,34.3936555,135.3178784,99
shape_jr_haruka,34.3925830,135.3186138,100
shape_jr_haruka,34.3915125,135.3194065,101
shape_jr_haruka,34.3896691,135.3207024,102
shape_jr_haruka,34.3892421,135.3210320,103
shape_jr_haruka,34.3889172,135.3213199,104
shape_jr_haruka,34.3886008,135.3216573,105
shape_jr_haruka,34.3883156,135.3220280,106
shape_jr_haruka,34.3881074,135.3223496,107
shape_jr_haruka,34.3878203,135.3228984,108
shape_jr_haruka,34.3876605,135.3232846,109
shape_jr_haruka,34.3875401,135.3236194,110
shape_jr_haruka,34.3874404,135.3239805,111
shape_jr_haruka,34.3873519,135.3243929,112
shape_jr_haruka,34.3872571,135.3250888,113
shape_jr_haruka,34.3871563,135.3259033,114
shape_jr_haruka,34.3871267,135.3261950,115
shape_jr_haruka,34.3871197,135.3264328,116
shape_jr_haruka,34.3871257,135.3267066,117
shape_jr_haruka,34.3871445,135.3269268,118
shape_jr_haruka,34.3872076,135.3273166,119
shape_jr_haruka,34.3872739,135.3275674,120
shape_jr_haruka,34.3873379,135.3277805,121
shape_jr_haruka,34.3874385,135.3280411,122
shape_jr_haruka,34.3875265,135.3282262,123
shape_jr_haruka,34.3876132,135.3283855,124
shape_jr_haruka,34.3877898,135.3286366,125
shape_jr_haruka,34.3879753,135.3288757,126
shape_jr_haruka,34.3882101,135.3291124,127
shape_jr_haruka,34.3884744,135.3293723,128
shape_jr_haruka,34.3886617,135.3295466,129
shape_jr_haruka,34.3888547,135.3297179,130
shape_jr_haruka,34.3890854,135.3299176,131
shape_jr_haruka,34.3892183,135.3300082,132
shape_jr_haruka,34.3893679,135.3301095,133
shape_jr_haruka,34.3897428,135.3304522,134
shape_jr_haruka,34.3899958,135.3306653,135
