shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_narita_express,35.7651731,140.3859280,1
shape_jre_narita_express,35.7669056,140.3871080,2
shape_jre_narita_express,35.7673700,140.3874224,3
shape_jre_narita_express,35.7675511,140.3875471,4
shape_jre_narita_express,35.7678474,140.3877527,5
shape_jre_narita_express,35.7689943,140.3885017,6
shape_jre_narita_express,35.7692675,140.3886652,7
shape_jre_narita_express,35.7695690,140.3887936,8
shape_jre_narita_express,35.7698516,140.3888695,9
shape_jre_narita_express,35.7700303,140.3889106,10
shape_jre_narita_express,35.7703308,140.3889420,11
shape_jre_narita_express,35.7704688,140.3889415,12
shape_jre_narita_express,35.7706341,140.3889241,13
shape_jre_narita_express,35.7707463,140.3889052,14
shape_jre_narita_express,35.7710470,140.3888395,15
shape_jre_narita_express,35.7713436,140.3887255,16
shape_jre_narita_express,35.7716360,140.3885676,17
shape_jre_narita_express,35.7717695,140.3884643,18
shape_jre_narita_express,35.7720672,140.3882944,19
shape_jre_narita_express,35.7733273,140.3873838,20
shape_jre_narita_express,35.7742244,140.3867193,21
shape_jre_narita_express,35.7743605,140.3866199,22
shape_jre_narita_express,35.7746414,140.3864109,23
shape_jre_narita_express,35.7754223,140.3858375,24
shape_jre_narita_express,35.7759527,140.3854573,25
shape_jre_narita_express,35.7764624,140.3850868,26
shape_jre_narita_express,35.7765520,140.3850232,27
shape_jre_narita_express,35.7773590,140.3844503,28
shape_jre_narita_express,35.7776226,140.3842518,29
shape_jre_narita_express,35.7793267,140.3829977,30
shape_jre_narita_express,35.7803639,140.3822179,31
shape_jre_narita_express,35.7806202,140.3820508,32
shape_jre_narita_express,35.7825284,140.3806660,33
shape_jre_narita_express,35.7831587,140.3802081,34
shape_jre_narita_express,35.7841443,140.3795028,35
shape_jre_narita_express,35.7849805,140.3788059,36
shape_jre_narita_express,35.7852562,140.3785828,37
shape_jre_narita_express,35.7860221,140.3778934,38
shape_jre_narita_express,35.7864888,140.3774438,39
shape_jre_narita_express,35.7868596,140.3770861,40
shape_jre_narita_express,35.7873964,140.3764957,41
shape_jre_narita_express,35.7878983,140.3758831,42
shape_jre_narita_express,35.7881927,140.3755215,43
shape_jre_narita_express,35.7884325,140.3751808,44
shape_jre_narita_express,35.7886856,140.3748084,45
shape_jre_narita_express,35.7890567,140.3742406,46
shape_jre_narita_express,35.7894870,140.3734864,47
shape_jre_narita_express,35.7896615,140.3731957,48
shape_jre_narita_express,35.7898623,140.3728322,49
shape_jre_narita_express,35.7903285,140.3718960,50
shape_jre_narita_express,35.7907910,140.3709342,51
shape_jre_narita_express,35.7909196,140.3706461,52
shape_jre_narita_express,35.7912579,140.3698055,53
shape_jre_narita_express,35.7915092,140.3690959,54
shape_jre_narita_express,35.7917855,140.3682108,55
shape_jre_narita_express,35.7920053,140.3674625,56
