shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_keikyu_airport,35.5612988,139.7242378,1
shape_keikyu_airport,35.5593003,139.7246858,2
shape_keikyu_airport,35.5589426,139.7250560,3
shape_keikyu_airport,35.5581916,139.7258383,4
shape_keikyu_airport,35.5573477,139.7267244,5
shape_keikyu_airport,35.5570483,139.7270328,6
shape_keikyu_airport,35.5566196,139.7274812,7
shape_keikyu_airport,35.5553243,139.7288415,8
shape_keikyu_airport,35.5547134,139.7294831,9
shape_keikyu_airport,35.5540059,139.7301971,10
shape_keikyu_airport,35.5536290,139.7307583,11
shape_keikyu_airport,35.5534397,139.7314361,12
shape_keikyu_airport,35.5533386,139.7324757,13
shape_keikyu_airport,35.5532804,139.7330830,14
shape_keikyu_airport,35.5531557,139.7344731,15
shape_keikyu_airport,35.5530494,139.7355872,16
shape_keikyu_airport,35.5529534,139.7366351,17
shape_keikyu_airport,35.5528420,139.7379122,18
shape_keikyu_airport,35.5526257,139.7391954,19
shape_keikyu_airport,35.5521119,139.7410552,20
shape_keikyu_airport,35.5518151,139.7419252,21
shape_keikyu_airport,35.5512269,139.7438745,22
shape_keikyu_airport,35.5508865,139.7449125,23
shape_keikyu_airport,35.5503295,139.7467626,24
shape_keikyu_airport,35.5498096,139.7484723,25
shape_keikyu_airport,35.5495849,139.7502954,26
shape_keikyu_airport,35.5494508,139.7517888,27
shape_keikyu_airport,35.5490379,139.7530151,28
shape_keikyu_airport,35.5481306,139.7547051,29
shape_keikyu_airport,35.5474414,139.7557278,30
shape_keikyu_airport,35.5468758,139.7566314,31
shape_keikyu_airport,35.5464021,139.7577538,32
shape_keikyu_airport,35.5460704,139.7595812,33
shape_keikyu_airport,35.5457630,139.7616111,34
shape_keikyu_airport,35.5453999,139.7641791,35
shape_keikyu_airport,35.5450307,139.7670419,36
shape_keikyu_airport,35.5445966,139.7704682,37
shape_keikyu_airport,35.5444916,139.7734398,38
shape_keikyu_airport,35.5452904,139.7766668,39
shape_keikyu_airport,35.5468212,139.7798642,40
shape_keikyu_airport,35.5486043,139.7833355,41
shape_keikyu_airport,35.5497675,139.7857831,42
shape_keikyu_airport,35.5502686,139.7868254,43
