shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_meitetsu_airport,34.8906425,136.8355912,1
shape_meitetsu_airport,34.8904390,136.8356998,2
shape_meitetsu_airport,34.8902740,136.8357776,3
shape_meitetsu_airport,34.8901233,136.8358393,4
shape_meitetsu_airport,34.8899869,136.8358943,5
shape_meitetsu_airport,34.8898120,136.8359520,6
shape_meitetsu_airport,34.8896987,136.8359761,7
shape_meitetsu_airport,34.8893775,136.8360498,8
shape_meitetsu_airport,34.8891464,136.8360955,9
shape_meitetsu_airport,34.8889692,136.8361418,10
shape_meitetsu_airport,34.8887375,136.8361937,11
shape_meitetsu_airport,34.8860300,136.8365780,12
shape_meitetsu_airport,34.8857749,136.8365974,13
shape_meitetsu_airport,34.8854644,136.8365926,14
shape_meitetsu_airport,34.8852032,136.8365747,15
shape_meitetsu_airport,34.8849556,136.8365397,16
shape_meitetsu_airport,34.8847044,136.8364685,17
shape_meitetsu_airport,34.8844167,136.8363694,18
shape_meitetsu_airport,34.8841642,136.8362699,19
shape_meitetsu_airport,34.8839585,136.8361646,20
shape_meitetsu_airport,34.8837142,136.8360074,21
shape_meitetsu_airport,34.8834775,136.8358261,22
shape_meitetsu_airport,34.8832649,136.8356413,23
shape_meitetsu_airport,34.8830479,136.8354310,24
shape_meitetsu_airport,34.8828596,136.8352064,25
shape_meitetsu_airport,34.8826538,136.8349384,26
shape_meitetsu_airport,34.8824610,136.8346341,27
shape_meitetsu_airport,34.8823045,136.8343295,28
shape_meitetsu_airport,34.8821406,136.8339424,29
shape_meitetsu_airport,34.8809308,136.8306516,30
shape_meitetsu_airport,34.8807581,136.8302189,31
shape_meitetsu_airport,34.8805605,136.8297872,32
shape_meitetsu_airport,34.8803394,136.8293290,33
shape_meitetsu_airport,34.8801123,136.8289274,34
shape_meitetsu_airport,34.8798749,136.8285330,35
shape_meitetsu_airport,34.8796619,136.8282165,36
shape_meitetsu_airport,34.8791672,136.8275277,37
shape_meitetsu_airport,34.8751588,136.8219734,38
shape_meitetsu_airport,34.8735080,136.8197087,39
shape_meitetsu_airport,34.8732238,136.8193480,40
shape_meitetsu_airport,34.8729488,136.8190315,41
shape_meitetsu_airport,34.8726399,136.8187032,42
shape_meitetsu_airport,34.8723989,136.8184747,43
shape_meitetsu_airport,34.8721600,136.8182584,44
shape_meitetsu_airport,34.8718804,136.8180305,45
shape_meitetsu_airport,34.8715907,136.8178100,46
shape_meitetsu_airport,34.8712517,136.8175916,47
shape_meitetsu_airport,34.8704998,136.8171519,48
shape_meitetsu_airport,34.8695006,136.8165725,49
shape_meitetsu_airport,34.8686161,136.8160612,50
shape_meitetsu_airport,34.8683060,136.8158873,51
shape_meitetsu_airport,34.8680314,136.8157358,52
shape_meitetsu_airport,34.8677357,136.8155726,53
shape_meitetsu_airport,34.8674217,136.8154199,54
shape_meitetsu_airport,34.8671484,136.8153060,55
shape_meitetsu_airport,34.8668254,136.8151992,56
shape_meitetsu_airport,34.8665324,136.8151167,57
shape_meitetsu_airport,34.8662479,136.8150586,58
shape_meitetsu_airport,34.8659164,136.8150195,59
shape_meitetsu_airport,34.8655555,136.8150022,60
shape_meitetsu_airport,34.8652089,136.8150132,61
shape_meitetsu_airport,34.8648813,136.8150501,62
shape_meitetsu_airport,34.8645109,136.8151222,63
shape_meitetsu_airport,34.8642085,136.8151890,64
shape_meitetsu_airport,34.8630672,136.8154595,65
shape_meitetsu_airport,34.8626800,136.8155513,66
shape_meitetsu_airport,34.8626087,136.8155682,67
shape_meitetsu_airport,34.8619629,136.8157240,68
shape_meitetsu_airport,34.8616195,136.8158069,69
shape_meitetsu_airport,34.8614961,136.8158366,70
shape_meitetsu_airport,34.8599449,136.8162015,71
