shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_nankai_airport,34.4358178,135.2436868,1
shape_nankai_airport,34.4362986,135.2444122,2
shape_nankai_airport,34.4366879,135.2449601,3
shape_nankai_airport,34.4377603,135.2456833,4
shape_nankai_airport,34.4383251,135.2460371,5
shape_nankai_airport,34.4395245,135.2468662,6
shape_nankai_airport,34.4405471,135.2476925,7
shape_nankai_airport,34.4412258,135.2484882,8
shape_nankai_airport,34.4417157,135.2492707,9
shape_nankai_airport,34.4422037,135.2504926,10
shape_nankai_airport,34.4424820,135.2518531,11
shape_nankai_airport,34.4426006,135.2534752,12
shape_nankai_airport,34.4426857,135.2551795,13
shape_nankai_airport,34.4425620,135.2567106,14
shape_nankai_airport,34.4423507,135.2577271,15
shape_nankai_airport,34.4419681,135.2588696,16
shape_nankai_airport,34.4414769,135.2599103,17
shape_nankai_airport,34.4405312,135.2612929,18
shape_nankai_airport,34.4400574,135.2618052,19
shape_nankai_airport,34.4378202,135.2640052,20
shape_nankai_airport,34.4350773,135.2668119,21
shape_nankai_airport,34.4326752,135.2699544,22
shape_nankai_airport,34.4198258,135.2869734,23
shape_nankai_airport,34.4152188,135.2932057,24
shape_nankai_airport,34.4137774,135.2954451,25
shape_nankai_airport,34.4117416,135.2981478,26
shape_nankai_airport,34.4093352,135.3013183,27
shape_nankai_airport,34.4078306,135.3034099,28
shape_nankai_airport,34.4071910,135.3049977,29
shape_nankai_airport,34.4069720,135.3069185,30
shape_nankai_airport,34.4072859,135.3089248,31
shape_nankai_airport,34.4086007,135.3113436,32
shape_nankai_airport,34.4099498,135.3133595,33
shape_nankai_airport,34.4107556,135.3159571,34
shape_nankai_airport,34.4118116,135.3195943,35
