shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_osaka_monorail_itami,34.7364998,135.5826033,1
shape_osaka_monorail_itami,34.7368324,135.5825417,2
shape_osaka_monorail_itami,34.7373091,135.5825355,3
shape_osaka_monorail_itami,34.7387943,135.5825115,4
shape_osaka_monorail_itami,34.7390438,135.5825043,5
shape_osaka_monorail_itami,34.7393172,135.5824882,6
shape_osaka_monorail_itami,34.7396996,135.5824625,7
shape_osaka_monorail_itami,34.7400372,135.5824416,8
shape_osaka_monorail_itami,34.7402700,135.5824268,9
shape_osaka_monorail_itami,34.7409067,135.5823911,10
shape_osaka_monorail_itami,34.7416754,135.5822932,11
shape_osaka_monorail_itami,34.7426017,135.5820435,12
shape_osaka_monorail_itami,34.7431928,135.5818382,13
shape_osaka_monorail_itami,34.7436349,135.5816502,14
shape_osaka_monorail_itami,34.7437956,135.5815664,15
shape_osaka_monorail_itami,34.7443916,135.5812616,16
shape_osaka_monorail_itami,34.7452847,135.5807618,17
shape_osaka_monorail_itami,34.7466497,135.5800142,18
shape_osaka_monorail_itami,34.7471478,135.5797353,19
shape_osaka_monorail_itami,34.7476183,135.5795047,20
shape_osaka_monorail_itami,34.7480695,135.5792841,21
shape_osaka_monorail_itami,34.7484130,135.5790953,22
shape_osaka_monorail_itami,34.7488391,135.5788622,23
shape_osaka_monorail_itami,34.7492854,135.5786217,24
shape_osaka_monorail_itami,34.7503139,135.5780622,25
shape_osaka_monorail_itami,34.7510118,135.5776938,26
shape_osaka_monorail_itami,34.7529549,135.5767569,27
shape_osaka_monorail_itami,34.7532030,135.5766437,28
shape_osaka_monorail_itami,34.7534540,135.5765576,29
shape_osaka_monorail_itami,34.7540071,135.5763671,30
shape_osaka_monorail_itami,34.7546040,135.5761918,31
shape_osaka_monorail_itami,34.7550203,135.5760145,32
shape_osaka_monorail_itami,34.7553495,135.5758381,33
shape_osaka_monorail_itami,34.7557395,135.5756085,34
shape_osaka_monorail_itami,34.7561836,135.5753488,35
shape_osaka_monorail_itami,34.7565254,135.5751394,36
shape_osaka_monorail_itami,34.7578808,135.5741704,37
shape_osaka_monorail_itami,34.7606713,135.5721664,38
shape_osaka_monorail_itami,34.7610786,135.5718362,39
shape_osaka_monorail_itami,34.7616823,135.5712730,40
shape_osaka_monorail_itami,34.7622787,135.5707657,41
shape_osaka_monorail_itami,34.7624459,135.5706332,42
shape_osaka_monorail_itami,34.7626138,135.5705051,43
shape_osaka_monorail_itami,34.7638153,135.5696228,44
shape_osaka_monorail_itami,34.7640335,135.5694719,45
shape_osaka_monorail_itami,34.7641949,135.5693679,46
shape_osaka_monorail_itami,34.7646929,135.5690460,47
shape_osaka_monorail_itami,34.7653893,135.5685418,48
shape_osaka_monorail_itami,34.7661212,135.5679950,49
shape_osaka_monorail_itami,34.7663008,135.5678411,50
shape_osaka_monorail_itami,34.7665425,135.5676152,51
shape_osaka_monorail_itami,34.7670048,135.5671477,52
shape_osaka_monorail_itami,34.7674538,135.5667722,53
shape_osaka_monorail_itami,34.7693969,135.5655537,54
shape_osaka_monorail_itami,34.7711285,135.5644959,55
shape_osaka_monorail_itami,34.7718913,135.5640379,56
shape_osaka_monorail_itami,34.7735858,135.5631195,57
shape_osaka_monorail_itami,34.7753757,135.5620222,58
shape_osaka_monorail_itami,34.7758608,135.5617350,59
shape_osaka_monorail_itami,34.7763654,135.5614807,60
shape_osaka_monorail_itami,34.7768263,135.5613057,61
shape_osaka_monorail_itami,34.7772973,135.5611722,62
shape_osaka_monorail_itami,34.7776678,135.5610944,63
shape_osaka_monorail_itami,34.7781597,135.5610573,64
shape_osaka_monorail_itami,34.7787029,135.5610893,65
shape_osaka_monorail_itami,34.7791583,135.5611657,66
shape_osaka_monorail_itami,34.7801550,135.5613529,67
shape_osaka_monorail_itami,34.7806428,135.5614522,68
shape_osaka_monorail_itami,34.7814087,135.5616465,69
shape_osaka_monorail_itami,34.7853013,135.5629917,70
shape_osaka_monorail_itami,34.7868476,135.5635449,71
shape_osaka_monorail_itami,34.7925711,135.5654876,72
shape_osaka_monorail_itami,34.7931023,135.5656644,73
shape_osaka_monorail_itami,34.7937116,135.5658631,74
shape_osaka_monorail_itami,34.7940259,135.5659260,75
shape_osaka_monorail_itami,34.7943952,135.5659279,76
shape_osaka_monorail_itami,34.7949320,135.5658520,77
shape_osaka_monorail_itami,34.7951057,135.5658381,78
shape_osaka_monorail_itami,34.7951828,135.5658381,79
shape_osaka_monorail_itami,34.7953138,135.5658459,80
shape_osaka_monorail_itami,34.7954753,135.5658811,81
shape_osaka_monorail_itami,34.7956439,135.5659307,82
shape_osaka_monorail_itami,34.7973086,135.5664805,83
shape_osaka_monorail_itami,34.7976764,135.5665878,84
shape_osaka_monorail_itami,34.7984523,135.5667813,85
shape_osaka_monorail_itami,34.7986678,135.5668218,86
shape_osaka_monorail_itami,34.7988440,135.5668553,87
shape_osaka_monorail_itami,34.7990205,135.5668715,88
shape_osaka_monorail_itami,34.7992014,135.5668771,89
shape_osaka_monorail_itami,34.7993820,135.5668741,90
shape_osaka_monorail_itami,34.7995631,135.5668639,91
shape_osaka_monorail_itami,34.7997417,135.5668425,92
shape_osaka_monorail_itami,34.7999164,135.5668150,93
shape_osaka_monorail_itami,34.8000973,135.5667796,94
shape_osaka_monorail_itami,34.8002719,135.5667416,95
shape_osaka_monorail_itami,34.8004491,135.5666909,96
shape_osaka_monorail_itami,34.8006220,135.5666365,97
shape_osaka_monorail_itami,34.8007949,135.5665731,98
shape_osaka_monorail_itami,34.8009634,135.5665070,99
shape_osaka_monorail_itami,34.8011311,135.5664282,100
shape_osaka_monorail_itami,34.8012982,135.5663458,101
shape_osaka_monorail_itami,34.8014628,135.5662527,102
shape_osaka_monorail_itami,34.8016225,135.5661573,103
shape_osaka_monorail_itami,34.8017656,135.5660575,104
shape_osaka_monorail_itami,34.8019746,135.5658981,105
shape_osaka_monorail_itami,34.8020864,135.5658010,106
shape_osaka_monorail_itami,34.8023287,135.5655760,107
shape_osaka_monorail_itami,34.8026825,135.5651791,108
shape_osaka_monorail_itami,34.8027947,135.5650674,109
shape_osaka_monorail_itami,34.8031927,135.5647320,110
shape_osaka_monorail_itami,34.8035756,135.5644167,111
shape_osaka_monorail_itami,34.8036465,135.5643613,112
shape_osaka_monorail_itami,34.8037156,135.5643187,113
shape_osaka_monorail_itami,34.8038078,135.5642765,114
shape_osaka_monorail_itami,34.8038475,135.5642543,115
shape_osaka_monorail_itami,34.8038991,135.5642242,116
shape_osaka_monorail_itami,34.8039691,135.5641721,117
shape_osaka_monorail_itami,34.8040464,135.5641058,118
shape_osaka_monorail_itami,34.8042030,135.5639768,119
shape_osaka_monorail_itami,34.8045196,135.5637095,120
shape_osaka_monorail_itami,34.8047202,135.5635436,121
shape_osaka_monorail_itami,34.8049258,135.5633940,122
shape_osaka_monorail_itami,34.8053710,135.5630989,123
