shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_chuo_sobu_local,35.6133325,140.1123306,1
shape_jre_chuo_sobu_local,35.6136530,140.1118875,2
shape_jre_chuo_sobu_local,35.6139914,140.1114707,3
shape_jre_chuo_sobu_local,35.6145289,140.1108053,4
shape_jre_chuo_sobu_local,35.6146075,140.1107016,5
shape_jre_chuo_sobu_local,35.6149277,140.1103029,6
shape_jre_chuo_sobu_local,35.6151934,140.1099747,7
shape_jre_chuo_sobu_local,35.6152773,140.1098741,8
shape_jre_chuo_sobu_local,35.6156088,140.1094602,9
shape_jre_chuo_sobu_local,35.6160438,140.1089525,10
shape_jre_chuo_sobu_local,35.6163405,140.1086826,11
shape_jre_chuo_sobu_local,35.6167039,140.1083537,12
shape_jre_chuo_sobu_local,35.6173262,140.1078068,13
shape_jre_chuo_sobu_local,35.6181910,140.1070119,14
shape_jre_chuo_sobu_local,35.6186886,140.1065630,15
shape_jre_chuo_sobu_local,35.6197722,140.1055758,16
shape_jre_chuo_sobu_local,35.6207765,140.1047367,17
shape_jre_chuo_sobu_local,35.6213727,140.1042610,18
shape_jre_chuo_sobu_local,35.6226960,140.1030703,19
shape_jre_chuo_sobu_local,35.6241933,140.1018135,20
shape_jre_chuo_sobu_local,35.6245579,140.1014977,21
shape_jre_chuo_sobu_local,35.6249315,140.1011698,22
shape_jre_chuo_sobu_local,35.6252902,140.1008732,23
shape_jre_chuo_sobu_local,35.6256826,140.1006134,24
shape_jre_chuo_sobu_local,35.6260736,140.1003262,25
shape_jre_chuo_sobu_local,35.6268380,140.0998072,26
shape_jre_chuo_sobu_local,35.6274216,140.0993999,27
shape_jre_chuo_sobu_local,35.6280023,140.0989940,28
shape_jre_chuo_sobu_local,35.6287744,140.0984354,29
shape_jre_chuo_sobu_local,35.6295343,140.0979002,30
shape_jre_chuo_sobu_local,35.6310722,140.0968281,31
shape_jre_chuo_sobu_local,35.6317300,140.0963595,32
shape_jre_chuo_sobu_local,35.6324913,140.0958298,33
shape_jre_chuo_sobu_local,35.6332461,140.0952936,34
shape_jre_chuo_sobu_local,35.6336572,140.0950059,35
shape_jre_chuo_sobu_local,35.6340497,140.0947399,36
shape_jre_chuo_sobu_local,35.6344297,140.0944668,37
shape_jre_chuo_sobu_local,35.6348214,140.0941941,38
shape_jre_chuo_sobu_local,35.6351983,140.0938992,39
shape_jre_chuo_sobu_local,35.6355721,140.0936210,40
shape_jre_chuo_sobu_local,35.6359374,140.0933349,41
shape_jre_chuo_sobu_local,35.6362449,140.0930049,42
shape_jre_chuo_sobu_local,35.6367736,140.0925823,43
shape_jre_chuo_sobu_local,35.6370209,140.0924078,44
shape_jre_chuo_sobu_local,35.6374328,140.0921149,45
shape_jre_chuo_sobu_local,35.6379455,140.0917915,46
shape_jre_chuo_sobu_local,35.6384348,140.0914742,47
shape_jre_chuo_sobu_local,35.6387370,140.0912721,48
shape_jre_chuo_sobu_local,35.6393102,140.0909040,49
shape_jre_chuo_sobu_local,35.6398723,140.0905247,50
shape_jre_chuo_sobu_local,35.6425720,140.0886579,51
shape_jre_chuo_sobu_local,35.6449150,140.0869917,52
shape_jre_chuo_sobu_local,35.6463365,140.0859862,53
shape_jre_chuo_sobu_local,35.6473220,140.0852885,54
shape_jre_chuo_sobu_local,35.6478725,140.0848909,55
shape_jre_chuo_sobu_local,35.6482567,140.0845654,56
shape_jre_chuo_sobu_local,35.6484759,140.0843584,57
shape_jre_chuo_sobu_local,35.6488160,140.0840085,58
shape_jre_chuo_sobu_local,35.6489429,140.0838586,59
shape_jre_chuo_sobu_local,35.6490646,140.0837093,60
shape_jre_chuo_sobu_local,35.6494304,140.0832099,61
shape_jre_chuo_sobu_local,35.6496228,140.0829349,62
shape_jre_chuo_sobu_local,35.6498024,140.0826455,63
shape_jre_chuo_sobu_local,35.6499346,140.0824208,64
shape_jre_chuo_sobu_local,35.6501542,140.0819986,65
shape_jre_chuo_sobu_local,35.6502533,140.0817879,66
shape_jre_chuo_sobu_local,35.6503477,140.0815657,67
