shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_hokuriku_shinkansen,35.6789365,139.7664258,1
shape_jre_hokuriku_shinkansen,35.6794916,139.7666398,2
shape_jre_hokuriku_shinkansen,35.6800226,139.7668327,3
shape_jre_hokuriku_shinkansen,35.6810889,139.7672325,4
shape_jre_hokuriku_shinkansen,35.6817652,139.7674657,5
shape_jre_hokuriku_shinkansen,35.6822037,139.7675862,6
shape_jre_hokuriku_shinkansen,35.6825936,139.7676620,7
shape_jre_hokuriku_shinkansen,35.6827069,139.7676844,8
shape_jre_hokuriku_shinkansen,35.6830813,139.7677512,9
shape_jre_hokuriku_shinkansen,35.6832196,139.7677851,10
shape_jre_hokuriku_shinkansen,35.6833685,139.7678302,11
shape_jre_hokuriku_shinkansen,35.6835084,139.7678733,12
shape_jre_hokuriku_shinkansen,35.6836195,139.7679175,13
shape_jre_hokuriku_shinkansen,35.6839944,139.7680869,14
shape_jre_hokuriku_shinkansen,35.6842406,139.7682017,15
shape_jre_hokuriku_shinkansen,35.6843860,139.7682667,16
shape_jre_hokuriku_shinkansen,35.6849581,139.7685142,17
shape_jre_hokuriku_shinkansen,35.6854560,139.7686983,18
shape_jre_hokuriku_shinkansen,35.6860145,139.7688961,19
shape_jre_hokuriku_shinkansen,35.6862771,139.7689921,20
shape_jre_hokuriku_shinkansen,35.6866831,139.7691445,21
shape_jre_hokuriku_shinkansen,35.6870915,139.7692924,22
shape_jre_hokuriku_shinkansen,35.6877527,139.7695585,23
shape_jre_hokuriku_shinkansen,35.6881199,139.7697074,24
shape_jre_hokuriku_shinkansen,35.6887257,139.7699658,25
shape_jre_hokuriku_shinkansen,35.6895063,139.7702820,26
shape_jre_hokuriku_shinkansen,35.6896618,139.7703435,27
shape_jre_hokuriku_shinkansen,35.6899786,139.7704560,28
shape_jre_hokuriku_shinkansen,35.6902613,139.7705403,29
shape_jre_hokuriku_shinkansen,35.6904026,139.7705852,30
shape_jre_hokuriku_shinkansen,35.6906457,139.7706780,31
shape_jre_hokuriku_shinkansen,35.6910641,139.7708546,32
shape_jre_hokuriku_shinkansen,35.6916382,139.7711597,33
shape_jre_hokuriku_shinkansen,35.6918312,139.7712544,34
shape_jre_hokuriku_shinkansen,35.6920049,139.7713349,35
shape_jre_hokuriku_shinkansen,35.6922040,139.7714233,36
shape_jre_hokuriku_shinkansen,35.6927085,139.7715676,37
shape_jre_hokuriku_shinkansen,35.6930284,139.7716787,38
shape_jre_hokuriku_shinkansen,35.6933867,139.7718231,39
shape_jre_hokuriku_shinkansen,35.6936555,139.7719323,40
shape_jre_hokuriku_shinkansen,35.6944172,139.7722713,41
shape_jre_hokuriku_shinkansen,35.6948752,139.7724995,42
shape_jre_hokuriku_shinkansen,35.6949968,139.7725609,43
shape_jre_hokuriku_shinkansen,35.6951481,139.7726260,44
shape_jre_hokuriku_shinkansen,35.6954741,139.7727773,45
shape_jre_hokuriku_shinkansen,35.6964870,139.7730490,46
shape_jre_hokuriku_shinkansen,35.6968773,139.7731559,47
shape_jre_hokuriku_shinkansen,35.6973384,139.7732608,48
shape_jre_hokuriku_shinkansen,35.6974201,139.7732739,49
shape_jre_hokuriku_shinkansen,35.6976730,139.7733146,50
shape_jre_hokuriku_shinkansen,35.6994070,139.7735279,51
shape_jre_hokuriku_shinkansen,35.6995801,139.7735501,52
shape_jre_hokuriku_shinkansen,35.6999454,139.7735885,53
shape_jre_hokuriku_shinkansen,35.7006892,139.7737134,54
shape_jre_hokuriku_shinkansen,35.7009862,139.7737638,55
shape_jre_hokuriku_shinkansen,35.7012801,139.7738137,56
shape_jre_hokuriku_shinkansen,35.7015772,139.7738663,57
shape_jre_hokuriku_shinkansen,35.7018739,139.7739199,58
shape_jre_hokuriku_shinkansen,35.7021696,139.7739714,59
shape_jre_hokuriku_shinkansen,35.7024645,139.7740219,60
shape_jre_hokuriku_shinkansen,35.7027608,139.7740757,61
shape_jre_hokuriku_shinkansen,35.7031924,139.7741518,62
shape_jre_hokuriku_shinkansen,35.7037888,139.7742592,63
shape_jre_hokuriku_shinkansen,35.7061524,139.7746768,64
shape_jre_hokuriku_shinkansen,35.7064449,139.7747293,65
shape_jre_hokuriku_shinkansen,35.7067418,139.7747819,66
shape_jre_hokuriku_shinkansen,35.7070385,139.7748348,67
shape_jre_hokuriku_shinkansen,35.7071957,139.7748652,68
shape_jre_hokuriku_shinkansen,35.7073351,139.7748943,69
shape_jre_hokuriku_shinkansen,35.7074960,139.7749338,70
shape_jre_hokuriku_shinkansen,35.7076297,139.7749711,71
shape_jre_hokuriku_shinkansen,35.7077719,139.7750175,72
shape_jre_hokuriku_shinkansen,35.7079150,139.7750634,73
shape_jre_hokuriku_shinkansen,35.7080952,139.7751292,74
shape_jre_hokuriku_shinkansen,35.7082888,139.7752051,75
shape_jre_hokuriku_shinkansen,35.7084816,139.7752854,76
shape_jre_hokuriku_shinkansen,35.7100574,139.7759092,77
shape_jre_hokuriku_shinkansen,35.7105650,139.7761101,78
shape_jre_hokuriku_shinkansen,35.7112428,139.7763784,79
shape_jre_hokuriku_shinkansen,35.7118214,139.7766093,80
shape_jre_hokuriku_shinkansen,35.7121041,139.7767355,81
shape_jre_hokuriku_shinkansen,35.7122872,139.7768208,82
shape_jre_hokuriku_shinkansen,35.7124671,139.7769163,83
shape_jre_hokuriku_shinkansen,35.7126628,139.7770248,84
shape_jre_hokuriku_shinkansen,35.7130911,139.7772996,85
shape_jre_hokuriku_shinkansen,35.7138757,139.7778322,86
shape_jre_hokuriku_shinkansen,35.7155948,139.7789940,87
shape_jre_hokuriku_shinkansen,35.7164538,139.7795009,88
shape_jre_hokuriku_shinkansen,35.7166958,139.7796356,89
shape_jre_hokuriku_shinkansen,35.7169722,139.7797938,90
shape_jre_hokuriku_shinkansen,35.7171132,139.7798744,91
shape_jre_hokuriku_shinkansen,35.7174979,139.7800944,92
shape_jre_hokuriku_shinkansen,35.7176308,139.7801680,93
shape_jre_hokuriku_shinkansen,35.7178341,139.7802851,94
shape_jre_hokuriku_shinkansen,35.7181814,139.7804786,95
shape_jre_hokuriku_shinkansen,35.7184552,139.7806271,96
shape_jre_hokuriku_shinkansen,35.7187416,139.7807527,97
shape_jre_hokuriku_shinkansen,35.7189665,139.7808280,98
shape_jre_hokuriku_shinkansen,35.7191418,139.7808727,99
shape_jre_hokuriku_shinkansen,35.7193415,139.7809079,100
shape_jre_hokuriku_shinkansen,35.7195125,139.7809246,101
shape_jre_hokuriku_shinkansen,35.7196899,139.7809258,102
shape_jre_hokuriku_shinkansen,35.7199051,139.7809215,103
shape_jre_hokuriku_shinkansen,35.7201479,139.7808974,104
shape_jre_hokuriku_shinkansen,35.7203455,139.7808584,105
shape_jre_hokuriku_shinkansen,35.7205461,139.7808064,106
shape_jre_hokuriku_shinkansen,35.7207755,139.7807271,107
shape_jre_hokuriku_shinkansen,35.7209716,139.7806447,108
shape_jre_hokuriku_shinkansen,35.7211225,139.7805776,109
shape_jre_hokuriku_shinkansen,35.7212690,139.7804984,110
shape_jre_hokuriku_shinkansen,35.7214419,139.7803951,111
shape_jre_hokuriku_shinkansen,35.7216104,139.7802824,112
shape_jre_hokuriku_shinkansen,35.7217757,139.7801618,113
shape_jre_hokuriku_shinkansen,35.7219205,139.7800350,114
shape_jre_hokuriku_shinkansen,35.7221584,139.7798005,115
shape_jre_hokuriku_shinkansen,35.7223231,139.7796189,116
shape_jre_hokuriku_shinkansen,35.7224647,139.7794472,117
shape_jre_hokuriku_shinkansen,35.7225815,139.7792939,118
shape_jre_hokuriku_shinkansen,35.7226998,139.7791200,119
shape_jre_hokuriku_shinkansen,35.7228497,139.7788584,120
shape_jre_hokuriku_shinkansen,35.7229492,139.7786680,121
shape_jre_hokuriku_shinkansen,35.7230251,139.7785108,122
shape_jre_hokuriku_shinkansen,35.7230864,139.7783468,123
