shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_joetsu_shinkansen,36.3223873,139.0129671,1
shape_jre_joetsu_shinkansen,36.3241103,139.0127603,2
shape_jre_joetsu_shinkansen,36.3266329,139.0124535,3
shape_jre_joetsu_shinkansen,36.3273244,139.0123630,4
shape_jre_joetsu_shinkansen,36.3279370,139.0123367,5
shape_jre_joetsu_shinkansen,36.3288707,139.0122159,6
shape_jre_joetsu_shinkansen,36.3305702,139.0120224,7
shape_jre_joetsu_shinkansen,36.3324264,139.0117958,8
shape_jre_joetsu_shinkansen,36.3332325,139.0116991,9
shape_jre_joetsu_shinkansen,36.3337132,139.0116318,10
shape_jre_joetsu_shinkansen,36.3340988,139.0115718,11
shape_jre_joetsu_shinkansen,36.3345071,139.0115031,12
shape_jre_joetsu_shinkansen,36.3349149,139.0114235,13
shape_jre_joetsu_shinkansen,36.3353361,139.0113480,14
shape_jre_joetsu_shinkansen,36.3357055,139.0112655,15
shape_jre_joetsu_shinkansen,36.3360619,139.0111878,16
shape_jre_joetsu_shinkansen,36.3367807,139.0110114,17
shape_jre_joetsu_shinkansen,36.3375898,139.0107825,18
shape_jre_joetsu_shinkansen,36.3383734,139.0105295,19
shape_jre_joetsu_shinkansen,36.3390619,139.0102932,20
shape_jre_joetsu_shinkansen,36.3397125,139.0100465,21
shape_jre_joetsu_shinkansen,36.3404249,139.0097510,22
shape_jre_joetsu_shinkansen,36.3408603,139.0095606,23
shape_jre_joetsu_shinkansen,36.3415178,139.0092632,24
shape_jre_joetsu_shinkansen,36.3419960,139.0090335,25
shape_jre_joetsu_shinkansen,36.3427435,139.0086467,26
shape_jre_joetsu_shinkansen,36.3437443,139.0080884,27
shape_jre_joetsu_shinkansen,36.3450857,139.0072432,28
shape_jre_joetsu_shinkansen,36.3457616,139.0067791,29
shape_jre_joetsu_shinkansen,36.3464153,139.0063098,30
shape_jre_joetsu_shinkansen,36.3474564,139.0055426,31
shape_jre_joetsu_shinkansen,36.3486409,139.0046340,32
shape_jre_joetsu_shinkansen,36.3497835,139.0037583,33
shape_jre_joetsu_shinkansen,36.3508838,139.0029148,34
shape_jre_joetsu_shinkansen,36.3515435,139.0024103,35
shape_jre_joetsu_shinkansen,36.3527503,139.0014839,36
shape_jre_joetsu_shinkansen,36.3536581,139.0007916,37
shape_jre_joetsu_shinkansen,36.3551297,138.9996755,38
shape_jre_joetsu_shinkansen,36.3561771,138.9989064,39
shape_jre_joetsu_shinkansen,36.3569626,138.9983472,40
shape_jre_joetsu_shinkansen,36.3576783,138.9978797,41
shape_jre_joetsu_shinkansen,36.3584522,138.9973987,42
shape_jre_joetsu_shinkansen,36.3593149,138.9968784,43
shape_jre_joetsu_shinkansen,36.3598841,138.9965671,44
shape_jre_joetsu_shinkansen,36.3606352,138.9961788,45
shape_jre_joetsu_shinkansen,36.3613143,138.9958348,46
shape_jre_joetsu_shinkansen,36.3620850,138.9954917,47
shape_jre_joetsu_shinkansen,36.3626887,138.9952204,48
shape_jre_joetsu_shinkansen,36.3634818,138.9948976,49
shape_jre_joetsu_shinkansen,36.3642389,138.9946236,50
shape_jre_joetsu_shinkansen,36.3646271,138.9944798,51
shape_jre_joetsu_shinkansen,36.3650133,138.9943525,52
shape_jre_joetsu_shinkansen,36.3656756,138.9941490,53
shape_jre_joetsu_shinkansen,36.3664329,138.9938931,54
shape_jre_joetsu_shinkansen,36.3670861,138.9937149,55
shape_jre_joetsu_shinkansen,36.3678760,138.9935354,56
shape_jre_joetsu_shinkansen,36.3684467,138.9934088,57
shape_jre_joetsu_shinkansen,36.3694242,138.9932258,58
shape_jre_joetsu_shinkansen,36.3701108,138.9931125,59
shape_jre_joetsu_shinkansen,36.3710031,138.9929688,60
shape_jre_joetsu_shinkansen,36.3750408,138.9923480,61
shape_jre_joetsu_shinkansen,36.3755578,138.9922702,62
shape_jre_joetsu_shinkansen,36.3857998,138.9907298,63
shape_jre_joetsu_shinkansen,36.3870825,138.9905188,64
shape_jre_joetsu_shinkansen,36.3883072,138.9903208,65
shape_jre_joetsu_shinkansen,36.3897102,138.9901033,66
shape_jre_joetsu_shinkansen,36.3911108,138.9899009,67
shape_jre_joetsu_shinkansen,36.3923825,138.9897040,68
shape_jre_joetsu_shinkansen,36.3932748,138.9895703,69
shape_jre_joetsu_shinkansen,36.3974792,138.9889136,70
shape_jre_joetsu_shinkansen,36.4026066,138.9881607,71
shape_jre_joetsu_shinkansen,36.4043974,138.9878781,72
shape_jre_joetsu_shinkansen,36.4071250,138.9874961,73
shape_jre_joetsu_shinkansen,36.4085849,138.9872735,74
shape_jre_joetsu_shinkansen,36.4115213,138.9868388,75
shape_jre_joetsu_shinkansen,36.4125167,138.9866706,76
shape_jre_joetsu_shinkansen,36.4147407,138.9863394,77
shape_jre_joetsu_shinkansen,36.4165649,138.9860444,78
shape_jre_joetsu_shinkansen,36.4185847,138.9857313,79
shape_jre_joetsu_shinkansen,36.4193218,138.9856226,80
shape_jre_joetsu_shinkansen,36.4218226,138.9852810,81
shape_jre_joetsu_shinkansen,36.4235883,138.9850197,82
shape_jre_joetsu_shinkansen,36.4252831,138.9847299,83
shape_jre_joetsu_shinkansen,36.4278961,138.9843573,84
shape_jre_joetsu_shinkansen,36.4318352,138.9837388,85
shape_jre_joetsu_shinkansen,36.4344001,138.9833507,86
shape_jre_joetsu_shinkansen,36.4375749,138.9828849,87
shape_jre_joetsu_shinkansen,36.4398045,138.9825278,88
shape_jre_joetsu_shinkansen,36.4424232,138.9821319,89
shape_jre_joetsu_shinkansen,36.4446401,138.9818239,90
shape_jre_joetsu_shinkansen,36.4475314,138.9813928,91
shape_jre_joetsu_shinkansen,36.4500435,138.9810049,92
shape_jre_joetsu_shinkansen,36.4526998,138.9805941,93
shape_jre_joetsu_shinkansen,36.4553428,138.9801997,94
shape_jre_joetsu_shinkansen,36.4577576,138.9798052,95
shape_jre_joetsu_shinkansen,36.4602747,138.9794303,96
shape_jre_joetsu_shinkansen,36.4638455,138.9788957,97
shape_jre_joetsu_shinkansen,36.4659770,138.9785795,98
shape_jre_joetsu_shinkansen,36.4694663,138.9780644,99
shape_jre_joetsu_shinkansen,36.4726541,138.9775493,100
shape_jre_joetsu_shinkansen,36.4786976,138.9766022,101
shape_jre_joetsu_shinkansen,36.4822890,138.9760760,102
shape_jre_joetsu_shinkansen,36.4855629,138.9755435,103
shape_jre_joetsu_shinkansen,36.4900454,138.9748669,104
shape_jre_joetsu_shinkansen,36.4953888,138.9740651,105
shape_jre_joetsu_shinkansen,36.4994981,138.9734198,106
shape_jre_joetsu_shinkansen,36.5036122,138.9727934,107
shape_jre_joetsu_shinkansen,36.5070110,138.9722359,108
shape_jre_joetsu_shinkansen,36.5139946,138.9711834,109
