shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_keihin_tohoku_line,35.9082465,139.6239115,1
shape_jre_keihin_tohoku_line,35.9078533,139.6241567,2
shape_jre_keihin_tohoku_line,35.9074122,139.6244046,3
shape_jre_keihin_tohoku_line,35.9071064,139.6245413,4
shape_jre_keihin_tohoku_line,35.9064701,139.6247706,5
shape_jre_keihin_tohoku_line,35.9060515,139.6249348,6
shape_jre_keihin_tohoku_line,35.9059016,139.6249744,7
shape_jre_keihin_tohoku_line,35.9057055,139.6250092,8
shape_jre_keihin_tohoku_line,35.9055887,139.6250331,9
shape_jre_keihin_tohoku_line,35.9051326,139.6251517,10
shape_jre_keihin_tohoku_line,35.9046525,139.6252857,11
shape_jre_keihin_tohoku_line,35.9042649,139.6254308,12
shape_jre_keihin_tohoku_line,35.9036959,139.6256884,13
shape_jre_keihin_tohoku_line,35.9033797,139.6258429,14
shape_jre_keihin_tohoku_line,35.9030598,139.6260275,15
shape_jre_keihin_tohoku_line,35.9027829,139.6261985,16
shape_jre_keihin_tohoku_line,35.9022539,139.6265804,17
shape_jre_keihin_tohoku_line,35.9016172,139.6270311,18
shape_jre_keihin_tohoku_line,35.9013194,139.6272501,19
shape_jre_keihin_tohoku_line,35.9010637,139.6274622,20
shape_jre_keihin_tohoku_line,35.9008282,139.6276760,21
shape_jre_keihin_tohoku_line,35.9006034,139.6279119,22
shape_jre_keihin_tohoku_line,35.9003359,139.6282109,23
shape_jre_keihin_tohoku_line,35.9001703,139.6283880,24
shape_jre_keihin_tohoku_line,35.8997558,139.6288571,25
shape_jre_keihin_tohoku_line,35.8994553,139.6291920,26
shape_jre_keihin_tohoku_line,35.8988209,139.6298649,27
shape_jre_keihin_tohoku_line,35.8982002,139.6304656,28
shape_jre_keihin_tohoku_line,35.8978741,139.6307630,29
shape_jre_keihin_tohoku_line,35.8974614,139.6311069,30
shape_jre_keihin_tohoku_line,35.8968440,139.6316223,31
shape_jre_keihin_tohoku_line,35.8958505,139.6324362,32
shape_jre_keihin_tohoku_line,35.8947051,139.6333395,33
shape_jre_keihin_tohoku_line,35.8945068,139.6334796,34
shape_jre_keihin_tohoku_line,35.8936943,139.6340748,35
shape_jre_keihin_tohoku_line,35.8928754,139.6346748,36
shape_jre_keihin_tohoku_line,35.8923066,139.6350964,37
shape_jre_keihin_tohoku_line,35.8918787,139.6354055,38
shape_jre_keihin_tohoku_line,35.8913928,139.6357605,39
shape_jre_keihin_tohoku_line,35.8910950,139.6359481,40
shape_jre_keihin_tohoku_line,35.8907444,139.6361507,41
shape_jre_keihin_tohoku_line,35.8904949,139.6362832,42
shape_jre_keihin_tohoku_line,35.8902189,139.6364189,43
shape_jre_keihin_tohoku_line,35.8898742,139.6365749,44
shape_jre_keihin_tohoku_line,35.8890982,139.6369263,45
shape_jre_keihin_tohoku_line,35.8882043,139.6373663,46
shape_jre_keihin_tohoku_line,35.8875842,139.6376694,47
shape_jre_keihin_tohoku_line,35.8869475,139.6379430,48
shape_jre_keihin_tohoku_line,35.8861184,139.6383095,49
shape_jre_keihin_tohoku_line,35.8859831,139.6383766,50
shape_jre_keihin_tohoku_line,35.8858004,139.6384804,51
shape_jre_keihin_tohoku_line,35.8854348,139.6386819,52
shape_jre_keihin_tohoku_line,35.8851991,139.6388049,53
shape_jre_keihin_tohoku_line,35.8849770,139.6389276,54
shape_jre_keihin_tohoku_line,35.8844141,139.6392262,55
shape_jre_keihin_tohoku_line,35.8842001,139.6393259,56
shape_jre_keihin_tohoku_line,35.8837374,139.6395033,57
shape_jre_keihin_tohoku_line,35.8834515,139.6396083,58
shape_jre_keihin_tohoku_line,35.8829354,139.6398020,59
shape_jre_keihin_tohoku_line,35.8822136,139.6401071,60
shape_jre_keihin_tohoku_line,35.8811505,139.6405690,61
shape_jre_keihin_tohoku_line,35.8802248,139.6409583,62
shape_jre_keihin_tohoku_line,35.8794275,139.6412889,63
shape_jre_keihin_tohoku_line,35.8788334,139.6415464,64
shape_jre_keihin_tohoku_line,35.8779566,139.6419549,65
shape_jre_keihin_tohoku_line,35.8759913,139.6428579,66
shape_jre_keihin_tohoku_line,35.8755764,139.6430496,67
shape_jre_keihin_tohoku_line,35.8753417,139.6431813,68
shape_jre_keihin_tohoku_line,35.8750730,139.6433245,69
shape_jre_keihin_tohoku_line,35.8747637,139.6435207,70
shape_jre_keihin_tohoku_line,35.8745424,139.6436708,71
shape_jre_keihin_tohoku_line,35.8742922,139.6438667,72
shape_jre_keihin_tohoku_line,35.8739949,139.6441155,73
shape_jre_keihin_tohoku_line,35.8736638,139.6444256,74
shape_jre_keihin_tohoku_line,35.8734037,139.6447109,75
shape_jre_keihin_tohoku_line,35.8731749,139.6449773,76
shape_jre_keihin_tohoku_line,35.8729338,139.6452753,77
shape_jre_keihin_tohoku_line,35.8721882,139.6461561,78
shape_jre_keihin_tohoku_line,35.8715186,139.6468806,79
shape_jre_keihin_tohoku_line,35.8709472,139.6474814,80
shape_jre_keihin_tohoku_line,35.8706763,139.6477546,81
shape_jre_keihin_tohoku_line,35.8695111,139.6490282,82
shape_jre_keihin_tohoku_line,35.8688900,139.6497230,83
shape_jre_keihin_tohoku_line,35.8678172,139.6509165,84
shape_jre_keihin_tohoku_line,35.8675170,139.6512434,85
shape_jre_keihin_tohoku_line,35.8672752,139.6515089,86
shape_jre_keihin_tohoku_line,35.8670220,139.6517500,87
shape_jre_keihin_tohoku_line,35.8667926,139.6519511,88
shape_jre_keihin_tohoku_line,35.8664154,139.6522726,89
shape_jre_keihin_tohoku_line,35.8663796,139.6523031,90
shape_jre_keihin_tohoku_line,35.8660656,139.6525552,91
shape_jre_keihin_tohoku_line,35.8656558,139.6528623,92
shape_jre_keihin_tohoku_line,35.8653760,139.6530640,93
shape_jre_keihin_tohoku_line,35.8650848,139.6532544,94
