shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_keiyo_line,35.5802164,140.1316263,1
shape_jre_keiyo_line,35.5804452,140.1315356,2
shape_jre_keiyo_line,35.5806796,140.1314331,3
shape_jre_keiyo_line,35.5810813,140.1312405,4
shape_jre_keiyo_line,35.5812138,140.1311734,5
shape_jre_keiyo_line,35.5815517,140.1310011,6
shape_jre_keiyo_line,35.5816457,140.1309578,7
shape_jre_keiyo_line,35.5822565,140.1306596,8
shape_jre_keiyo_line,35.5826673,140.1304520,9
shape_jre_keiyo_line,35.5827269,140.1304219,10
shape_jre_keiyo_line,35.5837626,140.1298985,11
shape_jre_keiyo_line,35.5840021,140.1297697,12
shape_jre_keiyo_line,35.5844122,140.1295594,13
shape_jre_keiyo_line,35.5848082,140.1293595,14
shape_jre_keiyo_line,35.5850257,140.1292406,15
shape_jre_keiyo_line,35.5856222,140.1289563,16
shape_jre_keiyo_line,35.5873864,140.1280519,17
shape_jre_keiyo_line,35.5877625,140.1278215,18
shape_jre_keiyo_line,35.5879015,140.1277168,19
shape_jre_keiyo_line,35.5880297,140.1276132,20
shape_jre_keiyo_line,35.5881609,140.1275000,21
shape_jre_keiyo_line,35.5882985,140.1273769,22
shape_jre_keiyo_line,35.5884403,140.1272322,23
shape_jre_keiyo_line,35.5885848,140.1270705,24
shape_jre_keiyo_line,35.5887231,140.1269186,25
shape_jre_keiyo_line,35.5889167,140.1266696,26
shape_jre_keiyo_line,35.5890930,140.1263945,27
shape_jre_keiyo_line,35.5892179,140.1261658,28
shape_jre_keiyo_line,35.5894478,140.1257043,29
shape_jre_keiyo_line,35.5896753,140.1251347,30
shape_jre_keiyo_line,35.5898649,140.1246297,31
shape_jre_keiyo_line,35.5900503,140.1240617,32
shape_jre_keiyo_line,35.5901727,140.1237325,33
shape_jre_keiyo_line,35.5902503,140.1235160,34
shape_jre_keiyo_line,35.5903219,140.1233446,35
shape_jre_keiyo_line,35.5904093,140.1231571,36
shape_jre_keiyo_line,35.5904923,140.1229742,37
shape_jre_keiyo_line,35.5905747,140.1228024,38
shape_jre_keiyo_line,35.5907722,140.1224669,39
shape_jre_keiyo_line,35.5908984,140.1222487,40
shape_jre_keiyo_line,35.5910633,140.1220130,41
shape_jre_keiyo_line,35.5912794,140.1217340,42
shape_jre_keiyo_line,35.5915003,140.1214506,43
shape_jre_keiyo_line,35.5917581,140.1211877,44
shape_jre_keiyo_line,35.5919836,140.1209764,45
shape_jre_keiyo_line,35.5922012,140.1207908,46
shape_jre_keiyo_line,35.5925028,140.1205647,47
shape_jre_keiyo_line,35.5943050,140.1194135,48
shape_jre_keiyo_line,35.5955656,140.1186030,49
shape_jre_keiyo_line,35.5965499,140.1179235,50
shape_jre_keiyo_line,35.5969084,140.1177023,51
shape_jre_keiyo_line,35.5972451,140.1174737,52
shape_jre_keiyo_line,35.5975174,140.1172379,53
