shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_senseki_line,38.2606103,140.8780726,1
shape_jre_senseki_line,38.2607270,140.8788241,2
shape_jre_senseki_line,38.2607470,140.8789378,3
shape_jre_senseki_line,38.2607742,140.8790967,4
shape_jre_senseki_line,38.2608236,140.8794562,5
shape_jre_senseki_line,38.2608276,140.8794854,6
shape_jre_senseki_line,38.2608548,140.8798884,7
shape_jre_senseki_line,38.2608608,140.8801141,8
shape_jre_senseki_line,38.2608458,140.8806136,9
shape_jre_senseki_line,38.2608167,140.8810603,10
shape_jre_senseki_line,38.2607987,140.8813910,11
shape_jre_senseki_line,38.2607697,140.8818999,12
shape_jre_senseki_line,38.2607518,140.8821049,13
shape_jre_senseki_line,38.2607395,140.8822449,14
shape_jre_senseki_line,38.2606960,140.8825816,15
shape_jre_senseki_line,38.2606320,140.8828570,16
shape_jre_senseki_line,38.2605093,140.8832542,17
shape_jre_senseki_line,38.2602982,140.8838994,18
shape_jre_senseki_line,38.2600762,140.8845816,19
shape_jre_senseki_line,38.2600442,140.8846765,20
shape_jre_senseki_line,38.2599652,140.8849137,21
shape_jre_senseki_line,38.2599222,140.8850426,22
shape_jre_senseki_line,38.2598504,140.8853842,23
shape_jre_senseki_line,38.2597754,140.8860370,24
shape_jre_senseki_line,38.2597605,140.8861742,25
shape_jre_senseki_line,38.2593795,140.8893093,26
shape_jre_senseki_line,38.2590817,140.8918485,27
shape_jre_senseki_line,38.2588200,140.8942670,28
shape_jre_senseki_line,38.2585428,140.8966902,29
shape_jre_senseki_line,38.2582283,140.8993256,30
shape_jre_senseki_line,38.2581952,140.8996276,31
shape_jre_senseki_line,38.2581697,140.8999181,32
shape_jre_senseki_line,38.2581588,140.9002421,33
shape_jre_senseki_line,38.2581677,140.9004375,34
shape_jre_senseki_line,38.2582200,140.9007717,35
shape_jre_senseki_line,38.2582865,140.9010605,36
shape_jre_senseki_line,38.2583146,140.9011765,37
shape_jre_senseki_line,38.2583498,140.9013217,38
shape_jre_senseki_line,38.2583883,140.9014299,39
shape_jre_senseki_line,38.2584345,140.9015601,40
shape_jre_senseki_line,38.2585132,140.9017525,41
shape_jre_senseki_line,38.2585348,140.9018054,42
shape_jre_senseki_line,38.2586331,140.9020257,43
shape_jre_senseki_line,38.2586581,140.9020755,44
shape_jre_senseki_line,38.2587648,140.9022881,45
shape_jre_senseki_line,38.2589098,140.9025436,46
shape_jre_senseki_line,38.2590741,140.9027960,47
shape_jre_senseki_line,38.2592807,140.9030775,48
shape_jre_senseki_line,38.2593765,140.9032081,49
shape_jre_senseki_line,38.2596273,140.9035319,50
shape_jre_senseki_line,38.2597616,140.9037100,51
shape_jre_senseki_line,38.2599539,140.9039312,52
shape_jre_senseki_line,38.2601058,140.9041120,53
shape_jre_senseki_line,38.2602953,140.9043234,54
shape_jre_senseki_line,38.2603686,140.9043927,55
shape_jre_senseki_line,38.2603800,140.9044041,56
shape_jre_senseki_line,38.2608144,140.9048402,57
shape_jre_senseki_line,38.2609441,140.9049603,58
shape_jre_senseki_line,38.2610177,140.9050289,59
shape_jre_senseki_line,38.2612050,140.9051933,60
shape_jre_senseki_line,38.2614833,140.9054278,61
shape_jre_senseki_line,38.2616505,140.9055611,62
shape_jre_senseki_line,38.2618442,140.9057049,63
shape_jre_senseki_line,38.2620537,140.9058655,64
shape_jre_senseki_line,38.2622519,140.9060029,65
shape_jre_senseki_line,38.2625410,140.9061981,66
shape_jre_senseki_line,38.2627510,140.9063470,67
shape_jre_senseki_line,38.2629757,140.9064978,68
shape_jre_senseki_line,38.2632043,140.9066526,69
shape_jre_senseki_line,38.2634163,140.9067982,70
shape_jre_senseki_line,38.2635827,140.9069162,71
shape_jre_senseki_line,38.2638008,140.9070696,72
shape_jre_senseki_line,38.2639959,140.9072080,73
shape_jre_senseki_line,38.2642048,140.9073465,74
shape_jre_senseki_line,38.2643703,140.9074787,75
shape_jre_senseki_line,38.2646250,140.9076922,76
shape_jre_senseki_line,38.2647880,140.9078582,77
shape_jre_senseki_line,38.2649680,140.9080615,78
shape_jre_senseki_line,38.2651058,140.9082519,79
shape_jre_senseki_line,38.2652472,140.9084661,80
shape_jre_senseki_line,38.2653652,140.9086758,81
shape_jre_senseki_line,38.2655162,140.9089517,82
shape_jre_senseki_line,38.2656283,140.9092031,83
shape_jre_senseki_line,38.2657320,140.9094518,84
shape_jre_senseki_line,38.2658069,140.9096583,85
shape_jre_senseki_line,38.2658861,140.9099226,86
shape_jre_senseki_line,38.2659961,140.9103242,87
shape_jre_senseki_line,38.2661616,140.9109913,88
shape_jre_senseki_line,38.2662124,140.9111835,89
shape_jre_senseki_line,38.2662674,140.9113875,90
shape_jre_senseki_line,38.2663423,140.9116715,91
shape_jre_senseki_line,38.2664143,140.9119375,92
shape_jre_senseki_line,38.2665055,140.9122824,93
shape_jre_senseki_line,38.2666439,140.9127164,94
shape_jre_senseki_line,38.2667634,140.9131717,95
shape_jre_senseki_line,38.2669262,140.9138889,96
shape_jre_senseki_line,38.2670971,140.9145248,97
shape_jre_senseki_line,38.2672466,140.9150991,98
shape_jre_senseki_line,38.2673839,140.9156220,99
shape_jre_senseki_line,38.2675051,140.9160582,100
shape_jre_senseki_line,38.2675920,140.9163705,101
shape_jre_senseki_line,38.2676866,140.9167187,102
shape_jre_senseki_line,38.2677853,140.9170824,103
shape_jre_senseki_line,38.2679007,140.9175174,104
shape_jre_senseki_line,38.2680306,140.9178764,105
shape_jre_senseki_line,38.2681143,140.9180792,106
shape_jre_senseki_line,38.2682598,140.9183485,107
shape_jre_senseki_line,38.2683506,140.9185033,108
shape_jre_senseki_line,38.2684689,140.9186646,109
shape_jre_senseki_line,38.2686170,140.9188414,110
shape_jre_senseki_line,38.2688659,140.9191015,111
shape_jre_senseki_line,38.2690646,140.9192695,112
shape_jre_senseki_line,38.2692368,140.9193928,113
shape_jre_senseki_line,38.2694093,140.9194928,114
shape_jre_senseki_line,38.2695996,140.9195944,115
shape_jre_senseki_line,38.2697862,140.9196852,116
shape_jre_senseki_line,38.2700296,140.9198056,117
shape_jre_senseki_line,38.2702990,140.9199451,118
shape_jre_senseki_line,38.2705781,140.9201051,119
shape_jre_senseki_line,38.2707960,140.9202456,120
shape_jre_senseki_line,38.2709648,140.9203840,121
shape_jre_senseki_line,38.2711164,140.9205230,122
shape_jre_senseki_line,38.2712667,140.9206914,123
shape_jre_senseki_line,38.2714009,140.9208620,124
shape_jre_senseki_line,38.2715364,140.9210559,125
shape_jre_senseki_line,38.2716500,140.9212631,126
shape_jre_senseki_line,38.2717554,140.9214749,127
shape_jre_senseki_line,38.2718377,140.9216817,128
shape_jre_senseki_line,38.2719320,140.9219551,129
shape_jre_senseki_line,38.2720128,140.9222414,130
shape_jre_senseki_line,38.2720900,140.9225590,131
shape_jre_senseki_line,38.2721330,140.9227436,132
shape_jre_senseki_line,38.2722332,140.9232132,133
shape_jre_senseki_line,38.2723687,140.9238238,134
shape_jre_senseki_line,38.2724950,140.9244062,135
shape_jre_senseki_line,38.2725961,140.9248890,136
shape_jre_senseki_line,38.2726655,140.9253132,137
shape_jre_senseki_line,38.2727219,140.9257604,138
shape_jre_senseki_line,38.2727704,140.9262680,139
shape_jre_senseki_line,38.2728146,140.9268311,140
shape_jre_senseki_line,38.2728590,140.9274503,141
shape_jre_senseki_line,38.2729156,140.9282368,142
shape_jre_senseki_line,38.2729765,140.9290765,143
shape_jre_senseki_line,38.2730207,140.9297568,144
shape_jre_senseki_line,38.2730819,140.9305781,145
shape_jre_senseki_line,38.2731392,140.9313052,146
shape_jre_senseki_line,38.2731857,140.9319253,147
shape_jre_senseki_line,38.2732343,140.9326430,148
shape_jre_senseki_line,38.2732869,140.9333698,149
shape_jre_senseki_line,38.2733266,140.9339888,150
shape_jre_senseki_line,38.2733627,140.9345175,151
shape_jre_senseki_line,38.2734076,140.9351666,152
shape_jre_senseki_line,38.2734155,140.9352724,153
shape_jre_senseki_line,38.2734374,140.9355660,154
shape_jre_senseki_line,38.2734443,140.9356580,155
shape_jre_senseki_line,38.2734737,140.9360794,156
shape_jre_senseki_line,38.2735124,140.9366593,157
shape_jre_senseki_line,38.2735441,140.9371841,158
shape_jre_senseki_line,38.2735944,140.9378222,159
shape_jre_senseki_line,38.2736403,140.9384419,160
shape_jre_senseki_line,38.2736955,140.9392255,161
shape_jre_senseki_line,38.2737418,140.9398336,162
shape_jre_senseki_line,38.2737897,140.9404678,163
shape_jre_senseki_line,38.2738255,140.9409908,164
shape_jre_senseki_line,38.2738616,140.9415713,165
shape_jre_senseki_line,38.2738869,140.9419818,166
shape_jre_senseki_line,38.2739201,140.9424823,167
shape_jre_senseki_line,38.2739668,140.9431311,168
shape_jre_senseki_line,38.2740147,140.9437614,169
shape_jre_senseki_line,38.2740657,140.9444156,170
shape_jre_senseki_line,38.2741269,140.9452174,171
shape_jre_senseki_line,38.2741854,140.9459029,172
shape_jre_senseki_line,38.2741905,140.9459820,173
shape_jre_senseki_line,38.2742317,140.9467194,174
shape_jre_senseki_line,38.2742767,140.9474244,175
shape_jre_senseki_line,38.2743286,140.9480712,176
shape_jre_senseki_line,38.2743646,140.9486100,177
shape_jre_senseki_line,38.2744071,140.9491704,178
shape_jre_senseki_line,38.2744532,140.9498046,179
shape_jre_senseki_line,38.2744956,140.9503939,180
shape_jre_senseki_line,38.2745354,140.9508759,181
shape_jre_senseki_line,38.2745916,140.9516098,182
shape_jre_senseki_line,38.2746387,140.9522908,183
