shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3234442,139.0125552,1
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3233288,139.0125771,2
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3228844,139.0126131,3
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3223737,139.0126576,4
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3212531,139.0127551,5
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3208439,139.0127532,6
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3202871,139.0127128,7
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3197274,139.0126308,8
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3195361,139.0126040,9
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3192444,139.0125749,10
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3187516,139.0125904,11
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3183344,139.0126289,12
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3182095,139.0126370,13
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3178701,139.0126635,14
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3175901,139.0127051,15
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3173659,139.0127582,16
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3171463,139.0128318,17
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3169356,139.0129136,18
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3167336,139.0130162,19
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3165935,139.0130955,20
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3165432,139.0131278,21
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3163421,139.0132635,22
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3161588,139.0134019,23
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3159790,139.0135633,24
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3158097,139.0137309,25
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3156499,139.0139189,26
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3154796,139.0141288,27
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3153332,139.0143507,28
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3150217,139.0148964,29
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3127116,139.0192218,30
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3120107,139.0205580,31
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3113256,139.0219034,32
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3106605,139.0232029,33
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3100256,139.0244888,34
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3093576,139.0258072,35
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3087836,139.0269514,36
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3084310,139.0276589,37
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3081818,139.0281971,38
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3079644,139.0287450,39
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3076820,139.0294968,40
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3075471,139.0299411,41
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3071569,139.0313512,42
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3071333,139.0314366,43
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3071129,139.0315104,44
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3069786,139.0319271,45
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3064947,139.0335033,46
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3063867,139.0338305,47
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3060730,139.0346188,48
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3058809,139.0351018,49
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3051611,139.0369392,50
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3047137,139.0380201,51
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3041387,139.0392861,52
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3039096,139.0398118,53
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3036567,139.0404180,54
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3034794,139.0408606,55
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3031595,139.0416974,56
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3026010,139.0432191,57
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3017884,139.0454475,58
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3016166,139.0459563,59
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3014335,139.0464538,60
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3012353,139.0470040,61
shape_jre_utsunomiya_takasaki_saikyo_lines,36.3004357,139.0492175,62
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2991940,139.0526536,63
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2991532,139.0527620,64
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2991225,139.0528507,65
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2977139,139.0567613,66
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2963214,139.0605925,67
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2958369,139.0619494,68
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2955588,139.0627281,69
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2948394,139.0647154,70
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2946525,139.0652219,71
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2944951,139.0656213,72
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2943156,139.0660167,73
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2941338,139.0663561,74
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2940563,139.0664752,75
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2939342,139.0666629,76
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2937435,139.0669237,77
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2935441,139.0671508,78
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2932719,139.0674402,79
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2929833,139.0677126,80
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2927504,139.0679093,81
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2926733,139.0679658,82
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2923649,139.0681780,83
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2920538,139.0683566,84
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2915460,139.0685902,85
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2911193,139.0687579,86
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2881270,139.0698865,87
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2872572,139.0702115,88
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2870022,139.0703190,89
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2867621,139.0704412,90
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2865122,139.0705781,91
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2862694,139.0707429,92
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2861082,139.0708648,93
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2859289,139.0710294,94
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2858486,139.0711084,95
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2856474,139.0713086,96
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2854196,139.0715630,97
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2852239,139.0718233,98
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2850351,139.0720916,99
shape_jre_utsunomiya_takasaki_saikyo_lines,36.2848272,139.0724775,100
