shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jre_yokohama_line,35.4779578,139.6333019,1
shape_jre_yokohama_line,35.4785475,139.6338517,2
shape_jre_yokohama_line,35.4787251,139.6340084,3
shape_jre_yokohama_line,35.4796066,139.6347337,4
shape_jre_yokohama_line,35.4798583,139.6349770,5
shape_jre_yokohama_line,35.4799914,139.6351019,6
shape_jre_yokohama_line,35.4806621,139.6357202,7
shape_jre_yokohama_line,35.4809204,139.6359583,8
shape_jre_yokohama_line,35.4814054,139.6364009,9
shape_jre_yokohama_line,35.4816391,139.6366312,10
shape_jre_yokohama_line,35.4818060,139.6368071,11
shape_jre_yokohama_line,35.4819549,139.6369809,12
shape_jre_yokohama_line,35.4820993,139.6371631,13
shape_jre_yokohama_line,35.4822357,139.6373538,14
shape_jre_yokohama_line,35.4823499,139.6375285,15
shape_jre_yokohama_line,35.4824665,139.6377319,16
shape_jre_yokohama_line,35.4825810,139.6379505,17
shape_jre_yokohama_line,35.4827682,139.6383555,18
shape_jre_yokohama_line,35.4828591,139.6385990,19
shape_jre_yokohama_line,35.4830122,139.6390401,20
shape_jre_yokohama_line,35.4833628,139.6400786,21
shape_jre_yokohama_line,35.4838656,139.6416626,22
shape_jre_yokohama_line,35.4839698,139.6420091,23
shape_jre_yokohama_line,35.4840802,139.6423910,24
shape_jre_yokohama_line,35.4841812,139.6427806,25
shape_jre_yokohama_line,35.4843292,139.6434922,26
shape_jre_yokohama_line,35.4844279,139.6439180,27
shape_jre_yokohama_line,35.4844900,139.6441705,28
shape_jre_yokohama_line,35.4846194,139.6445161,29
shape_jre_yokohama_line,35.4847530,139.6448060,30
shape_jre_yokohama_line,35.4849225,139.6450944,31
shape_jre_yokohama_line,35.4854450,139.6459079,32
shape_jre_yokohama_line,35.4856362,139.6461485,33
shape_jre_yokohama_line,35.4858368,139.6463662,34
shape_jre_yokohama_line,35.4860343,139.6465361,35
shape_jre_yokohama_line,35.4862520,139.6466794,36
shape_jre_yokohama_line,35.4864588,139.6467997,37
shape_jre_yokohama_line,35.4866796,139.6468952,38
shape_jre_yokohama_line,35.4869191,139.6469773,39
shape_jre_yokohama_line,35.4871896,139.6470403,40
shape_jre_yokohama_line,35.4874493,139.6470823,41
shape_jre_yokohama_line,35.4877541,139.6471109,42
shape_jre_yokohama_line,35.4880184,139.6471109,43
shape_jre_yokohama_line,35.4881095,139.6471119,44
shape_jre_yokohama_line,35.4883923,139.6470883,45
shape_jre_yokohama_line,35.4886224,139.6470589,46
shape_jre_yokohama_line,35.4908031,139.6466231,47
shape_jre_yokohama_line,35.4909450,139.6465847,48
shape_jre_yokohama_line,35.4918404,139.6463546,49
shape_jre_yokohama_line,35.4921355,139.6462806,50
shape_jre_yokohama_line,35.4924497,139.6462145,51
shape_jre_yokohama_line,35.4927729,139.6461468,52
shape_jre_yokohama_line,35.4933422,139.6460286,53
shape_jre_yokohama_line,35.4936951,139.6459606,54
shape_jre_yokohama_line,35.4940951,139.6458960,55
shape_jre_yokohama_line,35.4945042,139.6458370,56
shape_jre_yokohama_line,35.4948779,139.6457712,57
shape_jre_yokohama_line,35.4952661,139.6456866,58
shape_jre_yokohama_line,35.4955881,139.6456086,59
shape_jre_yokohama_line,35.4959165,139.6455161,60
shape_jre_yokohama_line,35.4962004,139.6454270,61
shape_jre_yokohama_line,35.4964616,139.6453312,62
shape_jre_yokohama_line,35.4965661,139.6452897,63
shape_jre_yokohama_line,35.4967682,139.6452086,64
shape_jre_yokohama_line,35.4971301,139.6450493,65
shape_jre_yokohama_line,35.4975219,139.6448721,66
shape_jre_yokohama_line,35.4979180,139.6446816,67
shape_jre_yokohama_line,35.4991815,139.6440967,68
shape_jre_yokohama_line,35.5008776,139.6433056,69
shape_jre_yokohama_line,35.5012667,139.6431117,70
shape_jre_yokohama_line,35.5016413,139.6429323,71
shape_jre_yokohama_line,35.5020141,139.6427574,72
shape_jre_yokohama_line,35.5024431,139.6425569,73
shape_jre_yokohama_line,35.5028721,139.6423552,74
shape_jre_yokohama_line,35.5029864,139.6423040,75
shape_jre_yokohama_line,35.5032104,139.6421959,76
shape_jre_yokohama_line,35.5032965,139.6421558,77
shape_jre_yokohama_line,35.5040421,139.6418093,78
shape_jre_yokohama_line,35.5044239,139.6416277,79
shape_jre_yokohama_line,35.5046697,139.6414963,80
shape_jre_yokohama_line,35.5048973,139.6413425,81
shape_jre_yokohama_line,35.5051295,139.6411509,82
shape_jre_yokohama_line,35.5053372,139.6409515,83
shape_jre_yokohama_line,35.5055313,139.6407286,84
shape_jre_yokohama_line,35.5057136,139.6404835,85
shape_jre_yokohama_line,35.5058750,139.6402239,86
shape_jre_yokohama_line,35.5060192,139.6399465,87
shape_jre_yokohama_line,35.5062006,139.6395410,88
shape_jre_yokohama_line,35.5065398,139.6388514,89
shape_jre_yokohama_line,35.5066432,139.6386453,90
shape_jre_yokohama_line,35.5067811,139.6383712,91
shape_jre_yokohama_line,35.5069153,139.6380938,92
shape_jre_yokohama_line,35.5072799,139.6373088,93
shape_jre_yokohama_line,35.5076596,139.6365036,94
shape_jre_yokohama_line,35.5080610,139.6356465,95
shape_jre_yokohama_line,35.5081232,139.6355167,96
shape_jre_yokohama_line,35.5085083,139.6346880,97
shape_jre_yokohama_line,35.5087288,139.6342096,98
shape_jre_yokohama_line,35.5089328,139.6337216,99
shape_jre_yokohama_line,35.5091002,139.6332582,100
shape_jre_yokohama_line,35.5091327,139.6331656,101
shape_jre_yokohama_line,35.5091718,139.6330529,102
shape_jre_yokohama_line,35.5092208,139.6328750,103
shape_jre_yokohama_line,35.5093189,139.6325078,104
shape_jre_yokohama_line,35.5093859,139.6321870,105
shape_jre_yokohama_line,35.5094227,139.6319921,106
shape_jre_yokohama_line,35.5094603,139.6317669,107
shape_jre_yokohama_line,35.5095184,139.6313692,108
shape_jre_yokohama_line,35.5095701,139.6309213,109
shape_jre_yokohama_line,35.5096136,139.6304579,110
shape_jre_yokohama_line,35.5096260,139.6302709,111
shape_jre_yokohama_line,35.5096472,139.6299532,112
shape_jre_yokohama_line,35.5096644,139.6294474,113
shape_jre_yokohama_line,35.5096644,139.6288970,114
shape_jre_yokohama_line,35.5096472,139.6284625,115
shape_jre_yokohama_line,35.5096109,139.6280336,116
shape_jre_yokohama_line,35.5095510,139.6275924,117
shape_jre_yokohama_line,35.5094903,139.6272827,118
shape_jre_yokohama_line,35.5094699,139.6271848,119
shape_jre_yokohama_line,35.5093769,139.6268081,120
shape_jre_yokohama_line,35.5092570,139.6263875,121
shape_jre_yokohama_line,35.5091081,139.6259382,122
shape_jre_yokohama_line,35.5087724,139.6250819,123
shape_jre_yokohama_line,35.5086509,139.6248116,124
shape_jre_yokohama_line,35.5077595,139.6226495,125
shape_jre_yokohama_line,35.5075376,139.6220425,126
shape_jre_yokohama_line,35.5074373,139.6217228,127
shape_jre_yokohama_line,35.5073521,139.6214086,128
shape_jre_yokohama_line,35.5072862,139.6210856,129
shape_jre_yokohama_line,35.5072266,139.6207516,130
shape_jre_yokohama_line,35.5071742,139.6204223,131
shape_jre_yokohama_line,35.5070748,139.6196571,132
shape_jre_yokohama_line,35.5069452,139.6189152,133
shape_jre_yokohama_line,35.5068745,139.6184762,134
shape_jre_yokohama_line,35.5067729,139.6176741,135
shape_jre_yokohama_line,35.5067255,139.6172572,136
shape_jre_yokohama_line,35.5066178,139.6163416,137
shape_jre_yokohama_line,35.5064138,139.6145390,138
shape_jre_yokohama_line,35.5062950,139.6134394,139
shape_jre_yokohama_line,35.5060792,139.6113329,140
shape_jre_yokohama_line,35.5059143,139.6097208,141
shape_jre_yokohama_line,35.5058651,139.6092837,142
shape_jre_yokohama_line,35.5058315,139.6088438,143
shape_jre_yokohama_line,35.5058134,139.6084069,144
shape_jre_yokohama_line,35.5058090,139.6082770,145
shape_jre_yokohama_line,35.5058081,139.6080174,146
shape_jre_yokohama_line,35.5058070,139.6079613,147
shape_jre_yokohama_line,35.5058186,139.6075118,148
shape_jre_yokohama_line,35.5058467,139.6070724,149
shape_jre_yokohama_line,35.5058948,139.6066306,150
shape_jre_yokohama_line,35.5059556,139.6062105,151
shape_jre_yokohama_line,35.5060391,139.6057679,152
shape_jre_yokohama_line,35.5060571,139.6056915,153
shape_jre_yokohama_line,35.5061326,139.6053699,154
shape_jre_yokohama_line,35.5062487,139.6049499,155
shape_jre_yokohama_line,35.5063706,139.6045515,156
shape_jre_yokohama_line,35.5065224,139.6041370,157
shape_jre_yokohama_line,35.5067033,139.6037092,158
shape_jre_yokohama_line,35.5072712,139.6025230,159
shape_jre_yokohama_line,35.5073456,139.6023612,160
shape_jre_yokohama_line,35.5076163,139.6018025,161
shape_jre_yokohama_line,35.5079481,139.6010868,162
shape_jre_yokohama_line,35.5082246,139.6005203,163
shape_jre_yokohama_line,35.5086382,139.5996471,164
shape_jre_yokohama_line,35.5088692,139.5991653,165
shape_jre_yokohama_line,35.5091586,139.5985455,166
shape_jre_yokohama_line,35.5093081,139.5981891,167
shape_jre_yokohama_line,35.5094111,139.5979634,168
shape_jre_yokohama_line,35.5096374,139.5974513,169
shape_jre_yokohama_line,35.5097280,139.5972493,170
shape_jre_yokohama_line,35.5099680,139.5967130,171
shape_jre_yokohama_line,35.5102649,139.5959979,172
shape_jre_yokohama_line,35.5103899,139.5956582,173
shape_jre_yokohama_line,35.5104634,139.5954220,174
shape_jre_yokohama_line,35.5105777,139.5949894,175
shape_jre_yokohama_line,35.5106649,139.5945669,176
shape_jre_yokohama_line,35.5107375,139.5941448,177
shape_jre_yokohama_line,35.5108021,139.5937241,178
shape_jre_yokohama_line,35.5108673,139.5932749,179
shape_jre_yokohama_line,35.5109909,139.5924006,180
shape_jre_yokohama_line,35.5110993,139.5915723,181
shape_jre_yokohama_line,35.5111814,139.5910070,182
shape_jre_yokohama_line,35.5111975,139.5909038,183
shape_jre_yokohama_line,35.5114391,139.5895402,184
shape_jre_yokohama_line,35.5116547,139.5881418,185
shape_jre_yokohama_line,35.5118040,139.5873378,186
shape_jre_yokohama_line,35.5119475,139.5866254,187
