shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jrk_kyusyu_shinkansen,33.5914253,130.4212566,1
shape_jrk_kyusyu_shinkansen,33.5908663,130.4212265,2
shape_jrk_kyusyu_shinkansen,33.5897842,130.4211678,3
shape_jrk_kyusyu_shinkansen,33.5893604,130.4211393,4
shape_jrk_kyusyu_shinkansen,33.5888297,130.4211112,5
shape_jrk_kyusyu_shinkansen,33.5885270,130.4210924,6
shape_jrk_kyusyu_shinkansen,33.5882621,130.4210744,7
shape_jrk_kyusyu_shinkansen,33.5877615,130.4210449,8
shape_jrk_kyusyu_shinkansen,33.5871551,130.4209582,9
shape_jrk_kyusyu_shinkansen,33.5867383,130.4208992,10
shape_jrk_kyusyu_shinkansen,33.5862817,130.4208361,11
shape_jrk_kyusyu_shinkansen,33.5859082,130.4207866,12
shape_jrk_kyusyu_shinkansen,33.5854993,130.4207303,13
shape_jrk_kyusyu_shinkansen,33.5849363,130.4206485,14
shape_jrk_kyusyu_shinkansen,33.5848313,130.4206427,15
shape_jrk_kyusyu_shinkansen,33.5842485,130.4205952,16
shape_jrk_kyusyu_shinkansen,33.5838936,130.4205883,17
shape_jrk_kyusyu_shinkansen,33.5835065,130.4205942,18
shape_jrk_kyusyu_shinkansen,33.5832764,130.4206109,19
shape_jrk_kyusyu_shinkansen,33.5829978,130.4206337,20
shape_jrk_kyusyu_shinkansen,33.5825084,130.4207003,21
shape_jrk_kyusyu_shinkansen,33.5822626,130.4207526,22
shape_jrk_kyusyu_shinkansen,33.5819828,130.4208158,23
shape_jrk_kyusyu_shinkansen,33.5815776,130.4209239,24
shape_jrk_kyusyu_shinkansen,33.5813006,130.4210119,25
shape_jrk_kyusyu_shinkansen,33.5809175,130.4211420,26
shape_jrk_kyusyu_shinkansen,33.5805838,130.4212777,27
shape_jrk_kyusyu_shinkansen,33.5801660,130.4214711,28
shape_jrk_kyusyu_shinkansen,33.5798490,130.4216323,29
shape_jrk_kyusyu_shinkansen,33.5794985,130.4218447,30
shape_jrk_kyusyu_shinkansen,33.5793187,130.4219546,31
shape_jrk_kyusyu_shinkansen,33.5789230,130.4222481,32
shape_jrk_kyusyu_shinkansen,33.5785636,130.4225434,33
shape_jrk_kyusyu_shinkansen,33.5778572,130.4231872,34
shape_jrk_kyusyu_shinkansen,33.5774974,130.4235238,35
shape_jrk_kyusyu_shinkansen,33.5771432,130.4238512,36
shape_jrk_kyusyu_shinkansen,33.5767957,130.4241729,37
shape_jrk_kyusyu_shinkansen,33.5764382,130.4245014,38
shape_jrk_kyusyu_shinkansen,33.5759041,130.4249816,39
shape_jrk_kyusyu_shinkansen,33.5755172,130.4253428,40
shape_jrk_kyusyu_shinkansen,33.5744282,130.4263467,41
shape_jrk_kyusyu_shinkansen,33.5741717,130.4265926,42
shape_jrk_kyusyu_shinkansen,33.5739197,130.4268149,43
shape_jrk_kyusyu_shinkansen,33.5736806,130.4270428,44
shape_jrk_kyusyu_shinkansen,33.5732100,130.4274809,45
shape_jrk_kyusyu_shinkansen,33.5729531,130.4277094,46
shape_jrk_kyusyu_shinkansen,33.5725084,130.4281358,47
shape_jrk_kyusyu_shinkansen,33.5718004,130.4288095,48
shape_jrk_kyusyu_shinkansen,33.5703931,130.4301636,49
