shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_jrw_sanyo_shinkansen,33.5877653,130.4209954,1
shape_jrw_sanyo_shinkansen,33.5882545,130.4210271,2
shape_jrw_sanyo_shinkansen,33.5885214,130.4210387,3
shape_jrw_sanyo_shinkansen,33.5888331,130.4210575,4
shape_jrw_sanyo_shinkansen,33.5893581,130.4210857,5
shape_jrw_sanyo_shinkansen,33.5897880,130.4211163,6
shape_jrw_sanyo_shinkansen,33.5908596,130.4211768,7
shape_jrw_sanyo_shinkansen,33.5914248,130.4212018,8
shape_jrw_sanyo_shinkansen,33.5916282,130.4212023,9
shape_jrw_sanyo_shinkansen,33.5922080,130.4211969,10
shape_jrw_sanyo_shinkansen,33.5925733,130.4211836,11
shape_jrw_sanyo_shinkansen,33.5929428,130.4211785,12
shape_jrw_sanyo_shinkansen,33.5935631,130.4211658,13
shape_jrw_sanyo_shinkansen,33.5938437,130.4211693,14
shape_jrw_sanyo_shinkansen,33.5940613,130.4211715,15
shape_jrw_sanyo_shinkansen,33.5944849,130.4211783,16
shape_jrw_sanyo_shinkansen,33.5954271,130.4211965,17
shape_jrw_sanyo_shinkansen,33.5957392,130.4212090,18
shape_jrw_sanyo_shinkansen,33.5961107,130.4212251,19
shape_jrw_sanyo_shinkansen,33.5966744,130.4212615,20
shape_jrw_sanyo_shinkansen,33.5972055,130.4212882,21
shape_jrw_sanyo_shinkansen,33.5973645,130.4212962,22
shape_jrw_sanyo_shinkansen,33.5976252,130.4213092,23
shape_jrw_sanyo_shinkansen,33.5977224,130.4213148,24
shape_jrw_sanyo_shinkansen,33.5979329,130.4213258,25
shape_jrw_sanyo_shinkansen,33.5984453,130.4213579,26
shape_jrw_sanyo_shinkansen,33.5992088,130.4214057,27
shape_jrw_sanyo_shinkansen,33.5995508,130.4214288,28
shape_jrw_sanyo_shinkansen,33.5996691,130.4214384,29
shape_jrw_sanyo_shinkansen,33.5997874,130.4214479,30
shape_jrw_sanyo_shinkansen,33.6000463,130.4214689,31
shape_jrw_sanyo_shinkansen,33.6003469,130.4215059,32
shape_jrw_sanyo_shinkansen,33.6008012,130.4215931,33
shape_jrw_sanyo_shinkansen,33.6011878,130.4216778,34
shape_jrw_sanyo_shinkansen,33.6018563,130.4218628,35
shape_jrw_sanyo_shinkansen,33.6025070,130.4220780,36
shape_jrw_sanyo_shinkansen,33.6026559,130.4221333,37
shape_jrw_sanyo_shinkansen,33.6027192,130.4221568,38
shape_jrw_sanyo_shinkansen,33.6029314,130.4222355,39
shape_jrw_sanyo_shinkansen,33.6033716,130.4224115,40
shape_jrw_sanyo_shinkansen,33.6035685,130.4224980,41
shape_jrw_sanyo_shinkansen,33.6035998,130.4225115,42
shape_jrw_sanyo_shinkansen,33.6038489,130.4226193,43
shape_jrw_sanyo_shinkansen,33.6039718,130.4226725,44
shape_jrw_sanyo_shinkansen,33.6044414,130.4228988,45
shape_jrw_sanyo_shinkansen,33.6050519,130.4232166,46
shape_jrw_sanyo_shinkansen,33.6056496,130.4235496,47
shape_jrw_sanyo_shinkansen,33.6058198,130.4236498,48
shape_jrw_sanyo_shinkansen,33.6059882,130.4237544,49
shape_jrw_sanyo_shinkansen,33.6060795,130.4238111,50
shape_jrw_sanyo_shinkansen,33.6064006,130.4240146,51
shape_jrw_sanyo_shinkansen,33.6068850,130.4243396,52
shape_jrw_sanyo_shinkansen,33.6075062,130.4247879,53
shape_jrw_sanyo_shinkansen,33.6082450,130.4253677,54
shape_jrw_sanyo_shinkansen,33.6086973,130.4257485,55
shape_jrw_sanyo_shinkansen,33.6092053,130.4262244,56
shape_jrw_sanyo_shinkansen,33.6095923,130.4266015,57
shape_jrw_sanyo_shinkansen,33.6098996,130.4269101,58
shape_jrw_sanyo_shinkansen,33.6103034,130.4273514,59
shape_jrw_sanyo_shinkansen,33.6106278,130.4277202,60
shape_jrw_sanyo_shinkansen,33.6111777,130.4283770,61
shape_jrw_sanyo_shinkansen,33.6115198,130.4288150,62
shape_jrw_sanyo_shinkansen,33.6120236,130.4295027,63
shape_jrw_sanyo_shinkansen,33.6124644,130.4301514,64
shape_jrw_sanyo_shinkansen,33.6127958,130.4306603,65
shape_jrw_sanyo_shinkansen,33.6129801,130.4309693,66
shape_jrw_sanyo_shinkansen,33.6133913,130.4316736,67
shape_jrw_sanyo_shinkansen,33.6138553,130.4324943,68
shape_jrw_sanyo_shinkansen,33.6142686,130.4332119,69
shape_jrw_sanyo_shinkansen,33.6146131,130.4338076,70
shape_jrw_sanyo_shinkansen,33.6150176,130.4345268,71
shape_jrw_sanyo_shinkansen,33.6156691,130.4356675,72
shape_jrw_sanyo_shinkansen,33.6161664,130.4365425,73
shape_jrw_sanyo_shinkansen,33.6172590,130.4384427,74
shape_jrw_sanyo_shinkansen,33.6177412,130.4393010,75
shape_jrw_sanyo_shinkansen,33.6183409,130.4403438,76
shape_jrw_sanyo_shinkansen,33.6209786,130.4449883,77
shape_jrw_sanyo_shinkansen,33.6223728,130.4474415,78
shape_jrw_sanyo_shinkansen,33.6235746,130.4495570,79
shape_jrw_sanyo_shinkansen,33.6243057,130.4508353,80
shape_jrw_sanyo_shinkansen,33.6248663,130.4518173,81
shape_jrw_sanyo_shinkansen,33.6257807,130.4534115,82
shape_jrw_sanyo_shinkansen,33.6266827,130.4550091,83
shape_jrw_sanyo_shinkansen,33.6272559,130.4560063,84
shape_jrw_sanyo_shinkansen,33.6279236,130.4570690,85
shape_jrw_sanyo_shinkansen,33.6284591,130.4578837,86
shape_jrw_sanyo_shinkansen,33.6290358,130.4587211,87
shape_jrw_sanyo_shinkansen,33.6297322,130.4596872,88
shape_jrw_sanyo_shinkansen,33.6305229,130.4606937,89
shape_jrw_sanyo_shinkansen,33.6310695,130.4613647,90
