shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_keio_line,35.6692008,139.4687107,1
shape_keio_line,35.6701582,139.4689956,2
shape_keio_line,35.6702053,139.4690096,3
shape_keio_line,35.6704178,139.4690748,4
shape_keio_line,35.6705833,139.4691436,5
shape_keio_line,35.6707836,139.4692381,6
shape_keio_line,35.6709719,139.4693452,7
shape_keio_line,35.6711502,139.4694726,8
shape_keio_line,35.6713761,139.4696776,9
shape_keio_line,35.6714712,139.4697765,10
shape_keio_line,35.6716078,139.4699381,11
shape_keio_line,35.6717398,139.4701207,12
shape_keio_line,35.6718686,139.4703284,13
shape_keio_line,35.6719781,139.4705269,14
shape_keio_line,35.6720664,139.4707246,15
shape_keio_line,35.6721496,139.4709532,16
shape_keio_line,35.6722079,139.4711896,17
shape_keio_line,35.6723007,139.4716227,18
shape_keio_line,35.6723551,139.4718794,19
shape_keio_line,35.6726014,139.4730255,20
shape_keio_line,35.6727495,139.4737376,21
shape_keio_line,35.6728093,139.4740543,22
shape_keio_line,35.6728604,139.4744039,23
shape_keio_line,35.6728999,139.4748085,24
shape_keio_line,35.6729228,139.4752020,25
shape_keio_line,35.6729295,139.4756294,26
shape_keio_line,35.6729152,139.4759640,27
shape_keio_line,35.6728880,139.4763845,28
shape_keio_line,35.6728512,139.4767292,29
shape_keio_line,35.6727895,139.4771148,30
shape_keio_line,35.6727029,139.4776027,31
shape_keio_line,35.6725368,139.4784424,32
shape_keio_line,35.6725145,139.4785552,33
shape_keio_line,35.6722120,139.4801394,34
shape_keio_line,35.6718051,139.4822614,35
shape_keio_line,35.6716579,139.4830243,36
shape_keio_line,35.6706150,139.4884289,37
shape_keio_line,35.6703233,139.4899408,38
shape_keio_line,35.6701927,139.4906095,39
shape_keio_line,35.6698626,139.4923543,40
shape_keio_line,35.6697980,139.4926275,41
shape_keio_line,35.6697276,139.4928776,42
shape_keio_line,35.6694834,139.4935417,43
shape_keio_line,35.6694388,139.4936736,44
shape_keio_line,35.6691935,139.4943795,45
shape_keio_line,35.6691477,139.4944997,46
shape_keio_line,35.6691199,139.4945775,47
shape_keio_line,35.6690861,139.4946714,48
shape_keio_line,35.6687411,139.4956583,49
shape_keio_line,35.6683133,139.4968314,50
shape_keio_line,35.6681583,139.4972554,51
shape_keio_line,35.6678803,139.4980413,52
shape_keio_line,35.6672874,139.4996739,53
shape_keio_line,35.6668118,139.5010309,54
shape_keio_line,35.6667999,139.5010641,55
shape_keio_line,35.6662428,139.5026237,56
shape_keio_line,35.6660440,139.5031670,57
shape_keio_line,35.6659824,139.5033375,58
shape_keio_line,35.6657894,139.5038985,59
shape_keio_line,35.6656988,139.5042140,60
shape_keio_line,35.6656629,139.5043484,61
shape_keio_line,35.6654251,139.5054535,62
shape_keio_line,35.6650692,139.5071171,63
shape_keio_line,35.6650549,139.5071836,64
shape_keio_line,35.6649788,139.5075406,65
shape_keio_line,35.6649397,139.5077190,66
shape_keio_line,35.6648534,139.5081243,67
shape_keio_line,35.6648180,139.5082731,68
shape_keio_line,35.6644819,139.5098431,69
shape_keio_line,35.6642239,139.5110663,70
shape_keio_line,35.6639784,139.5122179,71
shape_keio_line,35.6638500,139.5128348,72
shape_keio_line,35.6637697,139.5132885,73
shape_keio_line,35.6636540,139.5140362,74
shape_keio_line,35.6636213,139.5142741,75
shape_keio_line,35.6635228,139.5148826,76
shape_keio_line,35.6633464,139.5159803,77
shape_keio_line,35.6632399,139.5164737,78
shape_keio_line,35.6631673,139.5167184,79
shape_keio_line,35.6630963,139.5169169,80
shape_keio_line,35.6630472,139.5170370,81
shape_keio_line,35.6629104,139.5173536,82
shape_keio_line,35.6621783,139.5189532,83
shape_keio_line,35.6617279,139.5199468,84
shape_keio_line,35.6606266,139.5223436,85
shape_keio_line,35.6604560,139.5227181,86
shape_keio_line,35.6604069,139.5228279,87
shape_keio_line,35.6600978,139.5235018,88
shape_keio_line,35.6594392,139.5249333,89
shape_keio_line,35.6593426,139.5251414,90
shape_keio_line,35.6591918,139.5254723,91
shape_keio_line,35.6586002,139.5267682,92
shape_keio_line,35.6579754,139.5281349,93
shape_keio_line,35.6576929,139.5287503,94
shape_keio_line,35.6571895,139.5298298,95
shape_keio_line,35.6571082,139.5300139,96
shape_keio_line,35.6569237,139.5304220,97
shape_keio_line,35.6565780,139.5311933,98
shape_keio_line,35.6561000,139.5322252,99
shape_keio_line,35.6556934,139.5331082,100
shape_keio_line,35.6552585,139.5340612,101
shape_keio_line,35.6548370,139.5349886,102
shape_keio_line,35.6546720,139.5353868,103
shape_keio_line,35.6545267,139.5357593,104
shape_keio_line,35.6543900,139.5361841,105
shape_keio_line,35.6530905,139.5406124,106
shape_keio_line,35.6529809,139.5409423,107
