shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_sapporo_namboku_line,42.9911736,141.3584078,1
shape_sapporo_namboku_line,42.9917740,141.3584985,2
shape_sapporo_namboku_line,42.9925977,141.3586563,3
shape_sapporo_namboku_line,42.9958219,141.3591788,4
shape_sapporo_namboku_line,42.9964134,141.3593027,5
shape_sapporo_namboku_line,42.9968585,141.3594267,6
shape_sapporo_namboku_line,42.9974142,141.3596456,7
shape_sapporo_namboku_line,42.9984509,141.3601808,8
shape_sapporo_namboku_line,43.0000718,141.3612853,9
shape_sapporo_namboku_line,43.0026111,141.3630569,10
shape_sapporo_namboku_line,43.0031151,141.3634201,11
shape_sapporo_namboku_line,43.0034248,141.3636688,12
shape_sapporo_namboku_line,43.0038080,141.3639441,13
shape_sapporo_namboku_line,43.0042331,141.3641969,14
shape_sapporo_namboku_line,43.0045631,141.3643246,15
shape_sapporo_namboku_line,43.0048572,141.3644023,16
shape_sapporo_namboku_line,43.0050131,141.3644403,17
shape_sapporo_namboku_line,43.0055764,141.3645771,18
shape_sapporo_namboku_line,43.0063364,141.3647553,19
shape_sapporo_namboku_line,43.0068515,141.3648699,20
shape_sapporo_namboku_line,43.0082653,141.3652118,21
shape_sapporo_namboku_line,43.0093979,141.3654872,22
shape_sapporo_namboku_line,43.0100519,141.3656593,23
shape_sapporo_namboku_line,43.0106581,141.3658109,24
shape_sapporo_namboku_line,43.0113065,141.3659694,25
shape_sapporo_namboku_line,43.0118469,141.3660982,26
shape_sapporo_namboku_line,43.0128728,141.3663436,27
shape_sapporo_namboku_line,43.0153474,141.3669276,28
shape_sapporo_namboku_line,43.0158832,141.3670549,29
shape_sapporo_namboku_line,43.0163740,141.3671534,30
shape_sapporo_namboku_line,43.0172051,141.3672933,31
shape_sapporo_namboku_line,43.0177388,141.3673408,32
shape_sapporo_namboku_line,43.0182111,141.3673673,33
shape_sapporo_namboku_line,43.0194628,141.3673780,34
shape_sapporo_namboku_line,43.0205080,141.3673654,35
shape_sapporo_namboku_line,43.0211200,141.3673716,36
shape_sapporo_namboku_line,43.0214668,141.3673776,37
shape_sapporo_namboku_line,43.0217937,141.3674463,38
shape_sapporo_namboku_line,43.0220723,141.3675434,39
shape_sapporo_namboku_line,43.0224108,141.3677311,40
shape_sapporo_namboku_line,43.0226107,141.3678846,41
shape_sapporo_namboku_line,43.0228277,141.3680823,42
shape_sapporo_namboku_line,43.0230093,141.3682748,43
shape_sapporo_namboku_line,43.0246854,141.3703141,44
shape_sapporo_namboku_line,43.0249058,141.3705178,45
shape_sapporo_namboku_line,43.0251026,141.3706698,46
shape_sapporo_namboku_line,43.0252977,141.3708040,47
shape_sapporo_namboku_line,43.0255093,141.3709319,48
shape_sapporo_namboku_line,43.0257204,141.3710325,49
shape_sapporo_namboku_line,43.0259530,141.3711190,50
shape_sapporo_namboku_line,43.0261426,141.3711644,51
shape_sapporo_namboku_line,43.0265305,141.3712398,52
shape_sapporo_namboku_line,43.0265900,141.3712402,53
shape_sapporo_namboku_line,43.0267520,141.3712755,54
shape_sapporo_namboku_line,43.0269323,141.3713119,55
shape_sapporo_namboku_line,43.0270485,141.3713399,56
shape_sapporo_namboku_line,43.0272560,141.3713877,57
shape_sapporo_namboku_line,43.0273584,141.3714112,58
shape_sapporo_namboku_line,43.0279231,141.3715950,59
shape_sapporo_namboku_line,43.0283917,141.3717210,60
shape_sapporo_namboku_line,43.0287814,141.3718202,61
shape_sapporo_namboku_line,43.0292209,141.3719263,62
shape_sapporo_namboku_line,43.0297098,141.3720415,63
shape_sapporo_namboku_line,43.0299403,141.3720992,64
shape_sapporo_namboku_line,43.0303211,141.3721907,65
shape_sapporo_namboku_line,43.0305448,141.3722442,66
shape_sapporo_namboku_line,43.0307510,141.3722920,67
shape_sapporo_namboku_line,43.0324343,141.3726611,68
shape_sapporo_namboku_line,43.0326239,141.3726746,69
shape_sapporo_namboku_line,43.0328587,141.3726565,70
shape_sapporo_namboku_line,43.0330933,141.3725753,71
shape_sapporo_namboku_line,43.0333832,141.3724321,72
shape_sapporo_namboku_line,43.0335369,141.3723248,73
shape_sapporo_namboku_line,43.0337358,141.3721439,74
shape_sapporo_namboku_line,43.0338890,141.3719478,75
shape_sapporo_namboku_line,43.0340155,141.3717630,76
shape_sapporo_namboku_line,43.0341088,141.3716002,77
shape_sapporo_namboku_line,43.0342466,141.3712648,78
shape_sapporo_namboku_line,43.0343488,141.3708832,79
shape_sapporo_namboku_line,43.0344238,141.3703954,80
shape_sapporo_namboku_line,43.0344616,141.3697300,81
shape_sapporo_namboku_line,43.0344849,141.3692237,82
shape_sapporo_namboku_line,43.0345507,141.3682938,83
shape_sapporo_namboku_line,43.0346553,141.3676585,84
shape_sapporo_namboku_line,43.0347164,141.3674261,85
shape_sapporo_namboku_line,43.0348257,141.3670639,86
shape_sapporo_namboku_line,43.0350367,141.3665033,87
shape_sapporo_namboku_line,43.0354436,141.3654548,88
shape_sapporo_namboku_line,43.0358738,141.3643193,89
shape_sapporo_namboku_line,43.0360747,141.3638602,90
shape_sapporo_namboku_line,43.0364282,141.3631709,91
shape_sapporo_namboku_line,43.0366490,141.3627425,92
shape_sapporo_namboku_line,43.0369817,141.3621328,93
shape_sapporo_namboku_line,43.0375078,141.3611569,94
shape_sapporo_namboku_line,43.0377849,141.3606416,95
shape_sapporo_namboku_line,43.0382312,141.3597908,96
shape_sapporo_namboku_line,43.0384152,141.3593443,97
shape_sapporo_namboku_line,43.0387529,141.3585863,98
shape_sapporo_namboku_line,43.0390940,141.3578284,99
shape_sapporo_namboku_line,43.0394041,141.3572495,100
shape_sapporo_namboku_line,43.0397817,141.3566125,101
shape_sapporo_namboku_line,43.0401791,141.3559382,102
shape_sapporo_namboku_line,43.0405231,141.3555158,103
shape_sapporo_namboku_line,43.0407378,141.3553092,104
shape_sapporo_namboku_line,43.0410933,141.3551245,105
shape_sapporo_namboku_line,43.0416153,141.3548898,106
shape_sapporo_namboku_line,43.0419075,141.3547620,107
shape_sapporo_namboku_line,43.0422664,141.3546574,108
shape_sapporo_namboku_line,43.0428673,141.3545202,109
shape_sapporo_namboku_line,43.0433204,141.3544971,110
shape_sapporo_namboku_line,43.0438928,141.3545389,111
shape_sapporo_namboku_line,43.0458838,141.3548532,112
shape_sapporo_namboku_line,43.0465591,141.3549529,113
shape_sapporo_namboku_line,43.0471664,141.3550590,114
shape_sapporo_namboku_line,43.0474832,141.3550932,115
shape_sapporo_namboku_line,43.0477804,141.3551182,116
shape_sapporo_namboku_line,43.0482825,141.3550932,117
shape_sapporo_namboku_line,43.0483278,141.3550899,118
shape_sapporo_namboku_line,43.0490574,141.3549406,119
shape_sapporo_namboku_line,43.0553569,141.3533461,120
shape_sapporo_namboku_line,43.0559372,141.3531823,121
shape_sapporo_namboku_line,43.0589510,141.3524338,122
shape_sapporo_namboku_line,43.0602405,141.3521136,123
shape_sapporo_namboku_line,43.0614330,141.3517858,124
shape_sapporo_namboku_line,43.0619018,141.3516726,125
shape_sapporo_namboku_line,43.0629946,141.3513882,126
shape_sapporo_namboku_line,43.0640728,141.3511376,127
shape_sapporo_namboku_line,43.0659446,141.3506696,128
shape_sapporo_namboku_line,43.0679872,141.3501498,129
shape_sapporo_namboku_line,43.0698964,141.3496693,130
shape_sapporo_namboku_line,43.0747659,141.3484438,131
shape_sapporo_namboku_line,43.0815706,141.3467455,132
shape_sapporo_namboku_line,43.0894874,141.3447306,133
shape_sapporo_namboku_line,43.1002092,141.3420165,134
shape_sapporo_namboku_line,43.1053818,141.3406822,135
shape_sapporo_namboku_line,43.1057506,141.3405575,136
shape_sapporo_namboku_line,43.1059892,141.3404165,137
shape_sapporo_namboku_line,43.1062341,141.3402031,138
shape_sapporo_namboku_line,43.1063752,141.3399434,139
shape_sapporo_namboku_line,43.1065796,141.3395592,140
shape_sapporo_namboku_line,43.1068983,141.3389925,141
shape_sapporo_namboku_line,43.1071836,141.3386894,142
shape_sapporo_namboku_line,43.1073988,141.3385631,143
shape_sapporo_namboku_line,43.1076903,141.3385211,144
shape_sapporo_namboku_line,43.1083794,141.3383281,145
