shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_toei_mita_line,35.7919270,139.6457664,1
shape_toei_mita_line,35.7917369,139.6467364,2
shape_toei_mita_line,35.7916308,139.6472984,3
shape_toei_mita_line,35.7904299,139.6533464,4
shape_toei_mita_line,35.7902371,139.6543497,5
shape_toei_mita_line,35.7900531,139.6553074,6
shape_toei_mita_line,35.7899399,139.6559210,7
shape_toei_mita_line,35.7897808,139.6570777,8
shape_toei_mita_line,35.7897318,139.6573518,9
shape_toei_mita_line,35.7894575,139.6587814,10
shape_toei_mita_line,35.7893779,139.6592692,11
shape_toei_mita_line,35.7892001,139.6604465,12
shape_toei_mita_line,35.7890733,139.6610867,13
shape_toei_mita_line,35.7890259,139.6613225,14
shape_toei_mita_line,35.7889117,139.6618548,15
shape_toei_mita_line,35.7887960,139.6623926,16
shape_toei_mita_line,35.7886528,139.6629447,17
shape_toei_mita_line,35.7885656,139.6633721,18
shape_toei_mita_line,35.7884412,139.6640230,19
shape_toei_mita_line,35.7875832,139.6682953,20
shape_toei_mita_line,35.7874989,139.6687554,21
shape_toei_mita_line,35.7874248,139.6692156,22
shape_toei_mita_line,35.7873697,139.6696789,23
shape_toei_mita_line,35.7871936,139.6716903,24
shape_toei_mita_line,35.7871656,139.6719975,25
shape_toei_mita_line,35.7871017,139.6725834,26
shape_toei_mita_line,35.7869821,139.6740114,27
shape_toei_mita_line,35.7868665,139.6749843,28
shape_toei_mita_line,35.7867588,139.6763808,29
shape_toei_mita_line,35.7866683,139.6773537,30
shape_toei_mita_line,35.7866441,139.6775531,31
shape_toei_mita_line,35.7866056,139.6777768,32
shape_toei_mita_line,35.7865608,139.6779497,33
shape_toei_mita_line,35.7865090,139.6780979,34
shape_toei_mita_line,35.7864319,139.6782670,35
shape_toei_mita_line,35.7863454,139.6784211,36
shape_toei_mita_line,35.7862513,139.6785564,37
shape_toei_mita_line,35.7861160,139.6787177,38
shape_toei_mita_line,35.7860013,139.6788233,39
shape_toei_mita_line,35.7858610,139.6789271,40
shape_toei_mita_line,35.7857113,139.6790127,41
shape_toei_mita_line,35.7856361,139.6790440,42
shape_toei_mita_line,35.7855693,139.6790718,43
shape_toei_mita_line,35.7854169,139.6791160,44
shape_toei_mita_line,35.7853777,139.6791233,45
shape_toei_mita_line,35.7852529,139.6791464,46
shape_toei_mita_line,35.7850754,139.6791641,47
shape_toei_mita_line,35.7849204,139.6791674,48
shape_toei_mita_line,35.7846412,139.6791652,49
shape_toei_mita_line,35.7844985,139.6791543,50
shape_toei_mita_line,35.7841524,139.6791122,51
shape_toei_mita_line,35.7838889,139.6790789,52
shape_toei_mita_line,35.7834151,139.6790100,53
shape_toei_mita_line,35.7831769,139.6789808,54
shape_toei_mita_line,35.7829128,139.6789614,55
shape_toei_mita_line,35.7826910,139.6789657,56
shape_toei_mita_line,35.7825412,139.6789818,57
shape_toei_mita_line,35.7824233,139.6789976,58
shape_toei_mita_line,35.7822438,139.6790423,59
shape_toei_mita_line,35.7820308,139.6791126,60
shape_toei_mita_line,35.7818476,139.6791872,61
shape_toei_mita_line,35.7817036,139.6792683,62
shape_toei_mita_line,35.7814623,139.6794148,63
shape_toei_mita_line,35.7804050,139.6801592,64
shape_toei_mita_line,35.7780102,139.6817986,65
shape_toei_mita_line,35.7778796,139.6818982,66
shape_toei_mita_line,35.7777303,139.6820396,67
shape_toei_mita_line,35.7776174,139.6821634,68
shape_toei_mita_line,35.7775218,139.6822857,69
shape_toei_mita_line,35.7774293,139.6824314,70
shape_toei_mita_line,35.7773404,139.6825815,71
shape_toei_mita_line,35.7772490,139.6827783,72
shape_toei_mita_line,35.7771825,139.6829631,73
shape_toei_mita_line,35.7771292,139.6831547,74
shape_toei_mita_line,35.7770857,139.6833617,75
shape_toei_mita_line,35.7770635,139.6835363,76
shape_toei_mita_line,35.7770538,139.6837378,77
shape_toei_mita_line,35.7770555,139.6839526,78
shape_toei_mita_line,35.7770715,139.6841516,79
shape_toei_mita_line,35.7771026,139.6843440,80
shape_toei_mita_line,35.7771677,139.6846191,81
shape_toei_mita_line,35.7772492,139.6849338,82
shape_toei_mita_line,35.7775163,139.6859740,83
shape_toei_mita_line,35.7777145,139.6867303,84
shape_toei_mita_line,35.7778255,139.6871588,85
shape_toei_mita_line,35.7780147,139.6878913,86
shape_toei_mita_line,35.7781158,139.6882718,87
shape_toei_mita_line,35.7781917,139.6885130,88
shape_toei_mita_line,35.7784859,139.6894029,89
shape_toei_mita_line,35.7785463,139.6896219,90
shape_toei_mita_line,35.7786103,139.6899164,91
shape_toei_mita_line,35.7786582,139.6902690,92
shape_toei_mita_line,35.7786726,139.6907080,93
shape_toei_mita_line,35.7786590,139.6909531,94
shape_toei_mita_line,35.7786400,139.6911157,95
shape_toei_mita_line,35.7786058,139.6913357,96
shape_toei_mita_line,35.7785724,139.6914980,97
shape_toei_mita_line,35.7785466,139.6916106,98
shape_toei_mita_line,35.7785126,139.6917338,99
shape_toei_mita_line,35.7784912,139.6918034,100
shape_toei_mita_line,35.7784130,139.6920401,101
shape_toei_mita_line,35.7782956,139.6923163,102
shape_toei_mita_line,35.7780984,139.6926882,103
shape_toei_mita_line,35.7778434,139.6930719,104
shape_toei_mita_line,35.7775536,139.6934320,105
shape_toei_mita_line,35.7774527,139.6935260,106
shape_toei_mita_line,35.7764948,139.6946138,107
shape_toei_mita_line,35.7757065,139.6955271,108
shape_toei_mita_line,35.7748744,139.6964803,109
shape_toei_mita_line,35.7737656,139.6977578,110
shape_toei_mita_line,35.7730870,139.6984715,111
shape_toei_mita_line,35.7720299,139.6995080,112
shape_toei_mita_line,35.7709507,139.7005055,113
shape_toei_mita_line,35.7703186,139.7010881,114
shape_toei_mita_line,35.7698167,139.7014907,115
shape_toei_mita_line,35.7692943,139.7018882,116
shape_toei_mita_line,35.7685309,139.7024692,117
shape_toei_mita_line,35.7682021,139.7027125,118
shape_toei_mita_line,35.7679395,139.7028871,119
shape_toei_mita_line,35.7676705,139.7030531,120
shape_toei_mita_line,35.7674143,139.7031871,121
shape_toei_mita_line,35.7671667,139.7033082,122
shape_toei_mita_line,35.7668927,139.7034264,123
shape_toei_mita_line,35.7664350,139.7036002,124
shape_toei_mita_line,35.7658326,139.7038358,125
shape_toei_mita_line,35.7649496,139.7041819,126
shape_toei_mita_line,35.7614350,139.7055511,127
shape_toei_mita_line,35.7606451,139.7058489,128
shape_toei_mita_line,35.7599101,139.7061324,129
shape_toei_mita_line,35.7582633,139.7067783,130
shape_toei_mita_line,35.7565422,139.7074505,131
shape_toei_mita_line,35.7550841,139.7079872,132
shape_toei_mita_line,35.7533188,139.7084939,133
shape_toei_mita_line,35.7530323,139.7085823,134
shape_toei_mita_line,35.7527560,139.7087073,135
shape_toei_mita_line,35.7524810,139.7088744,136
shape_toei_mita_line,35.7522283,139.7090839,137
shape_toei_mita_line,35.7520070,139.7093079,138
shape_toei_mita_line,35.7513643,139.7100535,139
shape_toei_mita_line,35.7507292,139.7108067,140
shape_toei_mita_line,35.7503896,139.7112599,141
shape_toei_mita_line,35.7500898,139.7117635,142
shape_toei_mita_line,35.7499345,139.7121013,143
shape_toei_mita_line,35.7498092,139.7124252,144
shape_toei_mita_line,35.7496922,139.7127542,145
shape_toei_mita_line,35.7496009,139.7130887,146
shape_toei_mita_line,35.7495223,139.7134548,147
shape_toei_mita_line,35.7494758,139.7137429,148
shape_toei_mita_line,35.7494462,139.7139909,149
shape_toei_mita_line,35.7493900,139.7145283,150
shape_toei_mita_line,35.7493551,139.7148756,151
shape_toei_mita_line,35.7490856,139.7175899,152
shape_toei_mita_line,35.7490384,139.7180656,153
shape_toei_mita_line,35.7488460,139.7200030,154
shape_toei_mita_line,35.7488137,139.7202674,155
shape_toei_mita_line,35.7487305,139.7207668,156
shape_toei_mita_line,35.7486676,139.7210381,157
shape_toei_mita_line,35.7485681,139.7213949,158
shape_toei_mita_line,35.7484552,139.7217401,159
shape_toei_mita_line,35.7482384,139.7222975,160
shape_toei_mita_line,35.7479390,139.7228982,161
shape_toei_mita_line,35.7475446,139.7235433,162
shape_toei_mita_line,35.7468190,139.7246923,163
shape_toei_mita_line,35.7452776,139.7270389,164
shape_toei_mita_line,35.7450610,139.7272934,165
shape_toei_mita_line,35.7445862,139.7277614,166
shape_toei_mita_line,35.7440894,139.7282804,167
shape_toei_mita_line,35.7435859,139.7287504,168
shape_toei_mita_line,35.7418862,139.7303110,169
shape_toei_mita_line,35.7392826,139.7327866,170
shape_toei_mita_line,35.7348379,139.7370853,171
shape_toei_mita_line,35.7346460,139.7373185,172
shape_toei_mita_line,35.7344542,139.7375528,173
shape_toei_mita_line,35.7342056,139.7378625,174
shape_toei_mita_line,35.7338271,139.7383039,175
shape_toei_mita_line,35.7335460,139.7386049,176
shape_toei_mita_line,35.7333991,139.7387677,177
shape_toei_mita_line,35.7332662,139.7389095,178
shape_toei_mita_line,35.7328547,139.7393486,179
shape_toei_mita_line,35.7322941,139.7399840,180
shape_toei_mita_line,35.7317612,139.7405753,181
shape_toei_mita_line,35.7311074,139.7413111,182
shape_toei_mita_line,35.7287561,139.7436329,183
shape_toei_mita_line,35.7282336,139.7443101,184
shape_toei_mita_line,35.7277509,139.7450430,185
shape_toei_mita_line,35.7272870,139.7456997,186
shape_toei_mita_line,35.7269938,139.7461392,187
shape_toei_mita_line,35.7266862,139.7466976,188
shape_toei_mita_line,35.7260100,139.7479896,189
shape_toei_mita_line,35.7257559,139.7486087,190
shape_toei_mita_line,35.7255340,139.7493455,191
shape_toei_mita_line,35.7254144,139.7496885,192
shape_toei_mita_line,35.7252588,139.7500400,193
shape_toei_mita_line,35.7250854,139.7503784,194
shape_toei_mita_line,35.7249001,139.7506631,195
shape_toei_mita_line,35.7244763,139.7511768,196
shape_toei_mita_line,35.7242132,139.7514149,197
shape_toei_mita_line,35.7239366,139.7516206,198
shape_toei_mita_line,35.7234509,139.7519148,199
shape_toei_mita_line,35.7231088,139.7520394,200
shape_toei_mita_line,35.7225503,139.7521926,201
shape_toei_mita_line,35.7223413,139.7522108,202
shape_toei_mita_line,35.7216851,139.7521892,203
shape_toei_mita_line,35.7215167,139.7521715,204
shape_toei_mita_line,35.7212748,139.7521197,205
shape_toei_mita_line,35.7209210,139.7520122,206
shape_toei_mita_line,35.7198631,139.7516480,207
shape_toei_mita_line,35.7190825,139.7514138,208
shape_toei_mita_line,35.7183139,139.7514018,209
shape_toei_mita_line,35.7176933,139.7515172,210
shape_toei_mita_line,35.7162107,139.7517660,211
shape_toei_mita_line,35.7132053,139.7522947,212
shape_toei_mita_line,35.7123415,139.7524585,213
shape_toei_mita_line,35.7108066,139.7529202,214
shape_toei_mita_line,35.7099161,139.7531961,215
shape_toei_mita_line,35.7090454,139.7534564,216
shape_toei_mita_line,35.7087119,139.7535716,217
shape_toei_mita_line,35.7083592,139.7536971,218
shape_toei_mita_line,35.7080561,139.7538062,219
shape_toei_mita_line,35.7071743,139.7541363,220
shape_toei_mita_line,35.7067283,139.7542769,221
shape_toei_mita_line,35.7061242,139.7544536,222
shape_toei_mita_line,35.7057502,139.7545641,223
shape_toei_mita_line,35.7054062,139.7546727,224
shape_toei_mita_line,35.7045606,139.7549373,225
shape_toei_mita_line,35.7043499,139.7550106,226
shape_toei_mita_line,35.7035315,139.7552679,227
shape_toei_mita_line,35.7030759,139.7553914,228
shape_toei_mita_line,35.7027009,139.7555045,229
shape_toei_mita_line,35.7025104,139.7555562,230
shape_toei_mita_line,35.7023892,139.7555812,231
shape_toei_mita_line,35.7022736,139.7555995,232
shape_toei_mita_line,35.7021571,139.7556118,233
shape_toei_mita_line,35.7020464,139.7556131,234
shape_toei_mita_line,35.7018666,139.7556085,235
shape_toei_mita_line,35.7015305,139.7555874,236
shape_toei_mita_line,35.7013676,139.7555801,237
shape_toei_mita_line,35.7011839,139.7555862,238
shape_toei_mita_line,35.7009871,139.7556096,239
shape_toei_mita_line,35.7008095,139.7556449,240
shape_toei_mita_line,35.7006437,139.7556930,241
shape_toei_mita_line,35.7004959,139.7557460,242
shape_toei_mita_line,35.7003475,139.7558047,243
shape_toei_mita_line,35.7002198,139.7558724,244
shape_toei_mita_line,35.7000533,139.7559715,245
shape_toei_mita_line,35.6997543,139.7561650,246
shape_toei_mita_line,35.6995458,139.7562975,247
shape_toei_mita_line,35.6993669,139.7564081,248
shape_toei_mita_line,35.6977863,139.7573092,249
shape_toei_mita_line,35.6976032,139.7574192,250
shape_toei_mita_line,35.6974289,139.7575260,251
shape_toei_mita_line,35.6969926,139.7577781,252
shape_toei_mita_line,35.6967994,139.7578834,253
shape_toei_mita_line,35.6966398,139.7579594,254
shape_toei_mita_line,35.6964781,139.7580306,255
shape_toei_mita_line,35.6963209,139.7580832,256
shape_toei_mita_line,35.6957887,139.7582168,257
shape_toei_mita_line,35.6950136,139.7583761,258
shape_toei_mita_line,35.6942797,139.7585229,259
shape_toei_mita_line,35.6938892,139.7585584,260
shape_toei_mita_line,35.6935828,139.7585969,261
shape_toei_mita_line,35.6933922,139.7586371,262
shape_toei_mita_line,35.6932528,139.7586854,263
shape_toei_mita_line,35.6929739,139.7588517,264
shape_toei_mita_line,35.6927583,139.7590609,265
shape_toei_mita_line,35.6926450,139.7591950,266
shape_toei_mita_line,35.6925415,139.7593465,267
shape_toei_mita_line,35.6921875,139.7599407,268
shape_toei_mita_line,35.6919958,139.7602558,269
shape_toei_mita_line,35.6918173,139.7605582,270
shape_toei_mita_line,35.6914746,139.7611309,271
shape_toei_mita_line,35.6912800,139.7614499,272
shape_toei_mita_line,35.6911061,139.7617477,273
shape_toei_mita_line,35.6909488,139.7620596,274
shape_toei_mita_line,35.6908063,139.7623965,275
shape_toei_mita_line,35.6906696,139.7627229,276
shape_toei_mita_line,35.6905294,139.7630653,277
shape_toei_mita_line,35.6903805,139.7633818,278
shape_toei_mita_line,35.6901654,139.7636804,279
shape_toei_mita_line,35.6899340,139.7638948,280
shape_toei_mita_line,35.6897906,139.7639874,281
shape_toei_mita_line,35.6896550,139.7640604,282
shape_toei_mita_line,35.6895521,139.7640999,283
shape_toei_mita_line,35.6894321,139.7641377,284
shape_toei_mita_line,35.6893028,139.7641630,285
shape_toei_mita_line,35.6891668,139.7641780,286
shape_toei_mita_line,35.6890413,139.7641817,287
shape_toei_mita_line,35.6889209,139.7641687,288
shape_toei_mita_line,35.6887912,139.7641395,289
shape_toei_mita_line,35.6883486,139.7640008,290
shape_toei_mita_line,35.6881252,139.7639287,291
shape_toei_mita_line,35.6877035,139.7637913,292
shape_toei_mita_line,35.6874253,139.7637040,293
shape_toei_mita_line,35.6861443,139.7633358,294
shape_toei_mita_line,35.6859188,139.7632762,295
shape_toei_mita_line,35.6856563,139.7632062,296
shape_toei_mita_line,35.6854320,139.7631603,297
shape_toei_mita_line,35.6850816,139.7630959,298
shape_toei_mita_line,35.6848054,139.7630462,299
shape_toei_mita_line,35.6839383,139.7628105,300
shape_toei_mita_line,35.6834118,139.7626610,301
shape_toei_mita_line,35.6831672,139.7625812,302
shape_toei_mita_line,35.6828821,139.7624762,303
shape_toei_mita_line,35.6816248,139.7619787,304
shape_toei_mita_line,35.6813519,139.7618845,305
shape_toei_mita_line,35.6810514,139.7617936,306
shape_toei_mita_line,35.6801436,139.7614883,307
shape_toei_mita_line,35.6798243,139.7613890,308
shape_toei_mita_line,35.6795428,139.7613001,309
shape_toei_mita_line,35.6792188,139.7612191,310
shape_toei_mita_line,35.6784149,139.7609464,311
shape_toei_mita_line,35.6782132,139.7608780,312
shape_toei_mita_line,35.6778818,139.7607696,313
shape_toei_mita_line,35.6776741,139.7607067,314
shape_toei_mita_line,35.6775055,139.7606611,315
shape_toei_mita_line,35.6772757,139.7605976,316
shape_toei_mita_line,35.6770791,139.7605401,317
shape_toei_mita_line,35.6762604,139.7602621,318
shape_toei_mita_line,35.6759070,139.7601113,319
shape_toei_mita_line,35.6757798,139.7600460,320
shape_toei_mita_line,35.6756469,139.7599637,321
shape_toei_mita_line,35.6754944,139.7598543,322
shape_toei_mita_line,35.6753409,139.7597365,323
shape_toei_mita_line,35.6751442,139.7595670,324
shape_toei_mita_line,35.6748781,139.7593265,325
shape_toei_mita_line,35.6745590,139.7590265,326
shape_toei_mita_line,35.6742892,139.7587577,327
shape_toei_mita_line,35.6736156,139.7580664,328
shape_toei_mita_line,35.6734373,139.7578966,329
shape_toei_mita_line,35.6732728,139.7577492,330
shape_toei_mita_line,35.6731174,139.7576246,331
shape_toei_mita_line,35.6728987,139.7574712,332
shape_toei_mita_line,35.6726908,139.7573388,333
shape_toei_mita_line,35.6706973,139.7561700,334
shape_toei_mita_line,35.6704978,139.7560577,335
shape_toei_mita_line,35.6700975,139.7558640,336
shape_toei_mita_line,35.6694261,139.7554597,337
shape_toei_mita_line,35.6687501,139.7550516,338
shape_toei_mita_line,35.6683292,139.7548110,339
shape_toei_mita_line,35.6681626,139.7547164,340
shape_toei_mita_line,35.6679551,139.7546133,341
shape_toei_mita_line,35.6673359,139.7543274,342
shape_toei_mita_line,35.6657293,139.7535932,343
shape_toei_mita_line,35.6637319,139.7526790,344
shape_toei_mita_line,35.6631987,139.7524307,345
shape_toei_mita_line,35.6628983,139.7522870,346
shape_toei_mita_line,35.6622642,139.7519943,347
shape_toei_mita_line,35.6621088,139.7519286,348
shape_toei_mita_line,35.6619570,139.7518670,349
shape_toei_mita_line,35.6618189,139.7518175,350
shape_toei_mita_line,35.6616501,139.7517617,351
shape_toei_mita_line,35.6614863,139.7517052,352
shape_toei_mita_line,35.6612861,139.7516285,353
shape_toei_mita_line,35.6607828,139.7513970,354
shape_toei_mita_line,35.6605461,139.7512912,355
shape_toei_mita_line,35.6600904,139.7510809,356
shape_toei_mita_line,35.6598872,139.7509842,357
shape_toei_mita_line,35.6596140,139.7508692,358
shape_toei_mita_line,35.6594393,139.7508032,359
shape_toei_mita_line,35.6592497,139.7507344,360
shape_toei_mita_line,35.6590514,139.7506699,361
shape_toei_mita_line,35.6587587,139.7505827,362
shape_toei_mita_line,35.6585599,139.7505302,363
shape_toei_mita_line,35.6582672,139.7504679,364
shape_toei_mita_line,35.6579870,139.7504168,365
shape_toei_mita_line,35.6577186,139.7503784,366
shape_toei_mita_line,35.6565447,139.7502299,367
shape_toei_mita_line,35.6542283,139.7499211,368
shape_toei_mita_line,35.6535027,139.7498211,369
shape_toei_mita_line,35.6528245,139.7497277,370
shape_toei_mita_line,35.6525144,139.7496780,371
shape_toei_mita_line,35.6521980,139.7496228,372
shape_toei_mita_line,35.6518574,139.7495655,373
shape_toei_mita_line,35.6512200,139.7494519,374
shape_toei_mita_line,35.6500045,139.7492473,375
shape_toei_mita_line,35.6498431,139.7492173,376
shape_toei_mita_line,35.6496777,139.7491756,377
shape_toei_mita_line,35.6492026,139.7490381,378
shape_toei_mita_line,35.6489371,139.7489612,379
shape_toei_mita_line,35.6487397,139.7488972,380
shape_toei_mita_line,35.6485645,139.7488327,381
shape_toei_mita_line,35.6484178,139.7487625,382
shape_toei_mita_line,35.6480842,139.7485807,383
shape_toei_mita_line,35.6479503,139.7484986,384
shape_toei_mita_line,35.6478098,139.7483912,385
shape_toei_mita_line,35.6476725,139.7482631,386
shape_toei_mita_line,35.6475353,139.7480944,387
shape_toei_mita_line,35.6474256,139.7479064,388
shape_toei_mita_line,35.6473494,139.7477377,389
shape_toei_mita_line,35.6472838,139.7475578,390
shape_toei_mita_line,35.6472341,139.7473449,391
shape_toei_mita_line,35.6472101,139.7471498,392
shape_toei_mita_line,35.6471986,139.7469548,393
shape_toei_mita_line,35.6472040,139.7465980,394
shape_toei_mita_line,35.6472090,139.7463809,395
shape_toei_mita_line,35.6472136,139.7460471,396
shape_toei_mita_line,35.6472128,139.7446654,397
shape_toei_mita_line,35.6472162,139.7444543,398
shape_toei_mita_line,35.6472318,139.7442480,399
shape_toei_mita_line,35.6472570,139.7440736,400
shape_toei_mita_line,35.6472934,139.7439152,401
shape_toei_mita_line,35.6473449,139.7437407,402
shape_toei_mita_line,35.6474055,139.7435850,403
shape_toei_mita_line,35.6474782,139.7434080,404
shape_toei_mita_line,35.6476955,139.7429183,405
shape_toei_mita_line,35.6477605,139.7427413,406
shape_toei_mita_line,35.6478238,139.7425236,407
shape_toei_mita_line,35.6478749,139.7422774,408
shape_toei_mita_line,35.6478941,139.7420252,409
shape_toei_mita_line,35.6478939,139.7417682,410
shape_toei_mita_line,35.6478808,139.7414913,411
shape_toei_mita_line,35.6478485,139.7411994,412
shape_toei_mita_line,35.6477959,139.7408852,413
