shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_toei_oedo_line,35.6906241,139.6927908,1
shape_toei_oedo_line,35.6907575,139.6936099,2
shape_toei_oedo_line,35.6908281,139.6940495,3
shape_toei_oedo_line,35.6909693,139.6949343,4
shape_toei_oedo_line,35.6910037,139.6951363,5
shape_toei_oedo_line,35.6910657,139.6955046,6
shape_toei_oedo_line,35.6910907,139.6956705,7
shape_toei_oedo_line,35.6911753,139.6963722,8
shape_toei_oedo_line,35.6912557,139.6972519,9
shape_toei_oedo_line,35.6913426,139.6981770,10
shape_toei_oedo_line,35.6914601,139.6985706,11
shape_toei_oedo_line,35.6915892,139.6987900,12
shape_toei_oedo_line,35.6917956,139.6990029,13
shape_toei_oedo_line,35.6920008,139.6991494,14
shape_toei_oedo_line,35.6923625,139.6992367,15
shape_toei_oedo_line,35.6925610,139.6992239,16
shape_toei_oedo_line,35.6928424,139.6991807,17
shape_toei_oedo_line,35.6931378,139.6991259,18
shape_toei_oedo_line,35.6934963,139.6990513,19
shape_toei_oedo_line,35.6940566,139.6989052,20
shape_toei_oedo_line,35.6966237,139.6979320,21
shape_toei_oedo_line,35.6971509,139.6977818,22
shape_toei_oedo_line,35.6974950,139.6978515,23
shape_toei_oedo_line,35.6977695,139.6980071,24
shape_toei_oedo_line,35.6979525,139.6982485,25
shape_toei_oedo_line,35.6980526,139.6984336,26
shape_toei_oedo_line,35.6980919,139.6986240,27
shape_toei_oedo_line,35.6981322,139.6988292,28
shape_toei_oedo_line,35.6981507,139.6993509,29
shape_toei_oedo_line,35.6981463,139.7003031,30
shape_toei_oedo_line,35.6981790,139.7023094,31
shape_toei_oedo_line,35.6983097,139.7039026,32
shape_toei_oedo_line,35.6982923,139.7049540,33
shape_toei_oedo_line,35.6979970,139.7071986,34
shape_toei_oedo_line,35.6979513,139.7075537,35
shape_toei_oedo_line,35.6978399,139.7083334,36
shape_toei_oedo_line,35.6977703,139.7089323,37
shape_toei_oedo_line,35.6977314,139.7094410,38
shape_toei_oedo_line,35.6977096,139.7103667,39
shape_toei_oedo_line,35.6977201,139.7115109,40
shape_toei_oedo_line,35.6978074,139.7133681,41
shape_toei_oedo_line,35.6978443,139.7144295,42
shape_toei_oedo_line,35.6978540,139.7145658,43
shape_toei_oedo_line,35.6978788,139.7146953,44
shape_toei_oedo_line,35.6979154,139.7148268,45
shape_toei_oedo_line,35.6979590,139.7149480,46
shape_toei_oedo_line,35.6980259,139.7150889,47
shape_toei_oedo_line,35.6983776,139.7158009,48
shape_toei_oedo_line,35.6985418,139.7161244,49
shape_toei_oedo_line,35.6986559,139.7163777,50
shape_toei_oedo_line,35.6987164,139.7165259,51
shape_toei_oedo_line,35.6987951,139.7167183,52
shape_toei_oedo_line,35.6988802,139.7169558,53
shape_toei_oedo_line,35.6990508,139.7174862,54
shape_toei_oedo_line,35.6993312,139.7183874,55
shape_toei_oedo_line,35.6993682,139.7185159,56
shape_toei_oedo_line,35.6994533,139.7187634,57
shape_toei_oedo_line,35.6996494,139.7194191,58
shape_toei_oedo_line,35.6997500,139.7197766,59
shape_toei_oedo_line,35.6998546,139.7201300,60
shape_toei_oedo_line,35.6999156,139.7203270,61
shape_toei_oedo_line,35.6999591,139.7204906,62
shape_toei_oedo_line,35.7000098,139.7206734,63
shape_toei_oedo_line,35.7000378,139.7208420,64
shape_toei_oedo_line,35.7000537,139.7210394,65
shape_toei_oedo_line,35.7000540,139.7212252,66
shape_toei_oedo_line,35.7000178,139.7214413,67
shape_toei_oedo_line,35.6999316,139.7218660,68
shape_toei_oedo_line,35.6998580,139.7222479,69
shape_toei_oedo_line,35.6997674,139.7228993,70
shape_toei_oedo_line,35.6997151,139.7234586,71
shape_toei_oedo_line,35.6994965,139.7255818,72
shape_toei_oedo_line,35.6994767,139.7257425,73
shape_toei_oedo_line,35.6994547,139.7259857,74
shape_toei_oedo_line,35.6994527,139.7266176,75
shape_toei_oedo_line,35.6994646,139.7269846,76
shape_toei_oedo_line,35.6994997,139.7277241,77
shape_toei_oedo_line,35.6994850,139.7280919,78
shape_toei_oedo_line,35.6993661,139.7288445,79
shape_toei_oedo_line,35.6993037,139.7292078,80
shape_toei_oedo_line,35.6992299,139.7296109,81
shape_toei_oedo_line,35.6991842,139.7299511,82
shape_toei_oedo_line,35.6991799,139.7301232,83
shape_toei_oedo_line,35.6991918,139.7303106,84
shape_toei_oedo_line,35.6992240,139.7304985,85
shape_toei_oedo_line,35.6994348,139.7315841,86
shape_toei_oedo_line,35.6994739,139.7317620,87
shape_toei_oedo_line,35.6995231,139.7319331,88
shape_toei_oedo_line,35.6997021,139.7324668,89
shape_toei_oedo_line,35.6998997,139.7330233,90
shape_toei_oedo_line,35.7006973,139.7352785,91
shape_toei_oedo_line,35.7009492,139.7359264,92
shape_toei_oedo_line,35.7013849,139.7369236,93
shape_toei_oedo_line,35.7015040,139.7371821,94
shape_toei_oedo_line,35.7016566,139.7374314,95
shape_toei_oedo_line,35.7022130,139.7380986,96
shape_toei_oedo_line,35.7030084,139.7389177,97
shape_toei_oedo_line,35.7031005,139.7390248,98
shape_toei_oedo_line,35.7031999,139.7391735,99
shape_toei_oedo_line,35.7032629,139.7393036,100
shape_toei_oedo_line,35.7033151,139.7394533,101
shape_toei_oedo_line,35.7033526,139.7396095,102
shape_toei_oedo_line,35.7033776,139.7397726,103
shape_toei_oedo_line,35.7034818,139.7406693,104
shape_toei_oedo_line,35.7034962,139.7408170,105
shape_toei_oedo_line,35.7035005,139.7409488,106
shape_toei_oedo_line,35.7034943,139.7410887,107
shape_toei_oedo_line,35.7034760,139.7412189,108
shape_toei_oedo_line,35.7034428,139.7413570,109
shape_toei_oedo_line,35.7033964,139.7414925,110
shape_toei_oedo_line,35.7031115,139.7421707,111
shape_toei_oedo_line,35.7030490,139.7423399,112
shape_toei_oedo_line,35.7030029,139.7424969,113
shape_toei_oedo_line,35.7029595,139.7426969,114
shape_toei_oedo_line,35.7027671,139.7437523,115
shape_toei_oedo_line,35.7027438,139.7439205,116
shape_toei_oedo_line,35.7027279,139.7440853,117
shape_toei_oedo_line,35.7027241,139.7442351,118
shape_toei_oedo_line,35.7027321,139.7443680,119
shape_toei_oedo_line,35.7027503,139.7444823,120
shape_toei_oedo_line,35.7027720,139.7445956,121
shape_toei_oedo_line,35.7028152,139.7447525,122
shape_toei_oedo_line,35.7028979,139.7449704,123
shape_toei_oedo_line,35.7030541,139.7453623,124
shape_toei_oedo_line,35.7031771,139.7456694,125
shape_toei_oedo_line,35.7033087,139.7460215,126
shape_toei_oedo_line,35.7034336,139.7463341,127
shape_toei_oedo_line,35.7035481,139.7465967,128
shape_toei_oedo_line,35.7036177,139.7467161,129
shape_toei_oedo_line,35.7037434,139.7468888,130
shape_toei_oedo_line,35.7039350,139.7470577,131
shape_toei_oedo_line,35.7040620,139.7471174,132
shape_toei_oedo_line,35.7043089,139.7471921,133
shape_toei_oedo_line,35.7048779,139.7473128,134
shape_toei_oedo_line,35.7061622,139.7479034,135
shape_toei_oedo_line,35.7063243,139.7479674,136
shape_toei_oedo_line,35.7067082,139.7482099,137
shape_toei_oedo_line,35.7070539,139.7486220,138
shape_toei_oedo_line,35.7074335,139.7490951,139
shape_toei_oedo_line,35.7077815,139.7495323,140
shape_toei_oedo_line,35.7079355,139.7497696,141
shape_toei_oedo_line,35.7081955,139.7501188,142
shape_toei_oedo_line,35.7083450,139.7503541,143
shape_toei_oedo_line,35.7084770,139.7507061,144
shape_toei_oedo_line,35.7085458,139.7509983,145
shape_toei_oedo_line,35.7085739,139.7512015,146
shape_toei_oedo_line,35.7085844,139.7513825,147
