shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_tokyometro_marunouchi_line,35.7043191,139.6199943,1
shape_tokyometro_marunouchi_line,35.7043345,139.6204540,2
shape_tokyometro_marunouchi_line,35.7043823,139.6213271,3
shape_tokyometro_marunouchi_line,35.7044124,139.6218067,4
shape_tokyometro_marunouchi_line,35.7044236,139.6223517,5
shape_tokyometro_marunouchi_line,35.7044332,139.6227293,6
shape_tokyometro_marunouchi_line,35.7044030,139.6231069,7
shape_tokyometro_marunouchi_line,35.7043804,139.6232909,8
shape_tokyometro_marunouchi_line,35.7043478,139.6234794,9
shape_tokyometro_marunouchi_line,35.7042702,139.6238467,10
shape_tokyometro_marunouchi_line,35.7040636,139.6245664,11
shape_tokyometro_marunouchi_line,35.7039652,139.6249115,12
shape_tokyometro_marunouchi_line,35.7038640,139.6252549,13
shape_tokyometro_marunouchi_line,35.7037714,139.6256116,14
shape_tokyometro_marunouchi_line,35.7036777,139.6259831,15
shape_tokyometro_marunouchi_line,35.7035899,139.6263561,16
shape_tokyometro_marunouchi_line,35.7035074,139.6267126,17
shape_tokyometro_marunouchi_line,35.7034254,139.6270667,18
shape_tokyometro_marunouchi_line,35.7033189,139.6274190,19
shape_tokyometro_marunouchi_line,35.7031630,139.6277550,20
shape_tokyometro_marunouchi_line,35.7029880,139.6280400,21
shape_tokyometro_marunouchi_line,35.7027794,139.6283674,22
shape_tokyometro_marunouchi_line,35.7022376,139.6292404,23
shape_tokyometro_marunouchi_line,35.7018950,139.6298589,24
shape_tokyometro_marunouchi_line,35.7017349,139.6301727,25
shape_tokyometro_marunouchi_line,35.7015857,139.6304986,26
shape_tokyometro_marunouchi_line,35.7014332,139.6308492,27
shape_tokyometro_marunouchi_line,35.7010117,139.6318384,28
shape_tokyometro_marunouchi_line,35.7005975,139.6328300,29
shape_tokyometro_marunouchi_line,35.7000250,139.6341853,30
shape_tokyometro_marunouchi_line,35.6996753,139.6350694,31
shape_tokyometro_marunouchi_line,35.6994156,139.6357198,32
shape_tokyometro_marunouchi_line,35.6991973,139.6362828,33
shape_tokyometro_marunouchi_line,35.6988582,139.6371449,34
shape_tokyometro_marunouchi_line,35.6986081,139.6378076,35
shape_tokyometro_marunouchi_line,35.6983857,139.6385179,36
shape_tokyometro_marunouchi_line,35.6981938,139.6392259,37
shape_tokyometro_marunouchi_line,35.6980661,139.6396877,38
shape_tokyometro_marunouchi_line,35.6979744,139.6400674,39
shape_tokyometro_marunouchi_line,35.6979128,139.6404328,40
shape_tokyometro_marunouchi_line,35.6978485,139.6410487,41
shape_tokyometro_marunouchi_line,35.6977771,139.6421367,42
shape_tokyometro_marunouchi_line,35.6977570,139.6426534,43
shape_tokyometro_marunouchi_line,35.6977575,139.6432485,44
shape_tokyometro_marunouchi_line,35.6977682,139.6440273,45
shape_tokyometro_marunouchi_line,35.6977773,139.6447519,46
shape_tokyometro_marunouchi_line,35.6978189,139.6473670,47
shape_tokyometro_marunouchi_line,35.6978367,139.6476690,48
shape_tokyometro_marunouchi_line,35.6978863,139.6486895,49
shape_tokyometro_marunouchi_line,35.6979056,139.6490166,50
shape_tokyometro_marunouchi_line,35.6979416,139.6496254,51
shape_tokyometro_marunouchi_line,35.6979809,139.6504087,52
shape_tokyometro_marunouchi_line,35.6979949,139.6507265,53
shape_tokyometro_marunouchi_line,35.6980069,139.6511047,54
shape_tokyometro_marunouchi_line,35.6980102,139.6514225,55
shape_tokyometro_marunouchi_line,35.6980108,139.6518082,56
shape_tokyometro_marunouchi_line,35.6980178,139.6521802,57
shape_tokyometro_marunouchi_line,35.6980222,139.6525584,58
shape_tokyometro_marunouchi_line,35.6980287,139.6529487,59
shape_tokyometro_marunouchi_line,35.6980298,139.6533032,60
shape_tokyometro_marunouchi_line,35.6980330,139.6536662,61
shape_tokyometro_marunouchi_line,35.6980374,139.6540765,62
shape_tokyometro_marunouchi_line,35.6980411,139.6544317,63
shape_tokyometro_marunouchi_line,35.6980516,139.6555585,64
shape_tokyometro_marunouchi_line,35.6980609,139.6566804,65
shape_tokyometro_marunouchi_line,35.6980646,139.6570578,66
shape_tokyometro_marunouchi_line,35.6980548,139.6574990,67
shape_tokyometro_marunouchi_line,35.6980303,139.6578198,68
shape_tokyometro_marunouchi_line,35.6979918,139.6581626,69
shape_tokyometro_marunouchi_line,35.6979013,139.6588106,70
shape_tokyometro_marunouchi_line,35.6977911,139.6596628,71
shape_tokyometro_marunouchi_line,35.6977381,139.6600436,72
shape_tokyometro_marunouchi_line,35.6975974,139.6611696,73
shape_tokyometro_marunouchi_line,35.6975024,139.6618909,74
shape_tokyometro_marunouchi_line,35.6974700,139.6622640,75
shape_tokyometro_marunouchi_line,35.6974427,139.6626408,76
shape_tokyometro_marunouchi_line,35.6974181,139.6645073,77
shape_tokyometro_marunouchi_line,35.6974133,139.6652520,78
shape_tokyometro_marunouchi_line,35.6974003,139.6663785,79
shape_tokyometro_marunouchi_line,35.6974602,139.6678993,80
shape_tokyometro_marunouchi_line,35.6974667,139.6682614,81
shape_tokyometro_marunouchi_line,35.6974780,139.6686417,82
shape_tokyometro_marunouchi_line,35.6975262,139.6701632,83
shape_tokyometro_marunouchi_line,35.6976519,139.6741341,84
shape_tokyometro_marunouchi_line,35.6977259,139.6752526,85
shape_tokyometro_marunouchi_line,35.6977357,139.6756200,86
shape_tokyometro_marunouchi_line,35.6977270,139.6763670,87
shape_tokyometro_marunouchi_line,35.6977128,139.6767385,88
shape_tokyometro_marunouchi_line,35.6976540,139.6774761,89
shape_tokyometro_marunouchi_line,35.6974087,139.6796698,90
shape_tokyometro_marunouchi_line,35.6973721,139.6800659,91
shape_tokyometro_marunouchi_line,35.6973491,139.6803448,92
shape_tokyometro_marunouchi_line,35.6971813,139.6819279,93
shape_tokyometro_marunouchi_line,35.6970727,139.6826997,94
shape_tokyometro_marunouchi_line,35.6969940,139.6830450,95
