shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_yokohama_blue_line,35.3963666,139.4666180,1
shape_yokohama_blue_line,35.3964284,139.4669056,2
shape_yokohama_blue_line,35.3964580,139.4670430,3
shape_yokohama_blue_line,35.3970800,139.4699030,4
shape_yokohama_blue_line,35.3971960,139.4704880,5
shape_yokohama_blue_line,35.3977740,139.4740030,6
shape_yokohama_blue_line,35.3978020,139.4742230,7
shape_yokohama_blue_line,35.3978449,139.4744894,8
shape_yokohama_blue_line,35.3979330,139.4750030,9
shape_yokohama_blue_line,35.3980530,139.4756380,10
shape_yokohama_blue_line,35.3982468,139.4763665,11
shape_yokohama_blue_line,35.3983890,139.4767460,12
shape_yokohama_blue_line,35.3985220,139.4770430,13
shape_yokohama_blue_line,35.3986920,139.4773590,14
shape_yokohama_blue_line,35.3988690,139.4776110,15
shape_yokohama_blue_line,35.3990175,139.4778057,16
shape_yokohama_blue_line,35.3991763,139.4779909,17
shape_yokohama_blue_line,35.3994131,139.4782221,18
shape_yokohama_blue_line,35.3996609,139.4784396,19
shape_yokohama_blue_line,35.3999378,139.4786357,20
shape_yokohama_blue_line,35.4004350,139.4789780,21
shape_yokohama_blue_line,35.4011346,139.4794387,22
shape_yokohama_blue_line,35.4016741,139.4798298,23
shape_yokohama_blue_line,35.4018896,139.4800175,24
shape_yokohama_blue_line,35.4021820,139.4803350,25
shape_yokohama_blue_line,35.4024870,139.4807470,26
shape_yokohama_blue_line,35.4027350,139.4812080,27
shape_yokohama_blue_line,35.4029170,139.4816330,28
shape_yokohama_blue_line,35.4035120,139.4832570,29
shape_yokohama_blue_line,35.4035730,139.4834210,30
shape_yokohama_blue_line,35.4036130,139.4835347,31
shape_yokohama_blue_line,35.4037506,139.4839263,32
shape_yokohama_blue_line,35.4043730,139.4856850,33
shape_yokohama_blue_line,35.4044458,139.4858909,34
shape_yokohama_blue_line,35.4046287,139.4864187,35
shape_yokohama_blue_line,35.4054040,139.4886560,36
shape_yokohama_blue_line,35.4055920,139.4891940,37
shape_yokohama_blue_line,35.4061763,139.4907933,38
shape_yokohama_blue_line,35.4064688,139.4914357,39
shape_yokohama_blue_line,35.4066726,139.4918320,40
shape_yokohama_blue_line,35.4069331,139.4922786,41
shape_yokohama_blue_line,35.4071845,139.4926660,42
shape_yokohama_blue_line,35.4074395,139.4930143,43
shape_yokohama_blue_line,35.4076606,139.4932940,44
shape_yokohama_blue_line,35.4078995,139.4935643,45
shape_yokohama_blue_line,35.4082076,139.4938807,46
shape_yokohama_blue_line,35.4084828,139.4941363,47
shape_yokohama_blue_line,35.4087573,139.4943547,48
shape_yokohama_blue_line,35.4089563,139.4944957,49
shape_yokohama_blue_line,35.4097577,139.4950072,50
shape_yokohama_blue_line,35.4120900,139.4963938,51
shape_yokohama_blue_line,35.4123719,139.4965702,52
shape_yokohama_blue_line,35.4126181,139.4967578,53
shape_yokohama_blue_line,35.4128716,139.4969604,54
shape_yokohama_blue_line,35.4131053,139.4972019,55
shape_yokohama_blue_line,35.4133261,139.4974707,56
shape_yokohama_blue_line,35.4135299,139.4977452,57
shape_yokohama_blue_line,35.4137041,139.4980478,58
shape_yokohama_blue_line,35.4138639,139.4983664,59
shape_yokohama_blue_line,35.4139971,139.4986898,60
shape_yokohama_blue_line,35.4140609,139.4988706,61
shape_yokohama_blue_line,35.4141526,139.4992027,62
shape_yokohama_blue_line,35.4142398,139.4995638,63
shape_yokohama_blue_line,35.4143235,139.5000551,64
shape_yokohama_blue_line,35.4143654,139.5003365,65
shape_yokohama_blue_line,35.4145538,139.5015826,66
shape_yokohama_blue_line,35.4145980,139.5019651,67
shape_yokohama_blue_line,35.4146263,139.5023183,68
shape_yokohama_blue_line,35.4146264,139.5027036,69
shape_yokohama_blue_line,35.4146005,139.5030712,70
shape_yokohama_blue_line,35.4145406,139.5034500,71
shape_yokohama_blue_line,35.4144648,139.5038174,72
shape_yokohama_blue_line,35.4143803,139.5041246,73
shape_yokohama_blue_line,35.4142440,139.5045086,74
shape_yokohama_blue_line,35.4139681,139.5051601,75
shape_yokohama_blue_line,35.4136835,139.5057869,76
shape_yokohama_blue_line,35.4133462,139.5065681,77
shape_yokohama_blue_line,35.4121959,139.5091155,78
shape_yokohama_blue_line,35.4117651,139.5100675,79
shape_yokohama_blue_line,35.4112554,139.5112480,80
shape_yokohama_blue_line,35.4108305,139.5121951,81
shape_yokohama_blue_line,35.4105363,139.5128427,82
shape_yokohama_blue_line,35.4102959,139.5133016,83
shape_yokohama_blue_line,35.4100017,139.5137370,84
shape_yokohama_blue_line,35.4096758,139.5141123,85
shape_yokohama_blue_line,35.4094322,139.5143535,86
shape_yokohama_blue_line,35.4085655,139.5150994,87
shape_yokohama_blue_line,35.4078385,139.5157591,88
shape_yokohama_blue_line,35.4073969,139.5162246,89
shape_yokohama_blue_line,35.4071629,139.5165371,90
shape_yokohama_blue_line,35.4063062,139.5177306,91
shape_yokohama_blue_line,35.4057228,139.5185437,92
shape_yokohama_blue_line,35.4049703,139.5196283,93
shape_yokohama_blue_line,35.4047054,139.5200740,94
shape_yokohama_blue_line,35.4044780,139.5205403,95
shape_yokohama_blue_line,35.4043194,139.5208832,96
shape_yokohama_blue_line,35.4033727,139.5230368,97
shape_yokohama_blue_line,35.4030550,139.5236545,98
shape_yokohama_blue_line,35.4026844,139.5242568,99
shape_yokohama_blue_line,35.4025011,139.5245457,100
shape_yokohama_blue_line,35.4022564,139.5248976,101
shape_yokohama_blue_line,35.4019885,139.5252533,102
shape_yokohama_blue_line,35.4017030,139.5256892,103
shape_yokohama_blue_line,35.4014476,139.5261641,104
shape_yokohama_blue_line,35.4012633,139.5266164,105
shape_yokohama_blue_line,35.4010483,139.5272941,106
shape_yokohama_blue_line,35.4008384,139.5280089,107
shape_yokohama_blue_line,35.4007093,139.5285438,108
shape_yokohama_blue_line,35.4005372,139.5296438,109
shape_yokohama_blue_line,35.4004561,139.5303934,110
shape_yokohama_blue_line,35.4004136,139.5309289,111
shape_yokohama_blue_line,35.4004303,139.5312902,112
shape_yokohama_blue_line,35.4004465,139.5314227,113
shape_yokohama_blue_line,35.4004974,139.5318398,114
shape_yokohama_blue_line,35.4005760,139.5322224,115
shape_yokohama_blue_line,35.4006603,139.5325645,116
shape_yokohama_blue_line,35.4010017,139.5338341,117
shape_yokohama_blue_line,35.4010939,139.5343560,118
shape_yokohama_blue_line,35.4011604,139.5349692,119
shape_yokohama_blue_line,35.4011605,139.5355528,120
shape_yokohama_blue_line,35.4010939,139.5361988,121
shape_yokohama_blue_line,35.4009961,139.5367480,122
shape_yokohama_blue_line,35.4008197,139.5374076,123
shape_yokohama_blue_line,35.4006358,139.5379836,124
shape_yokohama_blue_line,35.4003314,139.5392074,125
shape_yokohama_blue_line,35.4000986,139.5402067,126
shape_yokohama_blue_line,35.3999178,139.5413309,127
shape_yokohama_blue_line,35.3996793,139.5427577,128
shape_yokohama_blue_line,35.3995441,139.5436940,129
shape_yokohama_blue_line,35.3995335,139.5440521,130
shape_yokohama_blue_line,35.3995427,139.5444207,131
shape_yokohama_blue_line,35.3995853,139.5447898,132
shape_yokohama_blue_line,35.3996756,139.5451474,133
shape_yokohama_blue_line,35.3997659,139.5454634,134
shape_yokohama_blue_line,35.3999365,139.5458520,135
shape_yokohama_blue_line,35.4001079,139.5461723,136
shape_yokohama_blue_line,35.4002721,139.5463880,137
shape_yokohama_blue_line,35.4006875,139.5469193,138
shape_yokohama_blue_line,35.4010490,139.5473498,139
shape_yokohama_blue_line,35.4014673,139.5478642,140
shape_yokohama_blue_line,35.4017473,139.5483061,141
shape_yokohama_blue_line,35.4019820,139.5487653,142
shape_yokohama_blue_line,35.4021237,139.5491467,143
shape_yokohama_blue_line,35.4022880,139.5496415,144
shape_yokohama_blue_line,35.4024187,139.5501787,145
shape_yokohama_blue_line,35.4025066,139.5506864,146
shape_yokohama_blue_line,35.4025832,139.5512842,147
shape_yokohama_blue_line,35.4027131,139.5521791,148
shape_yokohama_blue_line,35.4028938,139.5534587,149
shape_yokohama_blue_line,35.4031096,139.5550452,150
shape_yokohama_blue_line,35.4031487,139.5554502,151
shape_yokohama_blue_line,35.4031652,139.5558206,152
shape_yokohama_blue_line,35.4031580,139.5562454,153
shape_yokohama_blue_line,35.4030898,139.5568851,154
shape_yokohama_blue_line,35.4026148,139.5592276,155
shape_yokohama_blue_line,35.4021189,139.5616657,156
shape_yokohama_blue_line,35.4020592,139.5622240,157
shape_yokohama_blue_line,35.4020237,139.5629583,158
shape_yokohama_blue_line,35.4020277,139.5634881,159
shape_yokohama_blue_line,35.4021419,139.5655561,160
shape_yokohama_blue_line,35.4022069,139.5661167,161
shape_yokohama_blue_line,35.4023674,139.5670052,162
shape_yokohama_blue_line,35.4026080,139.5680860,163
shape_yokohama_blue_line,35.4026914,139.5686071,164
shape_yokohama_blue_line,35.4026989,139.5686629,165
shape_yokohama_blue_line,35.4027099,139.5687970,166
shape_yokohama_blue_line,35.4027153,139.5689258,167
shape_yokohama_blue_line,35.4027164,139.5690317,168
shape_yokohama_blue_line,35.4027164,139.5691430,169
shape_yokohama_blue_line,35.4027137,139.5692931,170
shape_yokohama_blue_line,35.4026889,139.5695659,171
shape_yokohama_blue_line,35.4026630,139.5697181,172
shape_yokohama_blue_line,35.4026414,139.5698281,173
shape_yokohama_blue_line,35.4025907,139.5700227,174
shape_yokohama_blue_line,35.4025321,139.5702251,175
shape_yokohama_blue_line,35.4024490,139.5704638,176
shape_yokohama_blue_line,35.4023371,139.5707684,177
shape_yokohama_blue_line,35.4023260,139.5708001,178
shape_yokohama_blue_line,35.4021708,139.5712439,179
shape_yokohama_blue_line,35.4021163,139.5713947,180
shape_yokohama_blue_line,35.4020450,139.5715678,181
shape_yokohama_blue_line,35.4019600,139.5717743,182
shape_yokohama_blue_line,35.4018561,139.5720130,183
shape_yokohama_blue_line,35.4017530,139.5722274,184
shape_yokohama_blue_line,35.4016626,139.5723912,185
shape_yokohama_blue_line,35.4015626,139.5725649,186
shape_yokohama_blue_line,35.4014516,139.5727459,187
shape_yokohama_blue_line,35.4013658,139.5728874,188
