shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_419_1,26.70099,127.88233,10001
shapes_419_1,26.70104,127.88227,10002
shapes_419_1,26.70034,127.88163,10003
shapes_419_1,26.70024,127.88153,10004
shapes_419_1,26.69952,127.88082,10005
shapes_419_1,26.69934,127.88064,10006
shapes_419_1,26.69921,127.88054,10007
shapes_419_1,26.69907,127.88044,10008
shapes_419_1,26.69892,127.88036,10009
shapes_419_1,26.69877,127.88031,10010
shapes_419_1,26.69859,127.88027,10011
shapes_419_1,26.69844,127.88024,10012
shapes_419_1,26.69845,127.88018,10013
shapes_419_1,26.6985,127.88011,10014
shapes_419_1,26.69853,127.88009,10015
shapes_419_1,26.69853,127.88009,20001
shapes_419_1,26.6985,127.88011,20002
shapes_419_1,26.69845,127.88018,20003
shapes_419_1,26.69844,127.88024,20004
shapes_419_1,26.69825,127.88022,20005
shapes_419_1,26.69798,127.88019,20006
shapes_419_1,26.69745,127.88012,20007
shapes_419_1,26.69687,127.88003,20008
shapes_419_1,26.6953,127.87982,20009
shapes_419_1,26.69506,127.87978,20010
shapes_419_1,26.69472,127.87974,20011
shapes_419_1,26.69415,127.87966,20012
shapes_419_1,26.69405,127.87966,20013
shapes_419_1,26.69396,127.87969,20014
shapes_419_1,26.69383,127.87976,20015
shapes_419_1,26.69329,127.88017,20016
shapes_419_1,26.69326,127.88019,20017
shapes_419_1,26.69316,127.88026,20018
shapes_419_1,26.69304,127.8803,20019
shapes_419_1,26.69288,127.88036,20020
shapes_419_1,26.69278,127.88039,20021
shapes_419_1,26.69262,127.88042,20022
shapes_419_1,26.69244,127.88042,20023
shapes_419_1,26.69229,127.8804,20024
shapes_419_1,26.69212,127.88035,20025
shapes_419_1,26.69197,127.88028,20026
shapes_419_1,26.6916,127.88007,20027
shapes_419_1,26.69109,127.87978,20028
shapes_419_1,26.69049,127.87946,20029
shapes_419_1,26.69022,127.8793,20030
shapes_419_1,26.69022,127.8793,30001
shapes_419_1,26.68931,127.87873,30002
shapes_419_1,26.6887,127.87835,30003
shapes_419_1,26.68859,127.87827,30004
shapes_419_1,26.68852,127.87823,30005
shapes_419_1,26.68814,127.87799,30006
shapes_419_1,26.68755,127.87764,30007
shapes_419_1,26.68734,127.87754,30008
shapes_419_1,26.68712,127.87745,30009
shapes_419_1,26.68686,127.87741,30010
shapes_419_1,26.68655,127.87739,30011
shapes_419_1,26.68626,127.8774,30012
shapes_419_1,26.68611,127.87743,30013
shapes_419_1,26.68599,127.87745,30014
shapes_419_1,26.68595,127.87747,30015
shapes_419_1,26.68575,127.87754,30016
shapes_419_1,26.68557,127.87763,30017
shapes_419_1,26.68544,127.87772,30018
shapes_419_1,26.6853,127.87783,30019
shapes_419_1,26.68513,127.87798,30020
shapes_419_1,26.685,127.87816,30021
shapes_419_1,26.68498,127.87819,30022
shapes_419_1,26.68471,127.87866,30023
shapes_419_1,26.68469,127.87869,30024
shapes_419_1,26.68443,127.87907,30025
shapes_419_1,26.68426,127.87933,30026
shapes_419_1,26.68412,127.87951,30027
shapes_419_1,26.68405,127.87961,30028
shapes_419_1,26.68374,127.87998,30029
shapes_419_1,26.6837,127.88005,30030
shapes_419_1,26.68366,127.88009,30031
shapes_419_1,26.68362,127.88014,30032
shapes_419_1,26.68317,127.88068,30033
shapes_419_1,26.68306,127.88081,30034
shapes_419_1,26.68254,127.88151,30035
shapes_419_1,26.68238,127.8818,30036
shapes_419_1,26.68221,127.88217,30037
shapes_419_1,26.68209,127.88251,30038
shapes_419_1,26.68163,127.88381,30039
shapes_419_1,26.68143,127.88439,30040
shapes_419_1,26.68117,127.88517,30041
shapes_419_1,26.68107,127.88543,30042
shapes_419_1,26.68104,127.88552,30043
shapes_419_1,26.68098,127.8857,30044
shapes_419_1,26.68082,127.886,30045
shapes_419_1,26.68066,127.88624,30046
shapes_419_1,26.68047,127.88647,30047
shapes_419_1,26.68015,127.88679,30048
shapes_419_1,26.6791,127.88775,30049
shapes_419_1,26.6786,127.88817,30050
shapes_419_1,26.67851,127.88826,30051
shapes_419_1,26.67839,127.88836,30052
shapes_419_1,26.6781,127.88867,30053
shapes_419_1,26.67801,127.88878,30054
shapes_419_1,26.67792,127.88893,30055
shapes_419_1,26.67784,127.8891,30056
shapes_419_1,26.67778,127.88927,30057
shapes_419_1,26.67774,127.88944,30058
shapes_419_1,26.67773,127.88964,30059
shapes_419_1,26.67773,127.88974,30060
shapes_419_1,26.67777,127.89037,30061
shapes_419_1,26.67779,127.89066,30062
shapes_419_1,26.6778,127.89092,30063
shapes_419_1,26.67781,127.89121,30064
shapes_419_1,26.67779,127.8914,30065
shapes_419_1,26.67778,127.89155,30066
shapes_419_1,26.67762,127.89157,30067
shapes_419_1,26.67692,127.89145,30068
shapes_419_1,26.67683,127.89143,30069
shapes_419_1,26.67672,127.89141,30070
shapes_419_1,26.67552,127.8912,30071
shapes_419_1,26.67542,127.89118,30072
shapes_419_1,26.67525,127.89115,30073
shapes_419_1,26.67512,127.89112,30074
shapes_419_1,26.67476,127.89103,30075
shapes_419_1,26.67446,127.89093,30076
shapes_419_1,26.67402,127.8907,30077
shapes_419_1,26.67342,127.89041,30078
shapes_419_1,26.67334,127.89037,30079
shapes_419_1,26.67274,127.89006,30080
shapes_419_1,26.67252,127.88996,30081
shapes_419_1,26.67234,127.88988,30082
shapes_419_1,26.67222,127.88984,30083
shapes_419_1,26.672,127.88977,30084
shapes_419_1,26.67191,127.88974,30085
shapes_419_1,26.67163,127.88968,30086
shapes_419_1,26.67146,127.88966,30087
shapes_419_1,26.67125,127.88965,30088
shapes_419_1,26.67109,127.88964,30089
shapes_419_1,26.67102,127.88965,30090
shapes_419_1,26.67092,127.88965,30091
shapes_419_1,26.67081,127.88966,30092
shapes_419_1,26.6706,127.88968,30093
shapes_419_1,26.67041,127.88969,30094
shapes_419_1,26.67016,127.88973,30095
shapes_419_1,26.67004,127.88976,30096
shapes_419_1,26.66983,127.88979,30097
shapes_419_1,26.66974,127.88981,30098
shapes_419_1,26.66954,127.88984,30099
shapes_419_1,26.66943,127.88986,30100
shapes_419_1,26.66917,127.88991,30101
shapes_419_1,26.66892,127.88996,30102
shapes_419_1,26.66865,127.89001,30103
shapes_419_1,26.66836,127.89008,30104
shapes_419_1,26.66808,127.89015,30105
shapes_419_1,26.66778,127.89022,30106
shapes_419_1,26.6676,127.89026,30107
shapes_419_1,26.66735,127.89033,30108
shapes_419_1,26.66711,127.89039,30109
shapes_419_1,26.66656,127.89053,30110
shapes_419_1,26.66629,127.8906,30111
shapes_419_1,26.66545,127.89084,30112
shapes_419_1,26.66507,127.89094,30113
shapes_419_1,26.66431,127.89117,30114
shapes_419_1,26.66417,127.89121,30115
shapes_419_1,26.66404,127.89125,30116
shapes_419_1,26.66375,127.89131,30117
shapes_419_1,26.66355,127.89134,30118
shapes_419_1,26.66341,127.89135,30119
shapes_419_1,26.66328,127.89136,30120
shapes_419_1,26.66307,127.89136,30121
shapes_419_1,26.66274,127.89136,30122
shapes_419_1,26.66265,127.89134,30123
shapes_419_1,26.66265,127.89124,30124
shapes_419_1,26.66263,127.89115,30125
shapes_419_1,26.66261,127.89106,30126
shapes_419_1,26.66255,127.89091,30127
shapes_419_1,26.66239,127.89068,30128
shapes_419_1,26.66203,127.89033,30129
shapes_419_1,26.66143,127.88974,30130
shapes_419_1,26.66042,127.88867,30131
shapes_419_1,26.65967,127.88784,30132
shapes_419_1,26.65856,127.8866,30133
shapes_419_1,26.65795,127.88588,30134
shapes_419_1,26.65792,127.88584,30135
shapes_419_1,26.65731,127.88508,30136
shapes_419_1,26.65665,127.88429,30137
shapes_419_1,26.6566,127.88422,30138
shapes_419_1,26.65596,127.88341,30139
shapes_419_1,26.65531,127.88261,30140
shapes_419_1,26.65467,127.88181,30141
shapes_419_1,26.65403,127.881,30142
shapes_419_1,26.65395,127.88091,30143
shapes_419_1,26.65363,127.88055,30144
shapes_419_1,26.65345,127.88039,30145
shapes_419_1,26.65333,127.88036,30146
shapes_419_1,26.65326,127.88037,30147
shapes_419_1,26.65313,127.88035,30148
shapes_419_1,26.653,127.88033,30149
shapes_419_1,26.65285,127.88031,30150
shapes_419_1,26.65277,127.88031,30151
shapes_419_1,26.6527,127.88037,30152
shapes_419_1,26.65268,127.88039,30153
shapes_419_1,26.65264,127.88045,30154
shapes_419_1,26.65263,127.88049,30155
shapes_419_1,26.6526,127.88042,30156
shapes_419_1,26.65257,127.88038,30157
shapes_419_1,26.65254,127.88036,30158
shapes_419_1,26.65247,127.88032,30159
shapes_419_1,26.65221,127.88035,30160
shapes_419_1,26.65197,127.88042,30161
shapes_419_1,26.65172,127.88052,30162
shapes_419_1,26.65162,127.88056,30163
shapes_419_1,26.65126,127.88071,30164
shapes_419_1,26.6505,127.88099,30165
shapes_419_1,26.64993,127.88121,30166
shapes_419_1,26.64978,127.88127,30167
shapes_419_1,26.64921,127.88144,30168
shapes_419_1,26.64893,127.88149,30169
shapes_419_1,26.64855,127.88154,30170
shapes_419_1,26.64782,127.88156,30171
shapes_419_1,26.64678,127.88155,30172
shapes_419_1,26.64554,127.88163,30173
shapes_419_1,26.64541,127.88166,30174
shapes_419_1,26.64525,127.88168,30175
shapes_419_1,26.64497,127.88172,30176
shapes_419_1,26.64399,127.88186,30177
shapes_419_1,26.64346,127.88186,30178
shapes_419_1,26.64315,127.88184,30179
shapes_419_1,26.64304,127.88183,30180
shapes_419_1,26.64289,127.88181,30181
shapes_419_1,26.64275,127.8818,30182
shapes_419_1,26.64192,127.88161,30183
shapes_419_1,26.64126,127.88149,30184
shapes_419_1,26.64056,127.88147,30185
shapes_419_1,26.63998,127.8816,30186
shapes_419_1,26.63953,127.88175,30187
shapes_419_1,26.63944,127.88178,30188
shapes_419_1,26.63941,127.88179,30189
shapes_419_1,26.63926,127.88187,30190
shapes_419_1,26.63893,127.88202,30191
shapes_419_1,26.6379,127.88243,30192
shapes_419_1,26.63774,127.88252,30193
shapes_419_1,26.63767,127.88256,30194
shapes_419_1,26.63761,127.8826,30195
shapes_419_1,26.63739,127.88274,30196
shapes_419_1,26.63571,127.88395,30197
shapes_419_1,26.63359,127.88538,30198
shapes_419_1,26.63326,127.88561,30199
shapes_419_1,26.63317,127.88567,30200
shapes_419_1,26.63304,127.88577,30201
shapes_419_1,26.63232,127.88621,30202
shapes_419_1,26.63181,127.88647,30203
shapes_419_1,26.63118,127.8867,30204
shapes_419_1,26.63098,127.88678,30205
shapes_419_1,26.63079,127.88685,30206
shapes_419_1,26.63022,127.88704,30207
shapes_419_1,26.62974,127.88711,30208
shapes_419_1,26.62921,127.88716,30209
shapes_419_1,26.62866,127.88715,30210
shapes_419_1,26.62741,127.88714,30211
shapes_419_1,26.62722,127.88714,30212
shapes_419_1,26.62715,127.88714,30213
shapes_419_1,26.62701,127.88713,30214
shapes_419_1,26.62685,127.88713,30215
shapes_419_1,26.62664,127.88712,30216
shapes_419_1,26.62646,127.88711,30217
shapes_419_1,26.6262,127.88713,30218
shapes_419_1,26.62594,127.88716,30219
shapes_419_1,26.62564,127.88724,30220
shapes_419_1,26.62541,127.88733,30221
shapes_419_1,26.6251,127.88748,30222
shapes_419_1,26.62486,127.88764,30223
shapes_419_1,26.62471,127.88776,30224
shapes_419_1,26.62438,127.88808,30225
shapes_419_1,26.62411,127.8884,30226
shapes_419_1,26.62269,127.89016,30227
shapes_419_1,26.62247,127.89042,30228
shapes_419_1,26.6224,127.8905,30229
shapes_419_1,26.62233,127.89057,30230
shapes_419_1,26.62203,127.89084,30231
shapes_419_1,26.6217,127.89103,30232
shapes_419_1,26.6215,127.89111,30233
shapes_419_1,26.62119,127.89118,30234
shapes_419_1,26.62091,127.89121,30235
shapes_419_1,26.61981,127.8913,30236
shapes_419_1,26.61961,127.89133,30237
shapes_419_1,26.61943,127.89139,30238
shapes_419_1,26.6193,127.89144,30239
shapes_419_1,26.61915,127.89151,30240
shapes_419_1,26.61886,127.8917,30241
shapes_419_1,26.61864,127.8919,30242
shapes_419_1,26.61782,127.89275,30243
shapes_419_1,26.61695,127.89364,30244
shapes_419_1,26.61664,127.89393,30245
shapes_419_1,26.61645,127.89413,30246
shapes_419_1,26.61616,127.8944,30247
shapes_419_1,26.61594,127.89456,30248
shapes_419_1,26.61567,127.89477,30249
shapes_419_1,26.61524,127.89504,30250
shapes_419_1,26.61467,127.8953,30251
shapes_419_1,26.61423,127.89541,30252
shapes_419_1,26.61378,127.89553,30253
shapes_419_1,26.6133,127.89559,30254
shapes_419_1,26.61277,127.89559,30255
shapes_419_1,26.61222,127.89558,30256
shapes_419_1,26.61129,127.89553,30257
shapes_419_1,26.6095,127.89539,30258
shapes_419_1,26.60863,127.89534,30259
shapes_419_1,26.60812,127.89531,30260
shapes_419_1,26.60785,127.89532,30261
shapes_419_1,26.60759,127.89535,30262
shapes_419_1,26.60729,127.89544,30263
shapes_419_1,26.60706,127.89557,30264
shapes_419_1,26.60686,127.89571,30265
shapes_419_1,26.60671,127.89586,30266
shapes_419_1,26.60648,127.89614,30267
shapes_419_1,26.60627,127.89658,30268
shapes_419_1,26.60555,127.89872,30269
shapes_419_1,26.60549,127.89889,30270
shapes_419_1,26.60545,127.89906,30271
shapes_419_1,26.60427,127.90252,30272
shapes_419_1,26.6033,127.90542,30273
shapes_419_1,26.60264,127.90739,30274
shapes_419_1,26.60234,127.90853,30275
shapes_419_1,26.60169,127.91152,30276
shapes_419_1,26.60161,127.91195,30277
shapes_419_1,26.60157,127.9122,30278
shapes_419_1,26.60154,127.9126,30279
shapes_419_1,26.60154,127.91282,30280
shapes_419_1,26.60159,127.9132,30281
shapes_419_1,26.60162,127.91347,30282
shapes_419_1,26.60163,127.9135,30283
shapes_419_1,26.6017,127.91374,30284
shapes_419_1,26.60182,127.914,30285
shapes_419_1,26.60193,127.91424,30286
shapes_419_1,26.60216,127.91461,30287
shapes_419_1,26.60285,127.91558,30288
shapes_419_1,26.60309,127.91589,30289
shapes_419_1,26.60324,127.91605,30290
shapes_419_1,26.60342,127.91624,30291
shapes_419_1,26.60368,127.91645,30292
shapes_419_1,26.60392,127.91663,30293
shapes_419_1,26.60424,127.91685,30294
shapes_419_1,26.60472,127.91705,30295
shapes_419_1,26.60519,127.91717,30296
shapes_419_1,26.60558,127.91726,30297
shapes_419_1,26.60606,127.91739,30298
shapes_419_1,26.60644,127.91752,30299
shapes_419_1,26.60683,127.91769,30300
shapes_419_1,26.60716,127.91786,30301
shapes_419_1,26.60748,127.91803,30302
shapes_419_1,26.6078,127.91825,30303
shapes_419_1,26.60805,127.91844,30304
shapes_419_1,26.60837,127.91873,30305
shapes_419_1,26.60858,127.91896,30306
shapes_419_1,26.60887,127.9193,30307
shapes_419_1,26.6091,127.91964,30308
shapes_419_1,26.60923,127.91985,30309
shapes_419_1,26.60936,127.92009,30310
shapes_419_1,26.60948,127.92034,30311
shapes_419_1,26.60958,127.92061,30312
shapes_419_1,26.60967,127.92096,30313
shapes_419_1,26.60974,127.92133,30314
shapes_419_1,26.60992,127.92246,30315
shapes_419_1,26.60997,127.92287,30316
shapes_419_1,26.61,127.92318,30317
shapes_419_1,26.61003,127.92365,30318
shapes_419_1,26.61003,127.92391,30319
shapes_419_1,26.61003,127.92426,30320
shapes_419_1,26.61002,127.92454,30321
shapes_419_1,26.61,127.92475,30322
shapes_419_1,26.60998,127.92493,30323
shapes_419_1,26.60996,127.92507,30324
shapes_419_1,26.60992,127.92531,30325
shapes_419_1,26.60979,127.92586,30326
shapes_419_1,26.60975,127.92601,30327
shapes_419_1,26.6097,127.92614,30328
shapes_419_1,26.60951,127.92667,30329
shapes_419_1,26.6094,127.92698,30330
shapes_419_1,26.60904,127.92792,30331
shapes_419_1,26.60885,127.92834,30332
shapes_419_1,26.60854,127.92897,30333
shapes_419_1,26.60838,127.92927,30334
shapes_419_1,26.6083,127.92934,30335
shapes_419_1,26.60828,127.92944,30336
shapes_419_1,26.60789,127.93006,30337
shapes_419_1,26.60776,127.93024,30338
shapes_419_1,26.60746,127.93066,30339
shapes_419_1,26.60703,127.93118,30340
shapes_419_1,26.60662,127.93164,30341
shapes_419_1,26.60549,127.93279,30342
shapes_419_1,26.60493,127.93337,30343
shapes_419_1,26.60458,127.93375,30344
shapes_419_1,26.60438,127.93406,30345
shapes_419_1,26.60422,127.93438,30346
shapes_419_1,26.60411,127.93468,30347
shapes_419_1,26.60403,127.93498,30348
shapes_419_1,26.60399,127.93531,30349
shapes_419_1,26.60398,127.93566,30350
shapes_419_1,26.60401,127.93603,30351
shapes_419_1,26.60398,127.93621,30352
shapes_419_1,26.60405,127.93639,30353
shapes_419_1,26.60406,127.93662,30354
shapes_419_1,26.60407,127.93689,30355
shapes_419_1,26.60404,127.9372,30356
shapes_419_1,26.60399,127.93753,30357
shapes_419_1,26.60391,127.93783,30358
