shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_557_1,26.12388,127.665,10001
shapes_557_1,26.12402,127.66512,10002
shapes_557_1,26.12423,127.6654,10003
shapes_557_1,26.12429,127.66549,10004
shapes_557_1,26.12439,127.6657,10005
shapes_557_1,26.12446,127.6659,10006
shapes_557_1,26.12464,127.66666,10007
shapes_557_1,26.1248,127.66661,10008
shapes_557_1,26.12508,127.66653,10009
shapes_557_1,26.12526,127.66647,10010
shapes_557_1,26.12546,127.66643,10011
shapes_557_1,26.12665,127.66609,10012
shapes_557_1,26.13049,127.66499,10013
shapes_557_1,26.13494,127.66371,10014
shapes_557_1,26.13502,127.66369,10015
shapes_557_1,26.13524,127.66355,10016
shapes_557_1,26.13604,127.66332,10017
shapes_557_1,26.13657,127.66315,10018
shapes_557_1,26.137861495227163,127.66275286674501,10019
shapes_557_1,26.137413621736535,127.66067683696748,10020
shapes_557_1,26.138540525952276,127.66036570072175,10021
shapes_557_1,26.13868500006513,127.66098260879518,10022
shapes_557_1,26.13868981586582,127.66100943088533,20001
shapes_557_1,26.139041368779186,127.66247928142549,20002
shapes_557_1,26.13974928718722,127.66227006912233,20003
shapes_557_1,26.14149,127.66179,20004
shapes_557_1,26.14199,127.66164,20005
shapes_557_1,26.14246,127.66158,20006
shapes_557_1,26.1431,127.66135,20007
shapes_557_1,26.14327,127.6613,20008
shapes_557_1,26.14349,127.66121,20009
shapes_557_1,26.14378,127.66113,20010
shapes_557_1,26.14475,127.6609,20011
shapes_557_1,26.14489,127.66085,20012
shapes_557_1,26.14698,127.66025,20013
shapes_557_1,26.15089,127.65909,20014
shapes_557_1,26.15139,127.65891,20015
shapes_557_1,26.15277,127.65853,20016
shapes_557_1,26.15429,127.65805,20017
shapes_557_1,26.15515,127.65778,20018
shapes_557_1,26.15583,127.65751,20019
shapes_557_1,26.15634,127.65727,20020
shapes_557_1,26.15735,127.65673,20021
shapes_557_1,26.15803,127.65629,20022
shapes_557_1,26.15831,127.6561,20023
shapes_557_1,26.15896,127.65562,20024
shapes_557_1,26.15964,127.65508,20025
shapes_557_1,26.16042,127.65439,20026
shapes_557_1,26.16058,127.65425,20027
shapes_557_1,26.1609,127.65398,20028
shapes_557_1,26.16196,127.65307,20029
shapes_557_1,26.16266,127.65256,20030
shapes_557_1,26.16317,127.65225,20031
shapes_557_1,26.16364,127.65202,20032
shapes_557_1,26.16368,127.652,20033
shapes_557_1,26.16447,127.65172,20034
shapes_557_1,26.16537,127.65152,20035
shapes_557_1,26.16607,127.65146,20036
shapes_557_1,26.16664,127.65143,20037
shapes_557_1,26.16697,127.65146,20038
shapes_557_1,26.16821,127.65154,20039
shapes_557_1,26.1693,127.6517,20040
shapes_557_1,26.16943,127.65172,20041
shapes_557_1,26.17007,127.65179,20042
shapes_557_1,26.17252,127.65217,20043
shapes_557_1,26.17404,127.65254,20044
shapes_557_1,26.17493,127.65276,20045
shapes_557_1,26.1751,127.65281,20046
shapes_557_1,26.175322676105804,127.65282332897188,20047
shapes_557_1,26.17545747610891,127.65286624431612,20048
shapes_557_1,26.175712632830912,127.65295743942262,20049
shapes_557_1,26.17595,127.6531,20050
shapes_557_1,26.17621,127.65327,20051
shapes_557_1,26.176328858082595,127.65323638916017,20052
shapes_557_1,26.176670669122206,127.65326321125032,20053
shapes_557_1,26.176949894298005,127.65335440635683,20054
shapes_557_1,26.17724,127.65344,20055
shapes_557_1,26.17752,127.65352,20056
shapes_557_1,26.17789,127.65367,20057
shapes_557_1,26.17862,127.65409,20058
shapes_557_1,26.17956,127.65464,20059
shapes_557_1,26.17993,127.65481,20060
shapes_557_1,26.18019,127.65491,20061
shapes_557_1,26.18051,127.655,20062
shapes_557_1,26.18075,127.65506,20063
shapes_557_1,26.18092,127.65509,20064
shapes_557_1,26.18141,127.65516,20065
shapes_557_1,26.18154,127.65518,20066
shapes_557_1,26.18564,127.65586,20067
shapes_557_1,26.18579,127.65588,20068
shapes_557_1,26.18593,127.65591,20069
shapes_557_1,26.18648,127.65604,20070
shapes_557_1,26.18682,127.65616,20071
shapes_557_1,26.18726,127.65636,20072
shapes_557_1,26.18765,127.65658,20073
shapes_557_1,26.18803,127.65685,20074
shapes_557_1,26.18834,127.6571,20075
shapes_557_1,26.18902,127.65774,20076
shapes_557_1,26.18911,127.65782,20077
shapes_557_1,26.1892,127.6579,20078
shapes_557_1,26.18977,127.65835,20079
shapes_557_1,26.19019,127.65865,20080
shapes_557_1,26.19076,127.65894,20081
shapes_557_1,26.19101,127.65903,20082
shapes_557_1,26.19129,127.65912,20083
shapes_557_1,26.19155,127.65917,20084
shapes_557_1,26.19179,127.6592,20085
shapes_557_1,26.19197,127.65922,20086
shapes_557_1,26.19222,127.65923,20087
shapes_557_1,26.19239,127.65927,20088
shapes_557_1,26.19254,127.65927,20089
shapes_557_1,26.19277,127.65926,20090
shapes_557_1,26.19288,127.65925,20091
shapes_557_1,26.19294,127.65926,20092
shapes_557_1,26.19299,127.65929,20093
shapes_557_1,26.19304,127.65938,20094
shapes_557_1,26.19306,127.65948,20095
shapes_557_1,26.19311,127.65969,20096
shapes_557_1,26.19317,127.65993,20097
shapes_557_1,26.19322,127.66016,20098
shapes_557_1,26.19329,127.66014,20099
shapes_557_1,26.19346,127.66009,20100
shapes_557_1,26.19351,127.6601,20101
shapes_557_1,26.19354,127.66014,20102
shapes_557_1,26.19356,127.66026,20103
shapes_557_1,26.19357,127.66028,20104
shapes_557_1,26.19359,127.66036,20105
shapes_557_1,26.1936,127.66041,20106
shapes_557_1,26.1936,127.66041,30001
shapes_557_1,26.19361,127.66048,30002
shapes_557_1,26.19361,127.66056,30003
shapes_557_1,26.19358,127.66059,30004
shapes_557_1,26.19339,127.66063,30005
