stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S5392,,イーアス沖縄豊崎,,26.156252,127.651171,S5392,,,
S5399,,瀬長島ホテル　ウミカジテラス,,26.176453,127.641852,S5399,,,
S5398,,赤嶺駅,,26.193610,127.660250,S5398,,,
S5396,,那覇空港,,26.208175,127.651073,S5396,,,1
S5397,,赤嶺駅,,26.193089,127.660361,S5397,,,
S5400,,あしびなー前,,26.157929,127.657424,S5400,,,
S5413,,国際通り入口,,26.214049,127.680073,S5413,,,
S5411,,道の駅いとまん,,26.138681,127.661333,S5411,,,
S5410,,サザンビーチホテル＆リゾート沖縄,,26.132392,127.653098,S5410,,,
S5405,,糸満市役所,,26.123773,127.665170,S5405,,,
S5447,,那覇商業高校（松山入口）,,26.216611,127.677667,S5447,,,
S5412,,国際通り入口,,26.214420,127.680154,S5412,,,
S5664,,道の駅いとまん,,26.138723,127.660969,S5664,,,
S5449,,赤嶺駅,,26.193643,127.660407,S5449,,,
S6094,,那覇空港,,26.206524,127.651128,S6094,,,4
S5448,,那覇商業高校（松山入口）,,26.216556,127.677528,S5448,,,
S6096,,那覇空港,,26.206356,127.651142,S6096,,,6
S5720,,琉球ホテル＆リゾート名城ビーチ,,26.100608,127.659446,S5720,,,
S6100,,那覇空港,,26.206374,127.651164,S6100,,,3F
S5874,,ストーリーライン瀬長島,,26.175417,127.643931,S5874,,,
S6095,,那覇空港,,26.206481,127.651126,S6095,,,5
S5899,,北谷ゲートウェイ,,26.313577,127.759265,S5899,,,1
S6051,,ジャングリア沖縄,,26.643068,127.972481,S6051,,,
