route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
136,2360001015810,38,志喜屋線（上り）,,3,,
155,2360001015810,30,泡瀬東線（上り）,,3,,
157,2360001015810,31,泡瀬西線（上り）,,3,,
159,2360001015810,37,"那覇新開線 （上り：壺川経由）",,3,,
160,2360001015810,37,"那覇新開線 （下り：壺川経由）",,3,,
161,2360001015810,37,那覇新開線（上り）,,3,,
162,2360001015810,37,那覇新開線（下り）,,3,,
167,2360001015810,191,城間線（下り：一日橋経由）,,3,,
168,2360001015810,331,急行バス（上り：久茂地経由）,,3,,
169,2360001015810,331,急行バス（下り：久茂地経由）,,3,,
292,2360001015810,37,那覇新開線（上り：南城市役所）,,3,,
293,2360001015810,37,那覇新開線（下り：南城市役所）,,3,,
295,2360001015810,338,斎場御嶽線（上り）,,3,,
296,2360001015810,338,斎場御嶽線（下り）,,3,,
385,2360001015810,191,城間線（上り：一日橋経由）,,3,,
677,2360001015810,391,城間線（下り：サンエーパルコシティ）,,3,,
678,2360001015810,391,城間線（上り：サンエーパルコシティ）,,3,,
880,2360001015810,30,泡瀬東線（下り）,,3,,
881,2360001015810,31,泡瀬西線（下り）,,3,,
882,2360001015810,38,志喜屋線（下り）,,3,,
