shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_136_1,26.1511,127.79845,10001
shapes_136_1,26.1511,127.79846,10002
shapes_136_1,26.15135,127.79862,10003
shapes_136_1,26.15153,127.79887,10004
shapes_136_1,26.15204,127.79969,10005
shapes_136_1,26.15239,127.8003,10006
shapes_136_1,26.15274,127.8009,10007
shapes_136_1,26.15284,127.80112,10008
shapes_136_1,26.15284,127.80112,20001
shapes_136_1,26.15286,127.80117,20002
shapes_136_1,26.1529,127.80142,20003
shapes_136_1,26.1529,127.80175,20004
shapes_136_1,26.15293,127.80201,20005
shapes_136_1,26.15299,127.80221,20006
shapes_136_1,26.15322,127.80248,20007
shapes_136_1,26.15341,127.80264,20008
shapes_136_1,26.15365,127.80282,20009
shapes_136_1,26.15384,127.80308,20010
shapes_136_1,26.15389,127.80321,20011
shapes_136_1,26.15408,127.80388,20012
shapes_136_1,26.15416,127.80412,20013
shapes_136_1,26.15426,127.80432,20014
shapes_136_1,26.15462,127.80467,20015
shapes_136_1,26.15503,127.80509,20016
shapes_136_1,26.15503,127.80509,30001
shapes_136_1,26.15506,127.80511,30002
shapes_136_1,26.15538,127.80542,30003
shapes_136_1,26.15571,127.80568,30004
shapes_136_1,26.15637,127.80602,30005
shapes_136_1,26.15648,127.80625,30006
shapes_136_1,26.15649,127.80647,30007
shapes_136_1,26.1564,127.80669,30008
shapes_136_1,26.15582,127.80679,30009
shapes_136_1,26.15566,127.80692,30010
shapes_136_1,26.15553,127.80716,30011
shapes_136_1,26.1558,127.80872,30012
shapes_136_1,26.15572,127.80903,30013
shapes_136_1,26.15567,127.80915,30014
shapes_136_1,26.15564,127.80923,30015
shapes_136_1,26.15572,127.8094,30016
shapes_136_1,26.15584,127.8095,30017
shapes_136_1,26.15611,127.80962,30018
shapes_136_1,26.15611,127.80963,40001
shapes_136_1,26.1562,127.80967,40002
shapes_136_1,26.15632,127.80973,40003
shapes_136_1,26.15671,127.81023,40004
shapes_136_1,26.15691,127.81033,40005
shapes_136_1,26.15709,127.81031,40006
shapes_136_1,26.15759,127.80996,40007
shapes_136_1,26.15778,127.8099,40008
shapes_136_1,26.15785,127.80992,40009
shapes_136_1,26.15841,127.81048,40010
shapes_136_1,26.1585,127.81069,40011
shapes_136_1,26.15862,127.81175,40012
shapes_136_1,26.15876,127.81222,40013
shapes_136_1,26.15867,127.81275,40014
shapes_136_1,26.15868,127.81286,40015
shapes_136_1,26.15877,127.81307,40016
shapes_136_1,26.15912,127.81343,40017
shapes_136_1,26.15923,127.81355,50001
shapes_136_1,26.15923,127.81355,50002
shapes_136_1,26.15931,127.81364,50003
shapes_136_1,26.15947,127.8138,50004
shapes_136_1,26.15961,127.8139,50005
shapes_136_1,26.16044,127.81432,50006
shapes_136_1,26.16075,127.81471,50007
shapes_136_1,26.1608,127.81479,50008
shapes_136_1,26.16087,127.81492,50009
shapes_136_1,26.16087,127.81492,60001
shapes_136_1,26.16095,127.81505,60002
shapes_136_1,26.16118,127.81545,60003
shapes_136_1,26.16135,127.81564,60004
shapes_136_1,26.16178,127.81668,60005
shapes_136_1,26.16207,127.81721,60006
shapes_136_1,26.16216,127.81734,60007
shapes_136_1,26.16233,127.81749,60008
shapes_136_1,26.16286,127.81782,60009
shapes_136_1,26.16334,127.81831,60010
shapes_136_1,26.16357,127.81854,60011
shapes_136_1,26.16369,127.8186,60012
shapes_136_1,26.16384,127.81863,60013
shapes_136_1,26.16395,127.81862,60014
shapes_136_1,26.16438,127.81853,60015
shapes_136_1,26.16487,127.81844,60016
shapes_136_1,26.16493,127.81843,60017
shapes_136_1,26.16493,127.81843,70001
shapes_136_1,26.16552,127.81837,70002
shapes_136_1,26.1661,127.81838,70003
shapes_136_1,26.16691,127.81848,70004
shapes_136_1,26.1684,127.81787,70005
shapes_136_1,26.16864,127.81783,70006
shapes_136_1,26.16891,127.81794,70007
shapes_136_1,26.16949,127.81839,70008
shapes_136_1,26.16956,127.81845,70009
shapes_136_1,26.17,127.81888,70010
shapes_136_1,26.17013,127.81903,70011
shapes_136_1,26.17021,127.81916,70012
shapes_136_1,26.17025,127.81931,70013
shapes_136_1,26.17023,127.81944,70014
shapes_136_1,26.17017,127.81964,70015
shapes_136_1,26.16977,127.82062,70016
shapes_136_1,26.16975,127.82068,70017
shapes_136_1,26.16975,127.82069,80001
shapes_136_1,26.16968,127.82089,80002
shapes_136_1,26.16954,127.82137,80003
shapes_136_1,26.16951,127.82156,80004
shapes_136_1,26.16952,127.82161,80005
shapes_136_1,26.16954,127.8217,80006
shapes_136_1,26.16969,127.82207,80007
shapes_136_1,26.1697,127.82209,80008
shapes_136_1,26.16975,127.82225,90001
shapes_136_1,26.16977,127.82231,90002
shapes_136_1,26.1698,127.82252,90003
shapes_136_1,26.16979,127.82262,90004
shapes_136_1,26.16977,127.8227,90005
shapes_136_1,26.16973,127.82277,90006
shapes_136_1,26.16942,127.82318,90007
shapes_136_1,26.16915,127.82352,90008
shapes_136_1,26.16906,127.82366,90009
shapes_136_1,26.16902,127.82379,90010
shapes_136_1,26.169,127.82393,90011
shapes_136_1,26.16903,127.82407,90012
shapes_136_1,26.16921,127.82446,90013
shapes_136_1,26.16923,127.82456,90014
shapes_136_1,26.16922,127.82466,90015
shapes_136_1,26.1692,127.82478,90016
shapes_136_1,26.16912,127.82508,90017
shapes_136_1,26.16912,127.82508,100001
shapes_136_1,26.16898,127.82562,100002
shapes_136_1,26.16895,127.82582,100003
shapes_136_1,26.16893,127.82603,100004
shapes_136_1,26.16896,127.8262,100005
shapes_136_1,26.16904,127.82634,100006
shapes_136_1,26.16914,127.82643,100007
shapes_136_1,26.16928,127.82649,100008
shapes_136_1,26.16941,127.82651,100009
shapes_136_1,26.16976,127.82648,100010
shapes_136_1,26.17021,127.82661,100011
shapes_136_1,26.17029,127.82666,100012
shapes_136_1,26.17039,127.82675,100013
shapes_136_1,26.17046,127.82684,100014
shapes_136_1,26.17053,127.82695,100015
shapes_136_1,26.17068,127.82722,100016
shapes_136_1,26.17078,127.82732,100017
shapes_136_1,26.17085,127.82739,100018
shapes_136_1,26.17149,127.82772,100019
shapes_136_1,26.17162,127.8278,100020
shapes_136_1,26.17177,127.82784,100021
shapes_136_1,26.1719,127.82787,100022
shapes_136_1,26.17204,127.82794,100023
shapes_136_1,26.17223,127.8281,100024
shapes_136_1,26.1724,127.82826,100025
shapes_136_1,26.17263,127.82846,100026
shapes_136_1,26.17281,127.82859,100027
shapes_136_1,26.17297,127.8287,100028
shapes_136_1,26.17325,127.82887,100029
shapes_136_1,26.17359,127.82895,100030
shapes_136_1,26.17384,127.82889,100031
shapes_136_1,26.1743,127.82867,100032
shapes_136_1,26.17468,127.82857,100033
shapes_136_1,26.17503,127.82856,100034
shapes_136_1,26.17534,127.82848,100035
shapes_136_1,26.17537,127.82847,100036
shapes_136_1,26.17537,127.82847,110001
shapes_136_1,26.17574,127.82833,110002
shapes_136_1,26.17609,127.82809,110003
shapes_136_1,26.17661,127.8276,110004
shapes_136_1,26.17674,127.8275,110005
shapes_136_1,26.17728,127.8273,110006
shapes_136_1,26.17745,127.82715,110007
shapes_136_1,26.17759,127.82693,110008
shapes_136_1,26.17801,127.8261,110009
shapes_136_1,26.17814,127.82574,110010
shapes_136_1,26.17821,127.82535,110011
shapes_136_1,26.17824,127.82506,110012
shapes_136_1,26.17825,127.82492,110013
shapes_136_1,26.17828,127.82486,110014
shapes_136_1,26.17807,127.82501,120001
shapes_136_1,26.17802,127.82499,120002
shapes_136_1,26.17794,127.82492,120003
shapes_136_1,26.17791,127.82471,120004
shapes_136_1,26.17792,127.82427,120005
shapes_136_1,26.17792,127.8237,120006
shapes_136_1,26.17792,127.82355,120007
shapes_136_1,26.1779,127.82305,120008
shapes_136_1,26.17767,127.82271,120009
shapes_136_1,26.17754,127.82238,120010
shapes_136_1,26.17776,127.82226,120011
shapes_136_1,26.17779,127.8223,120012
shapes_136_1,26.17794,127.8222,120013
shapes_136_1,26.17794,127.8222,130001
shapes_136_1,26.17798,127.82217,130002
shapes_136_1,26.17798,127.82217,130003
shapes_136_1,26.17812,127.82208,130004
shapes_136_1,26.17801,127.8218,130005
shapes_136_1,26.17799,127.82163,130006
shapes_136_1,26.17802,127.82133,130007
shapes_136_1,26.17809,127.8211,130008
shapes_136_1,26.17819,127.82094,130009
shapes_136_1,26.17853,127.82064,130010
shapes_136_1,26.17962,127.81993,130011
shapes_136_1,26.18013,127.81965,130012
shapes_136_1,26.18035,127.81958,130013
shapes_136_1,26.18081,127.81947,130014
shapes_136_1,26.18093,127.81945,130015
shapes_136_1,26.18154,127.81935,130016
shapes_136_1,26.18188,127.81928,130017
shapes_136_1,26.18295,127.81899,130018
shapes_136_1,26.18342,127.81884,130019
shapes_136_1,26.18355,127.81877,130020
shapes_136_1,26.18371,127.81876,130021
shapes_136_1,26.18371,127.81876,140001
shapes_136_1,26.18374,127.81876,140002
shapes_136_1,26.18413,127.81878,140003
shapes_136_1,26.18478,127.8189,140004
shapes_136_1,26.18483,127.8189,140005
shapes_136_1,26.18529,127.81892,140006
shapes_136_1,26.1856,127.81894,140007
shapes_136_1,26.18614,127.81896,140008
shapes_136_1,26.1875,127.81901,140009
shapes_136_1,26.18763,127.81902,140010
shapes_136_1,26.18776,127.81898,140011
shapes_136_1,26.18795,127.81889,140012
shapes_136_1,26.18815,127.81869,140013
shapes_136_1,26.18842,127.8182,140014
shapes_136_1,26.1887,127.81735,140015
shapes_136_1,26.1887,127.81735,150001
shapes_136_1,26.18873,127.81726,150002
shapes_136_1,26.1888,127.81708,150003
shapes_136_1,26.1889,127.8168,150004
shapes_136_1,26.18927,127.81515,150005
shapes_136_1,26.18931,127.81485,150006
shapes_136_1,26.18942,127.81411,150007
shapes_136_1,26.18944,127.81357,150008
shapes_136_1,26.18935,127.81268,150009
shapes_136_1,26.18927,127.81239,150010
shapes_136_1,26.18907,127.81162,150011
shapes_136_1,26.18907,127.81162,160001
shapes_136_1,26.18906,127.8116,160002
shapes_136_1,26.1888,127.81061,160003
shapes_136_1,26.18876,127.81043,160004
shapes_136_1,26.18861,127.80978,160005
shapes_136_1,26.18871,127.80976,160006
shapes_136_1,26.18871,127.80976,170001
shapes_136_1,26.18861,127.80978,170002
shapes_136_1,26.18849,127.80938,170003
shapes_136_1,26.18833,127.80883,170004
shapes_136_1,26.18712,127.80675,170005
shapes_136_1,26.18647,127.80563,170006
shapes_136_1,26.18593,127.80472,170007
shapes_136_1,26.18574,127.80439,170008
shapes_136_1,26.18544,127.80387,170009
shapes_136_1,26.18535,127.80372,170010
shapes_136_1,26.18535,127.80372,180001
shapes_136_1,26.1853,127.80363,180002
shapes_136_1,26.18519,127.80344,180003
shapes_136_1,26.18472,127.80265,180004
shapes_136_1,26.18457,127.80241,180005
shapes_136_1,26.18403,127.80167,180006
shapes_136_1,26.18379,127.8014,180007
shapes_136_1,26.18281,127.80025,180008
shapes_136_1,26.1817,127.79903,180009
shapes_136_1,26.1813,127.79876,180010
